Date,Open,High,Low,Close,Adj Close,Volume
2017-08-21,24.886999,25.049999,24.799999,24.990000,17.975361,174800
2017-08-22,25.000000,25.040001,24.950001,24.980000,17.968159,256100
2017-08-23,25.010000,25.080999,24.969999,25.070000,18.032904,119100
2017-08-24,25.030001,25.100000,25.010000,25.020000,17.996937,175600
2017-08-25,25.059999,25.070000,25.010000,25.049999,18.018517,83000
2017-08-28,25.049999,25.080000,24.969999,25.080000,18.040098,123700
2017-08-29,25.040001,25.270000,25.020000,25.120001,18.068871,196900
2017-08-30,25.180000,25.200001,25.120001,25.190001,18.119223,134900
2017-08-31,25.280001,25.330000,25.180000,25.299999,18.198341,119600
2017-09-01,25.200001,25.290001,25.200001,25.209999,18.133608,41800
2017-09-05,25.150000,25.260000,25.150000,25.240000,18.155186,308400
2017-09-06,25.150000,25.240000,25.150000,25.230000,18.147991,141800
2017-09-07,25.250000,25.299999,25.080000,25.160000,18.097641,184100
2017-09-08,25.200001,25.200001,25.070000,25.100000,18.054482,146000
2017-09-11,25.180000,25.270000,25.139999,25.250000,18.162384,54400
2017-09-12,25.270000,25.500000,25.200001,25.490000,18.335012,110300
2017-09-13,25.468000,25.480000,25.350000,25.440001,18.299049,60700
2017-09-14,25.370001,25.450001,25.129999,25.139999,18.083258,192500
2017-09-15,25.160000,25.200001,25.120001,25.139999,18.083258,68600
2017-09-18,25.200001,25.230000,25.070000,25.190001,18.119223,199300
2017-09-19,25.190001,25.212999,25.110001,25.139999,18.083258,59600
2017-09-20,25.180000,25.209999,25.139999,25.170000,18.104836,51800
2017-09-21,25.170000,25.250000,25.139999,25.150000,18.090450,154700
2017-09-22,25.100000,25.150000,25.080000,25.129999,18.076061,84200
2017-09-25,25.162001,25.170000,25.070000,25.100000,18.054482,65700
2017-09-26,25.100000,25.100000,25.030001,25.100000,18.054482,105200
2017-09-27,25.080000,25.100000,24.980000,25.100000,18.054482,92800
2017-09-28,25.100000,25.170000,25.080000,25.150000,18.090450,49400
2017-09-29,25.160000,25.190001,25.100000,25.190001,18.119223,44800
2017-10-02,25.200001,25.290001,25.190001,25.209999,18.133608,67600
2017-10-03,25.250000,25.302000,25.230000,25.280001,18.183960,38600
2017-10-04,25.299999,25.320000,25.232000,25.320000,18.212734,42900
2017-10-05,25.330000,25.389999,25.320000,25.370001,18.248697,70100
2017-10-06,25.340000,25.379999,25.170000,25.290001,18.191154,64900
2017-10-09,25.320000,25.350000,25.070000,25.080000,18.040098,230700
2017-10-10,25.100000,25.170000,25.080000,25.080000,18.040098,146500
2017-10-11,25.139999,25.200001,25.120001,25.170000,18.104836,90200
2017-10-12,25.200001,25.299999,25.200001,25.250000,18.162384,306500
2017-10-13,25.280001,25.315001,25.270000,25.299999,18.198341,63100
2017-10-16,25.288000,25.350000,25.219999,25.309999,18.205538,108200
2017-10-17,25.320000,25.350000,25.299999,25.350000,18.234308,60200
2017-10-18,25.350000,25.350000,25.240000,25.299999,18.198341,250000
2017-10-19,25.350000,25.379999,25.299999,25.340000,18.227112,71200
2017-10-20,25.340000,25.340000,25.160000,25.260000,18.169571,787000
2017-10-23,25.270000,25.270000,25.190001,25.250000,18.162384,45700
2017-10-24,25.250000,25.340000,25.209999,25.330000,18.219919,82200
2017-10-25,25.299999,25.299999,25.180000,25.230000,18.147991,69600
2017-10-26,25.270000,25.270000,25.200001,25.200001,18.126415,44900
2017-10-27,25.240000,25.280001,25.150000,25.280001,18.183960,39900
2017-10-30,25.180000,25.280001,25.180000,25.260000,18.169571,20300
2017-10-31,25.290001,25.340000,25.230000,25.340000,18.227112,37200
2017-11-01,25.350000,25.350000,25.250000,25.299999,18.198341,71200
2017-11-02,25.299999,25.360001,25.299999,25.330000,18.219919,19300
2017-11-03,25.330000,25.340000,25.309999,25.320000,18.212734,24700
2017-11-06,25.350000,25.379999,25.299999,25.320000,18.212734,23600
2017-11-07,25.350000,25.350000,25.270000,25.340000,18.227112,44100
2017-11-08,25.370001,25.389999,25.271000,25.309999,18.205538,26900
2017-11-09,25.389999,25.420000,25.270000,25.320000,18.212734,14700
2017-11-10,25.379999,25.379999,25.230000,25.260000,18.169571,17900
2017-11-13,25.299999,25.299999,25.219999,25.280001,18.183960,22000
2017-11-14,25.370001,25.370001,25.240000,25.299999,18.198341,19300
2017-11-15,25.350000,25.350000,25.236000,25.280001,18.183960,38300
2017-11-16,25.280001,25.350000,25.250000,25.330000,18.219919,31000
2017-11-17,25.340000,25.459999,25.320000,25.459999,18.313429,23500
2017-11-20,25.459999,25.559999,25.420000,25.520000,18.356590,64200
2017-11-21,25.500000,25.590000,25.389999,25.420000,18.284662,33000
2017-11-22,25.500000,25.540001,25.450001,25.500000,18.342201,16900
2017-11-24,25.502001,25.590000,25.452000,25.580000,18.399746,5900
2017-11-27,25.590000,25.590000,25.450001,25.469999,18.320625,35700
2017-11-28,25.500000,25.600000,25.420000,25.490000,18.335012,33600
2017-11-29,25.500000,25.690001,25.400000,25.680000,18.471680,56300
2017-11-30,25.990000,25.990000,25.540001,25.670000,18.464487,60200
2017-12-01,25.700001,25.750000,25.459999,25.530001,18.363785,51300
2017-12-04,25.549999,25.730000,25.540001,25.639999,18.442902,282000
2017-12-05,25.820000,25.820000,25.559999,25.650000,18.450100,48000
2017-12-06,25.670000,25.750000,25.570000,25.600000,18.414135,53800
2017-12-07,25.639999,25.740000,25.549999,25.730000,18.507645,702600
2017-12-08,25.730000,25.889999,25.680000,25.799999,18.557995,44600
2017-12-11,25.799999,25.840000,25.570000,25.600000,18.414135,42100
2017-12-12,25.650000,25.674000,25.570000,25.600000,18.414135,110500
2017-12-13,25.660000,25.660000,25.450001,25.620001,18.428520,60500
2017-12-14,25.799999,25.799999,25.232000,25.350000,18.602434,19900
2017-12-15,25.350000,25.360001,25.320000,25.320000,18.580423,41900
2017-12-18,25.440001,25.440001,25.252001,25.330000,18.587759,127700
2017-12-19,25.400000,25.400000,25.250000,25.330000,18.587759,78000
2017-12-20,25.299999,25.350000,25.219999,25.219999,18.507036,49000
2017-12-21,25.280001,25.280001,25.160000,25.170000,18.470346,62400
2017-12-22,25.170000,25.250000,25.145000,25.180000,18.477686,104500
2017-12-26,25.200001,25.260000,25.190001,25.209999,18.499701,92800
2017-12-27,25.250000,25.420000,25.216999,25.398001,18.637659,53200
2017-12-28,25.420000,25.559999,25.360001,25.410000,18.646469,103100
2017-12-29,25.549999,25.653000,25.340000,25.340000,18.595097,176900
2018-01-02,25.459999,25.459999,25.059999,25.090000,18.411646,74300
2018-01-03,25.150000,25.150000,24.920000,25.040001,18.374952,144900
2018-01-04,25.049999,25.239000,25.047001,25.150000,18.455671,48600
2018-01-05,25.219999,25.219999,25.059999,25.080000,18.404305,38400
2018-01-08,25.100000,25.440001,25.100000,25.379999,18.624453,137800
2018-01-09,25.450001,25.450001,25.120001,25.320000,18.580423,118800
2018-01-10,25.379999,25.450001,25.172001,25.450001,18.675816,70400
2018-01-11,25.430000,25.510000,25.160000,25.510000,18.719847,56700
2018-01-12,25.500000,25.549999,25.410000,25.549999,18.749201,57000
2018-01-16,25.540001,25.540001,25.330000,25.490000,18.705168,70300
2018-01-17,25.500000,25.520000,25.370001,25.500000,18.712513,72000
2018-01-18,25.459999,25.465000,25.230000,25.440001,18.668480,69000
2018-01-19,25.400000,25.830000,25.270000,25.780001,18.917982,833300
2018-01-22,25.709999,25.709999,25.520000,25.650000,18.822584,72100
2018-01-23,25.700001,25.700001,25.500000,25.639999,18.815245,38100
2018-01-24,25.600000,25.600000,25.330000,25.344999,18.598766,62100
2018-01-25,25.520000,25.520000,25.191000,25.320000,18.580423,34400
2018-01-26,25.299999,25.600000,25.200001,25.209999,18.499701,56200
2018-01-29,25.150000,25.219999,24.716000,24.719999,18.140127,245200
2018-01-30,24.900000,24.930000,24.200001,24.200001,17.758535,155300
2018-01-31,24.410000,24.600000,24.309999,24.430000,17.927320,76300
2018-02-01,24.410000,24.620001,24.340000,24.389999,17.897966,45700
2018-02-02,24.379999,24.379999,24.030001,24.059999,17.655800,85600
2018-02-05,23.920000,24.110001,23.750000,23.770000,17.442987,69700
2018-02-06,23.670000,24.129999,23.670000,24.030001,17.633787,135000
2018-02-07,24.180000,24.180000,24.020000,24.110001,17.692497,71000
2018-02-08,24.110001,24.170000,23.924999,23.980000,17.597097,32000
2018-02-09,24.000000,24.129999,23.680000,24.059999,17.655800,54600
2018-02-12,24.200001,24.230000,24.020000,24.180000,17.743864,58800
2018-02-13,24.410000,24.410000,24.020000,24.020000,17.626451,19400
2018-02-14,24.270000,24.270000,23.820000,23.830000,17.487020,28300
2018-02-15,23.830000,23.948000,23.700001,23.770000,17.442987,54200
2018-02-16,23.860001,23.910000,23.750000,23.809999,17.472347,20400
2018-02-20,23.870001,23.980000,23.750000,23.980000,17.597097,111000
2018-02-21,24.020000,24.120001,23.980000,23.980000,17.597097,74700
2018-02-22,24.080000,24.129999,23.969999,23.969999,17.589760,44800
2018-02-23,24.049999,24.315001,24.049999,24.260000,17.802568,25100
2018-02-26,24.360001,24.410000,23.969999,23.969999,17.589760,77800
2018-02-27,24.059999,24.180000,23.940001,24.129999,17.707169,47900
2018-02-28,24.030001,24.190001,24.020000,24.190001,17.751202,42300
2018-03-01,24.270000,24.320000,24.190001,24.209999,17.765879,75400
2018-03-02,24.250000,24.459999,24.219999,24.459999,17.949335,141000
2018-03-05,24.440001,24.570000,24.346001,24.570000,18.030058,46200
2018-03-06,24.620001,24.740000,24.600000,24.660000,18.096098,28000
2018-03-07,24.719999,24.787001,24.660000,24.709999,18.132790,18700
2018-03-08,24.709999,24.840000,24.709999,24.840000,18.228189,49700
2018-03-09,24.850000,25.030001,24.809999,24.809999,18.206171,16900
2018-03-12,24.809999,24.945000,24.750000,24.850000,18.235523,28400
2018-03-13,24.940001,24.940001,24.740000,24.770000,18.176817,42200
2018-03-14,24.530001,24.719999,24.530001,24.620001,18.318937,55300
2018-03-15,24.610001,24.620001,24.480000,24.549999,18.266850,42000
2018-03-16,24.549999,24.680000,24.520000,24.680000,18.363579,32600
2018-03-19,24.660000,24.705000,24.480000,24.549999,18.266850,99500
2018-03-20,24.639999,24.639999,24.510000,24.549999,18.266850,46600
2018-03-21,24.650000,24.650000,24.410000,24.540001,18.259409,30200
2018-03-22,24.549999,24.554001,24.420000,24.420000,18.170126,37100
