Date,Open,High,Low,Close,Adj Close,Volume
1993-04-23,4.750000,4.937500,4.750000,4.875000,3.358831,64400
1993-04-26,4.812500,4.875000,4.750000,4.781250,3.294239,25200
1993-04-27,4.718750,4.718750,4.687500,4.687500,3.229648,7200
1993-04-28,4.750000,4.750000,4.687500,4.750000,3.272708,17600
1993-04-29,4.781250,4.781250,4.687500,4.687500,3.229648,15200
1993-04-30,4.750000,4.750000,4.500000,4.500000,3.100460,35200
1993-05-03,4.468750,4.468750,4.375000,4.375000,3.014338,12800
1993-05-04,4.312500,4.312500,4.156250,4.187500,2.885151,19200
1993-05-05,4.187500,4.218750,4.156250,4.187500,2.885151,12400
1993-05-06,4.250000,4.312500,4.250000,4.281250,2.949744,25600
1993-05-07,4.281250,4.343750,4.281250,4.281250,2.949744,16800
1993-05-10,4.312500,4.312500,4.218750,4.218750,2.906680,14400
1993-05-11,4.218750,4.218750,4.093750,4.125000,2.842088,29600
1993-05-12,4.062500,4.156250,4.000000,4.156250,2.863619,67200
1993-05-13,4.187500,4.562500,4.187500,4.468750,3.078930,83600
1993-05-14,4.656250,4.687500,4.625000,4.625000,3.186584,38400
1993-05-17,4.593750,4.593750,4.437500,4.468750,3.078930,26800
1993-05-18,4.437500,4.468750,4.343750,4.343750,2.992805,50400
1993-05-19,4.343750,4.500000,4.343750,4.500000,3.100460,17600
1993-05-20,4.468750,4.593750,4.468750,4.593750,3.165053,21600
1993-05-21,4.531250,4.562500,4.500000,4.531250,3.121992,19600
1993-05-24,4.468750,4.500000,4.406250,4.406250,3.035868,39600
1993-05-25,4.406250,4.437500,4.250000,4.281250,2.949744,78400
1993-05-26,4.281250,4.281250,4.250000,4.250000,2.928213,49600
1993-05-27,4.218750,4.250000,4.218750,4.250000,2.928213,20000
1993-05-28,4.281250,4.312500,4.281250,4.312500,2.971276,88000
1993-06-01,4.343750,4.500000,4.343750,4.437500,3.057398,12400
1993-06-02,4.406250,4.468750,4.406250,4.437500,3.057398,33200
1993-06-03,4.406250,4.437500,4.406250,4.406250,3.035868,15600
1993-06-04,4.406250,4.468750,4.406250,4.468750,3.078930,6800
1993-06-07,4.437500,4.437500,4.406250,4.406250,3.035868,2400
1993-06-08,4.406250,4.468750,4.406250,4.468750,3.078930,94400
1993-06-09,4.500000,4.531250,4.468750,4.468750,3.078930,46400
1993-06-10,4.437500,4.468750,4.437500,4.437500,3.057398,18400
1993-06-11,4.437500,4.437500,4.437500,4.437500,3.057398,2400
1993-06-14,4.437500,4.468750,4.437500,4.468750,3.078930,26800
1993-06-15,4.468750,4.468750,4.468750,4.468750,3.078930,113600
1993-06-16,4.500000,4.531250,4.500000,4.500000,3.100460,84800
1993-06-17,4.500000,4.500000,4.500000,4.500000,3.100460,4400
1993-06-18,4.500000,4.562500,4.500000,4.500000,3.100460,29600
1993-06-21,4.562500,4.625000,4.562500,4.593750,3.165053,26800
1993-06-22,4.593750,4.625000,4.593750,4.593750,3.165053,11200
1993-06-23,4.562500,4.625000,4.562500,4.593750,3.165053,557600
1993-06-24,4.562500,4.593750,4.562500,4.562500,3.143521,29200
1993-06-25,4.593750,4.593750,4.531250,4.531250,3.121992,66000
1993-06-28,4.531250,4.562500,4.531250,4.562500,3.143521,16800
1993-06-29,4.531250,4.562500,4.531250,4.531250,3.121992,56400
1993-06-30,4.562500,4.625000,4.562500,4.593750,3.165053,31600
1993-07-01,4.593750,4.625000,4.593750,4.625000,3.186584,9600
1993-07-02,4.625000,4.687500,4.625000,4.687500,3.229648,16000
1993-07-06,4.656250,4.687500,4.656250,4.687500,3.229648,108800
1993-07-07,4.750000,4.750000,4.687500,4.718750,3.251178,23200
1993-07-08,4.656250,4.718750,4.656250,4.718750,3.251178,14800
1993-07-09,4.656250,4.687500,4.656250,4.656250,3.208116,8800
1993-07-12,4.687500,4.687500,4.656250,4.656250,3.208116,8800
1993-07-13,4.625000,4.625000,4.468750,4.468750,3.078930,36800
1993-07-14,4.468750,4.531250,4.468750,4.531250,3.121992,540800
1993-07-15,4.500000,4.562500,4.500000,4.531250,3.121992,96000
1993-07-16,4.531250,4.562500,4.531250,4.562500,3.143521,34400
1993-07-19,4.593750,4.593750,4.562500,4.562500,3.143521,8000
1993-07-20,4.562500,4.562500,4.500000,4.562500,3.143521,214400
1993-07-21,4.562500,4.593750,4.562500,4.562500,3.143521,120400
1993-07-22,4.593750,4.593750,4.562500,4.562500,3.143521,14800
1993-07-23,4.562500,4.625000,4.562500,4.625000,3.186584,19600
1993-07-26,4.656250,4.687500,4.656250,4.687500,3.229648,24400
1993-07-27,4.718750,4.718750,4.625000,4.625000,3.186584,13600
1993-07-28,4.656250,4.656250,4.562500,4.562500,3.143521,12800
1993-07-29,4.562500,4.625000,4.562500,4.625000,3.186584,1600
1993-07-30,4.593750,4.656250,4.593750,4.656250,3.208116,8000
1993-08-02,4.687500,4.687500,4.625000,4.687500,3.229648,9200
1993-08-03,4.625000,4.656250,4.593750,4.656250,3.216694,5200
1993-08-04,4.656250,4.656250,4.656250,4.656250,3.216694,0
1993-08-05,4.625000,4.656250,4.625000,4.656250,3.216694,4800
1993-08-06,4.593750,4.656250,4.593750,4.625000,3.195104,48000
1993-08-09,4.656250,4.656250,4.593750,4.625000,3.195104,14000
1993-08-10,4.593750,4.687500,4.593750,4.656250,3.216694,8400
1993-08-11,4.656250,4.656250,4.656250,4.656250,3.216694,0
1993-08-12,4.656250,4.718750,4.625000,4.687500,3.238283,26400
1993-08-13,4.656250,4.750000,4.656250,4.750000,3.281458,5600
1993-08-16,4.781250,4.781250,4.718750,4.750000,3.281458,12800
1993-08-17,4.718750,4.750000,4.687500,4.750000,3.281458,16800
1993-08-18,4.750000,4.781250,4.718750,4.781250,3.303047,13600
1993-08-19,4.750000,4.750000,4.687500,4.687500,3.238283,18000
1993-08-20,4.656250,4.718750,4.656250,4.718750,3.259871,23600
1993-08-23,4.750000,4.781250,4.750000,4.781250,3.303047,6400
1993-08-24,4.781250,4.781250,4.687500,4.718750,3.259871,24800
1993-08-25,4.718750,4.718750,4.625000,4.656250,3.216694,38400
1993-08-26,4.687500,4.687500,4.656250,4.687500,3.238283,5200
1993-08-27,4.750000,4.750000,4.750000,4.750000,3.281458,8000
1993-08-30,4.750000,4.750000,4.656250,4.718750,3.259871,12400
1993-08-31,4.781250,4.781250,4.781250,4.781250,3.303047,8800
1993-09-01,4.750000,4.750000,4.625000,4.687500,3.238283,52800
1993-09-02,4.687500,4.750000,4.687500,4.687500,3.238283,55600
1993-09-03,4.718750,4.750000,4.656250,4.750000,3.281458,32800
1993-09-07,4.750000,4.812500,4.750000,4.781250,3.303047,17200
1993-09-08,4.812500,4.843750,4.750000,4.750000,3.281458,6800
1993-09-09,4.812500,4.843750,4.750000,4.781250,3.303047,112400
1993-09-10,4.812500,4.812500,4.750000,4.781250,3.303047,11600
1993-09-13,4.718750,4.812500,4.718750,4.812500,3.324636,13600
1993-09-14,4.812500,4.812500,4.812500,4.812500,3.324636,48000
1993-09-15,4.812500,4.812500,4.812500,4.812500,3.324636,43200
1993-09-16,4.812500,4.812500,4.781250,4.812500,3.324636,96400
1993-09-17,4.750000,4.750000,4.687500,4.687500,3.238283,143200
1993-09-20,4.687500,4.687500,4.593750,4.593750,3.173516,40400
1993-09-21,4.625000,4.625000,4.562500,4.625000,3.195104,133600
1993-09-22,4.625000,4.718750,4.625000,4.718750,3.259871,45600
1993-09-23,4.781250,4.781250,4.656250,4.750000,3.281458,95600
1993-09-24,4.812500,4.906250,4.812500,4.875000,3.367812,29600
