Date,Dividends
1990-04-02,0.005669
1990-06-29,0.005669
1990-10-01,0.005952
1990-12-28,0.005952
1991-04-01,0.005952
1991-06-28,0.005952
1991-10-07,0.006250
1991-12-27,0.006250
1992-04-06,0.006250
1992-06-26,0.006250
1992-10-05,0.006250
1992-12-24,0.006250
1993-04-02,0.006250
1994-03-07,0.005000
1995-03-06,0.005000
1996-03-13,0.007500
1997-03-05,0.015000
1998-03-04,0.025000
1999-03-03,0.030000
2000-03-08,0.040000
2001-04-10,0.040000
2010-01-28,0.125000
2010-04-13,0.125000
2010-07-07,0.125000
2010-10-13,0.125000
2011-02-02,0.125000
2011-04-19,0.125000
2011-07-13,0.125000
2011-10-12,0.125000
2012-02-01,0.125000
2012-04-18,0.125000
2012-07-10,0.125000
2012-10-10,0.140000
2013-01-30,0.140000
2013-04-17,0.140000
2013-07-10,0.140000
2013-10-09,0.140000
2014-01-29,0.140000
2014-04-16,0.140000
2014-07-09,0.140000
2014-10-08,0.150000
2015-01-28,0.150000
2015-04-15,0.150000
2015-07-09,0.150000
2015-10-07,0.150000
2016-02-03,0.150000
2016-04-20,0.150000
2016-07-14,0.150000
2016-10-14,0.170000
2017-02-02,0.170000
2017-04-24,0.170000
2017-07-14,0.170000
2017-10-17,0.170000
2018-02-05,0.170000
2018-04-24,0.170000
2018-07-16,0.170000
2018-10-15,0.170000
2019-01-28,0.170000
2019-04-23,0.170000
2019-07-19,0.170000
2019-10-18,0.170000
2020-01-31,0.170000
2020-05-06,0.170000
2020-07-17,0.170000
2020-10-20,0.170000
2021-01-25,0.170000
2021-04-26,0.170000
2021-07-19,0.170000
2021-10-18,0.170000
2022-01-24,0.170000
2022-04-25,0.170000
2022-07-18,0.170000
2022-10-17,0.170000
2023-01-27,0.170000
2023-04-25,0.170000
2023-07-11,0.170000
