Date,Dividends
2010-11-24,0.105000
2011-02-23,0.105000
2011-05-25,0.105000
2011-09-09,0.105000
2011-11-22,0.105000
2012-02-29,0.110000
2012-05-30,0.110000
2012-09-05,0.110000
2012-12-05,0.110000
2013-09-18,0.110000
2013-12-18,0.110000
2014-03-19,0.110000
2014-06-18,0.110000
2014-09-17,0.120000
2015-01-07,0.120000
2015-03-18,0.120000
2015-06-17,0.130000
2015-09-16,0.130000
2015-12-21,0.130000
2016-03-21,0.140000
2016-06-27,0.140000
2016-09-26,0.150000
2016-12-23,0.160000
2017-03-24,0.160000
2017-06-27,0.160000
2017-09-25,0.160000
2017-12-27,0.160000
2018-03-27,0.160000
2018-06-28,0.160000
2018-09-20,0.160000
2018-12-20,0.200000
2019-03-22,0.200000
2019-06-21,0.200000
2019-09-23,0.200000
2019-12-20,0.200000
2020-03-20,0.200000
2020-06-22,0.200000
2020-09-22,0.200000
2020-12-22,0.210000
2021-03-23,0.210000
2021-06-22,0.210000
2021-09-21,0.500000
2021-12-21,0.220000
2022-03-22,0.220000
2022-06-21,0.220000
2022-09-20,0.250000
2022-12-20,0.250000
2023-03-21,0.250000
2023-06-20,0.300000
