Date,Open,High,Low,Close,Adj Close,Volume
2013-06-04,25.100000,25.110001,24.799999,24.879999,22.894783,59500
2013-06-05,25.070000,25.070000,24.559999,24.600000,22.637127,19400
2013-06-06,24.740000,24.740000,24.500000,24.680000,22.710743,31800
2013-06-07,25.320000,25.320000,24.879999,25.059999,23.060423,26300
2013-06-10,25.600000,26.260000,25.010000,25.120001,23.115633,582800
2013-06-11,25.000000,25.100000,24.799999,24.920000,22.931595,200000
2013-06-12,25.230000,25.230000,24.709999,24.750000,22.775156,224900
2013-06-13,24.760000,25.180000,24.690001,25.150000,23.143240,145900
2013-06-14,25.160000,25.200001,24.969999,25.020000,23.023611,128800
2013-06-17,25.170000,25.309999,25.049999,25.190001,23.180048,132800
2013-06-18,25.209999,25.430000,25.209999,25.400000,23.373295,77700
2013-06-19,25.520000,25.520000,25.120001,25.120001,23.115633,73800
2013-06-20,25.000000,25.000000,24.400000,24.500000,22.545109,210500
2013-06-21,24.650000,24.650000,24.209999,24.459999,22.508295,187400
2013-06-24,24.299999,24.299999,23.910000,24.160000,22.232235,87900
2013-06-25,24.600000,24.600000,24.190001,24.400000,22.453083,56100
2013-06-26,24.540001,24.650000,24.490000,24.580000,22.618721,87600
2013-06-27,24.680000,24.870001,24.680000,24.850000,22.867180,91000
2013-06-28,24.809999,24.920000,24.680000,24.750000,22.775156,68900
2013-07-01,25.540001,25.540001,24.990000,25.040001,23.042017,33500
2013-07-02,25.030001,25.150000,24.809999,24.940001,22.949997,71400
2013-07-03,24.860001,25.059999,24.860001,24.940001,22.949997,36000
2013-07-05,25.100000,25.350000,25.049999,25.350000,23.327284,67300
2013-07-08,25.440001,25.530001,25.400000,25.480000,23.446909,89600
2013-07-09,25.600000,25.700001,25.480000,25.690001,23.640156,38200
2013-07-10,25.719999,25.750000,25.600000,25.719999,23.667763,82700
2013-07-11,25.959999,26.139999,25.889999,26.030001,23.953024,76300
2013-07-12,26.040001,26.129999,26.030001,26.129999,24.045046,43100
2013-07-15,26.270000,26.270000,26.090000,26.180000,24.091055,52500
2013-07-16,26.480000,26.480000,25.950001,26.020000,23.943825,57200
2013-07-17,26.180000,26.180000,26.049999,26.080000,23.999035,27700
