Date,Dividends
1990-11-28,0.260000
1991-08-29,0.020000
1992-12-21,0.300000
1993-12-21,0.300000
1994-12-22,0.200000
1995-12-22,0.380000
1996-12-17,1.900000
1997-08-29,0.020000
1997-11-13,6.550000
1998-08-28,0.020000
1998-11-12,0.110000
1999-11-12,0.110000
2001-11-15,0.230000
2003-12-18,0.220000
2004-12-20,0.170000
2005-12-16,0.330000
2006-12-19,5.516000
2007-12-19,10.257000
2008-12-11,0.070000
2009-12-29,0.651000
2010-12-29,0.264000
2011-12-28,2.486000
2012-12-27,1.087000
2013-12-27,2.491000
2014-12-29,0.975000
2015-12-29,0.486000
2016-12-28,0.321000
2017-12-28,0.562000
2018-12-28,1.008000
2019-12-27,1.463000
2020-12-29,0.919000
2021-12-29,0.953000
2022-12-29,0.239000
