Date,Dividends
1999-09-28,1.381215
1999-12-21,1.657459
2000-03-28,1.657459
2000-06-28,1.657459
2000-09-29,1.657459
2001-01-05,1.933702
2001-04-04,1.933702
2001-06-28,1.933702
2001-10-04,2.209945
2002-01-03,2.486188
2002-04-04,2.486188
2002-07-03,2.486188
2002-10-03,2.486188
2002-12-31,2.486188
2003-04-02,2.486188
2003-07-02,2.486188
2003-10-02,2.486188
2004-01-06,2.486188
2004-04-01,2.486188
2004-07-01,2.486188
2004-09-30,2.486188
2004-12-30,2.486188
2005-03-31,2.486188
2005-06-30,2.486188
2005-09-29,2.486188
2005-12-29,2.486188
2006-03-30,2.486188
2006-06-29,2.486188
2006-09-28,2.486188
2006-12-28,2.486188
2007-03-29,2.486188
2007-06-28,2.486188
2007-09-27,1.381215
2008-01-03,1.381215
2008-04-03,1.381215
2008-07-02,1.381215
2008-10-02,1.381215
2008-12-31,1.381215
2020-11-04,0.030000
2021-01-20,0.030000
2021-04-21,0.030000
2021-07-21,0.030000
2021-10-21,0.040000
2022-01-20,0.040000
2022-04-13,0.040000
2022-07-14,0.050000
2022-10-13,0.050000
2023-01-13,0.050000
2023-04-14,0.060000
2023-07-20,0.060000
