Date,Open,High,Low,Close,Adj Close,Volume
2015-04-16,43.259998,43.820000,43.259998,43.560001,41.385941,19500
2015-04-17,44.380001,44.380001,38.669998,39.270000,37.310055,25900
2015-04-20,42.279999,42.820000,41.730999,42.810001,40.673378,26700
2015-04-21,44.730000,44.950001,44.450001,44.750000,42.516548,78100
2015-04-22,47.360001,48.180000,47.000000,48.130001,45.727859,132800
2015-04-23,46.509998,47.119999,46.230000,46.759998,44.426220,69000
2015-04-24,47.160000,47.160000,46.543999,46.750999,44.417679,63300
2015-04-27,48.810001,48.933998,47.860001,48.189999,45.784859,139400
2015-04-28,47.799999,47.799999,46.671001,47.209999,44.853760,78100
2015-04-29,47.680000,47.700001,47.070000,47.360001,44.996277,33200
2015-04-30,46.900002,47.169998,46.580002,46.580002,44.255211,107200
2015-05-01,46.763000,47.650002,46.763000,47.619999,45.243301,51900
2015-05-04,56.667999,56.667999,47.750000,48.369999,45.955872,120400
2015-05-05,44.470001,44.830002,43.650002,43.880001,41.689964,157400
2015-05-06,43.529999,43.529999,41.750000,41.900002,39.808781,101600
2015-05-07,40.360001,41.480000,40.130001,41.480000,39.409748,120900
2015-05-08,43.160000,43.771000,43.020000,43.650002,41.471443,123300
2015-05-11,45.950001,46.029999,45.500000,45.630001,43.352623,191700
2015-05-12,46.180000,46.279999,45.549999,46.110001,43.808670,147500
2015-05-13,45.540001,45.570999,44.959999,45.220001,42.963085,66000
2015-05-14,45.680000,46.389999,45.500000,46.209999,43.903683,66300
2015-05-15,45.279999,45.279999,44.119999,44.758999,42.525097,47900
2015-05-18,44.020000,44.169998,43.400002,43.580002,41.404942,28600
2015-05-19,47.330002,47.734001,47.150002,47.654999,45.276550,106900
2015-05-20,47.549999,47.801998,47.418999,47.610001,45.233795,59700
2015-05-21,49.200001,49.750000,49.110001,49.740002,47.257500,67000
2015-05-22,51.570000,53.310001,51.570000,53.080002,50.430798,140000
2015-05-26,58.950001,58.950001,56.000000,56.150002,53.347572,206500
2015-05-27,56.430000,56.430000,55.099998,55.389999,52.625504,108900
2015-05-28,48.400002,49.250000,47.480000,49.230000,46.772945,309300
2015-05-29,48.799999,48.799999,48.299999,48.549999,46.126884,147000
2015-06-01,53.310001,53.919998,52.840000,53.720001,51.038857,271100
2015-06-02,54.799999,55.814999,54.750000,55.680000,52.901035,183200
2015-06-03,54.580002,54.740002,54.160000,54.320000,51.608913,151300
2015-06-04,55.450001,55.500000,53.820000,54.180000,51.475899,142600
2015-06-05,54.619999,54.709999,54.000000,54.160000,51.456894,124700
2015-06-08,57.599998,58.304001,57.400002,58.070000,55.171753,182400
2015-06-09,56.180000,56.299999,54.959000,55.740002,52.958031,192800
2015-06-10,56.139999,56.860001,56.000000,56.720001,53.889130,77900
2015-06-11,57.200001,57.680000,57.060001,57.310001,54.449673,76000
2015-06-12,58.400002,58.923000,58.259998,58.799999,55.865314,98500
2015-06-15,55.189999,55.189999,54.061001,54.720001,51.988949,166800
2015-06-16,51.540001,51.980000,51.119999,51.860001,49.271687,152000
2015-06-17,53.619999,53.630001,53.000000,53.410000,50.744324,161000
2015-06-18,49.630001,50.639999,49.340000,50.599998,48.074570,257300
2015-06-19,44.990002,45.369999,44.400002,44.810001,42.573551,626700
2015-06-22,45.490002,46.270000,45.209999,45.669998,43.390625,274500
2015-06-23,47.459999,47.790001,47.000000,47.730000,45.347816,331200
2015-06-24,49.930000,50.099998,48.580002,48.790001,46.354916,320600
2015-06-25,44.810001,45.230000,43.869999,43.939999,41.746971,316000
2015-06-26,36.619999,36.750000,34.630001,35.029999,33.281670,884600
2015-06-29,35.160000,35.880001,35.080002,35.410000,33.642700,665100
2015-06-30,39.599998,40.000000,39.023998,39.900002,37.908607,859300
2015-07-01,35.779999,37.035000,35.680000,37.000000,35.153347,996300
2015-07-02,34.369999,34.450001,33.770000,33.990002,32.293564,782600
2015-07-06,32.799999,33.154999,32.080002,32.189999,30.583408,711600
2015-07-07,28.389999,28.389999,24.719999,27.730000,26.346006,2028300
2015-07-08,22.379999,23.900000,21.180000,21.260000,20.198925,1767700
2015-07-09,27.200001,29.889999,26.900000,29.770000,28.284191,2279500
2015-07-10,33.930000,33.930000,32.220001,33.240002,31.581009,1857200
2015-07-13,33.509998,33.599998,32.139999,32.779999,31.143959,1040600
2015-07-14,31.309999,31.809999,31.080000,31.760000,30.174870,617700
2015-07-15,29.000000,29.459999,28.520000,28.830000,27.391108,833800
2015-07-16,30.180000,31.690001,30.180000,31.639999,30.060860,935600
2015-07-17,33.720001,33.750000,32.983002,33.540001,31.866034,708800
2015-07-20,32.410000,32.889999,32.230000,32.299999,30.687920,377200
2015-07-21,32.459999,32.900002,32.459999,32.880001,31.238972,220100
2015-07-22,32.669998,33.080002,32.570000,32.939999,31.295975,442800
2015-07-23,35.000000,35.400002,34.778000,34.980000,33.234165,463800
2015-07-24,33.400002,33.400002,32.660000,33.049999,31.400490,467000
2015-07-27,26.510000,27.400000,26.000000,27.238001,25.878561,863200
2015-07-28,27.520000,28.320000,27.350000,28.230000,26.821049,560300
2015-07-29,29.670000,30.100000,29.389999,29.780001,28.293692,440900
2015-07-30,27.709999,28.190001,27.639999,28.059999,26.659536,344100
2015-07-31,28.020000,28.049999,27.450001,27.600000,26.222492,269200
2015-08-03,27.370001,27.570000,27.219999,27.430000,26.060980,193200
2015-08-04,29.290001,29.959999,29.290001,29.850000,28.360197,479900
2015-08-05,28.490000,29.020000,28.490000,28.780001,27.343603,180900
2015-08-06,28.389999,28.389999,27.711000,27.950001,26.555027,322400
2015-08-07,29.250000,29.250000,28.719999,28.950001,27.505116,359600
2015-08-10,32.000000,32.450001,31.879999,32.410000,30.792427,497700
2015-08-11,30.549999,30.549999,29.385000,30.080000,28.578720,655100
2015-08-12,27.860001,28.379999,27.500000,28.299999,26.887556,458900
2015-08-13,29.600000,29.680000,29.370001,29.420000,27.951656,328400
2015-08-14,29.580000,29.680000,29.309999,29.540001,28.065672,290600
2015-08-17,29.370001,29.370001,28.809999,29.150000,27.695133,189200
2015-08-18,25.510000,25.615000,24.950001,25.160000,23.904270,754400
2015-08-19,25.889999,25.889999,25.200001,25.309999,24.046791,282600
2015-08-20,24.180000,24.330000,23.709999,23.809999,22.621651,370600
2015-08-21,22.040001,22.620001,21.410000,21.520000,20.445946,783500
2015-08-24,15.000000,16.879999,13.650000,15.730000,14.944920,1602500
2015-08-25,17.400000,17.799999,15.730000,15.740000,14.954423,2222900
2015-08-26,15.050000,16.040001,14.370000,15.930000,15.134940,1809000
2015-08-27,17.299999,18.610001,17.040001,18.500000,17.576674,2138700
2015-08-28,18.200001,18.600000,18.049999,18.400000,17.481661,1227500
2015-08-31,17.969999,18.379999,17.799999,17.879999,16.987617,985400
2015-09-01,16.950001,17.150000,16.219999,16.700001,15.866508,1036100
2015-09-02,16.879999,16.959999,16.500999,16.950001,16.104031,398700
2015-09-03,17.059999,17.702999,16.910000,17.040001,16.189541,281400
2015-09-04,16.200001,16.570000,15.420000,15.680000,14.897417,519000
2015-09-08,18.850000,19.290001,18.660000,19.240000,18.279739,985500
2015-09-09,19.190001,19.240000,18.080000,18.110001,17.206135,656800
2015-09-10,18.639999,19.120001,18.610001,18.930000,17.985214,350900
2015-09-11,18.510000,19.150000,18.410000,18.950001,18.004213,261400
2015-09-14,17.500000,17.500000,17.090000,17.200001,16.341553,444100
2015-09-15,16.459999,16.879999,16.201000,16.680000,15.847505,486900
2015-09-16,18.120001,18.780001,18.059999,18.740000,17.804693,770100
2015-09-17,17.450001,18.629999,17.309999,17.830000,16.940113,571500
2015-09-18,17.559999,17.650000,17.139999,17.219999,16.360554,563700
2015-09-21,18.450001,18.709999,18.360001,18.510000,17.586172,385000
2015-09-22,18.000000,18.250000,17.799999,18.110001,17.206135,279000
2015-09-23,18.000000,18.280001,17.920000,18.030001,17.130129,260700
2015-09-24,17.969999,18.290001,17.709999,18.230000,17.320147,361800
2015-09-25,17.799999,17.969999,17.400000,17.400000,16.531569,366600
2015-09-28,17.530001,17.700001,17.270000,17.270000,16.408060,347700
2015-09-29,17.410000,17.700001,17.309999,17.549999,16.674082,374900
2015-09-30,17.940001,17.940001,17.540001,17.910000,17.016121,162600
2015-10-01,17.830000,18.208000,17.770000,18.170000,17.263144,154700
2015-10-02,17.730000,19.139999,17.730000,19.080000,18.127724,303500
2015-10-05,19.500000,19.790001,19.250000,19.620001,18.640774,310200
2015-10-06,19.500000,19.639999,19.299999,19.430000,18.460257,206800
2015-10-07,20.620001,20.650000,20.150000,20.420000,19.400848,529900
2015-10-08,19.379999,19.940001,19.170000,19.920000,18.925800,349700
2015-10-09,19.850000,19.900000,19.450001,19.520000,18.545765,179500
2015-10-12,21.040001,21.150000,20.860001,20.900000,19.856884,590400
2015-10-13,20.620001,21.049999,20.500000,20.750000,19.714376,224600
2015-10-14,20.309999,20.430000,20.059999,20.139999,19.134819,263600
2015-10-15,21.400000,22.049999,21.389999,21.920000,20.825981,415500
2015-10-16,22.219999,22.559999,21.959999,22.480000,21.358030,368400
2015-10-19,21.920000,21.990000,21.700001,21.879999,20.787975,307400
2015-10-20,22.309999,22.670000,22.309999,22.570000,21.443541,294000
2015-10-21,21.090000,21.090000,20.521000,20.610001,19.581366,478000
2015-10-22,21.600000,22.250000,21.600000,22.110001,21.006498,463500
2015-10-23,23.400000,23.570000,22.990000,23.379999,22.213110,565700
2015-10-26,22.410000,22.410000,22.142000,22.180000,21.073004,370600
2015-10-27,22.320000,22.320000,21.879999,22.020000,20.920992,301400
2015-10-28,21.430000,21.500000,20.799999,21.059999,20.008904,665400
2015-10-29,21.290001,21.620001,21.290001,21.520000,20.445946,361800
2015-10-30,21.549999,21.860001,21.520000,21.629999,20.550453,169700
2015-11-02,21.190001,21.400000,20.950001,21.330000,20.265427,168100
2015-11-03,21.059999,21.209999,20.709999,21.010000,19.961401,236500
2015-11-04,23.120001,23.290001,22.740000,22.850000,21.709568,776400
2015-11-05,23.690001,23.900000,23.530001,23.650000,22.469635,863400
2015-11-06,24.190001,24.920000,24.059999,24.850000,23.609747,536200
2015-11-09,25.129999,25.240000,24.500000,24.690001,23.457735,568400
2015-11-10,24.940001,25.200001,24.850000,25.049999,23.799767,254400
2015-11-11,25.459999,25.650000,25.200001,25.250000,23.989782,234500
2015-11-12,24.719999,24.790001,24.139999,24.190001,22.982687,349900
2015-11-13,23.350000,23.350000,22.400000,22.559999,21.434032,442200
2015-11-16,24.100000,24.799999,24.040001,24.790001,23.552740,522400
2015-11-17,24.129999,24.430000,24.070000,24.250000,23.039692,323500
2015-11-18,23.809999,24.256001,23.639999,24.110001,22.906675,284400
2015-11-19,24.750000,24.900000,24.580000,24.790001,23.552740,324600
2015-11-20,24.910000,25.000000,24.700001,24.730000,23.495733,219400
2015-11-23,24.240000,24.250000,23.969999,24.170000,22.963686,250500
2015-11-24,23.990000,24.290001,23.877001,24.250000,23.039692,187000
2015-11-25,24.760000,24.799999,24.549999,24.709999,23.476732,231600
2015-11-27,21.610001,21.670000,21.209999,21.250000,20.189421,544600
2015-11-30,21.469999,22.180000,21.440001,22.150000,21.044500,339800
2015-12-01,22.350000,22.350000,21.950001,22.230000,21.120510,225700
2015-12-02,23.500000,23.680000,23.150000,23.309999,22.146605,461200
2015-12-03,23.709999,23.820999,23.360001,23.480000,22.308117,248000
2015-12-04,22.680000,23.459999,22.680000,23.389999,22.222614,373100
2015-12-07,23.129999,23.129999,22.410000,22.590000,21.462543,262100
2015-12-08,21.660000,22.127001,21.600000,21.920000,20.825981,307800
2015-12-09,21.980000,22.360001,21.712000,21.719999,20.635963,184100
2015-12-10,21.730000,22.030001,21.590000,21.760000,20.673964,161200
2015-12-11,21.450001,21.469999,20.940001,21.040001,19.989902,181200
2015-12-14,22.520000,22.700001,22.350000,22.700001,21.567051,178900
2015-12-15,22.750000,22.889999,22.559999,22.639999,21.510046,248300
2015-12-16,22.900000,23.360001,22.860001,23.290001,22.127605,191600
2015-12-17,23.980000,23.980000,23.240000,23.299999,22.137106,284300
2015-12-18,23.490000,23.930000,23.420000,23.639999,22.460138,213700
2015-12-21,25.000000,25.200001,24.910000,25.120001,23.866274,309100
2015-12-22,25.440001,25.896999,25.260000,25.799999,24.512331,294200
2015-12-23,25.280001,25.370001,25.024000,25.340000,24.075291,200600
2015-12-24,24.820000,25.042999,24.690001,24.910000,23.666748,100000
2015-12-28,23.420000,23.500000,23.120001,23.230000,22.070601,235300
2015-12-29,23.730000,23.889999,23.570000,23.719999,22.536142,122600
2015-12-30,23.360001,23.700001,23.360001,23.540001,22.365126,150800
2015-12-31,23.610001,23.629999,23.200001,23.215000,22.056349,140700
2016-01-04,19.549999,19.549999,18.658001,19.230000,18.270239,997200
2016-01-05,19.900000,19.900000,19.520000,19.809999,18.821291,303600
2016-01-06,19.520000,19.870001,19.400000,19.510000,18.536264,197800
2016-01-07,17.150000,18.295000,16.719999,17.160000,16.303549,1367100
2016-01-08,18.000000,18.000000,17.230000,17.290001,16.427067,455200
2016-01-11,16.730000,16.840000,16.170000,16.520000,15.695493,610500
2016-01-12,17.240000,17.389999,16.950001,17.190001,16.332054,266800
2016-01-13,16.299999,16.320000,15.510000,15.550000,14.773906,438500
2016-01-14,16.400000,16.879999,16.190001,16.870001,16.028025,403600
2016-01-15,15.220000,15.400000,14.725000,15.230000,14.469877,546600
2016-01-19,16.549999,16.820000,16.275999,16.719999,15.885511,447300
2016-01-20,15.830000,16.160000,15.430000,15.960000,15.163442,404400
2016-01-21,15.310000,15.870000,15.310000,15.780000,14.992425,483800
2016-01-22,16.209999,16.242001,16.000000,16.230000,15.419966,163500
2016-01-25,15.760000,15.890000,15.400000,15.450000,14.678897,170200
2016-01-26,14.270000,14.476000,14.230000,14.380000,13.662301,581200
2016-01-27,14.030000,14.310000,13.850000,13.880000,13.187255,431900
2016-01-28,13.610000,13.770000,13.260000,13.510000,12.835722,661200
2016-01-29,14.270000,14.700000,14.177000,14.600000,13.871321,649200
2016-02-01,13.630000,13.790000,13.500000,13.610000,12.930731,480800
2016-02-02,14.380000,14.400000,13.910000,14.020000,13.320267,456300
2016-02-03,14.130000,14.630000,14.005000,14.620000,13.890322,331600
2016-02-04,14.670000,15.080000,14.670000,14.880000,14.137344,383700
2016-02-05,14.500000,14.520000,13.950000,13.990000,13.291765,171800
2016-02-08,13.730000,14.000000,13.600000,13.770000,13.082745,222400
2016-02-09,13.450000,13.800000,13.424000,13.620000,12.940230,133300
2016-02-10,13.740000,14.150000,13.740000,13.910000,13.215757,87300
2016-02-11,13.360000,13.510000,13.090000,13.320000,12.655204,330500
2016-02-12,13.660000,13.940000,13.425000,13.900000,13.206254,182800
2016-02-16,15.240000,15.950000,15.240000,15.900000,15.106437,517200
2016-02-17,15.970000,16.549999,15.870000,16.469999,15.647987,333100
2016-02-18,16.170000,16.309999,15.867000,15.970000,15.172944,215800
2016-02-19,16.010000,16.188000,15.910000,16.150000,15.343960,215900
2016-02-22,16.850000,17.170000,16.799999,17.090000,16.237043,350000
2016-02-23,16.459999,16.469999,16.150000,16.160000,15.353459,185300
2016-02-24,16.340000,16.731001,16.200001,16.670000,15.838005,238000
2016-02-25,14.650000,14.945000,14.520000,14.850000,14.108841,661500
2016-02-26,15.180000,15.290000,14.960000,14.980000,14.232354,316800
2016-02-29,14.560000,14.560000,14.350000,14.369000,13.651850,598000
2016-03-01,14.900000,15.272000,14.790000,15.230000,14.469877,538000
2016-03-02,15.990000,16.170000,15.830000,16.080000,15.277452,393700
2016-03-03,16.080000,16.400000,15.990000,16.290001,15.476971,318800
2016-03-04,16.730000,17.299999,16.629999,17.200001,16.341553,481800
2016-03-07,16.910000,17.049999,16.719999,16.809999,15.971017,200900
2016-03-08,16.740000,16.740000,16.188000,16.240000,15.429469,203500
2016-03-09,16.040001,16.250000,15.969000,16.170000,15.362964,199200
2016-03-10,15.750000,15.750000,15.150000,15.400000,14.631392,394800
2016-03-11,15.810000,16.219999,15.760000,16.219999,15.410461,248400
2016-03-14,16.370001,16.629999,16.309999,16.559999,15.733499,184900
2016-03-15,16.299999,16.431999,16.120001,16.370001,15.552979,120600
2016-03-16,16.389999,17.170000,16.290001,17.139999,16.284550,284800
2016-03-17,17.340000,17.790001,17.240999,17.660000,16.778597,732800
2016-03-18,18.150000,18.610001,18.150000,18.400000,17.481661,380400
2016-03-21,19.190001,19.190001,18.799999,19.070000,18.118225,391800
2016-03-22,18.610001,18.620001,18.296000,18.340000,17.424658,324600
2016-03-23,18.480000,18.549999,18.180000,18.250000,17.339149,169200
2016-03-24,17.520000,17.535000,17.320000,17.450001,16.579077,264000
2016-03-28,17.250000,17.680000,17.250000,17.639999,16.759592,166100
2016-03-29,17.100000,17.764999,17.030001,17.590000,16.712093,312400
2016-03-30,18.690001,18.940001,18.600000,18.760000,17.823700,516600
2016-03-31,18.440001,18.629999,18.430000,18.459999,17.538670,277500
2016-04-01,18.059999,18.700001,17.990000,18.590000,17.662184,192400
2016-04-04,18.219999,18.690001,18.219999,18.309999,17.396152,168200
2016-04-05,18.850000,18.889999,18.490000,18.570000,17.643177,375400
2016-04-06,18.750000,19.030001,18.520000,19.020000,18.070721,273400
2016-04-07,18.320000,18.320000,17.610001,17.809999,16.921110,361300
2016-04-08,18.270000,18.309999,17.930000,18.059999,17.158628,310800
2016-04-11,18.629999,18.760000,18.410000,18.490000,17.567173,300400
2016-04-12,18.459999,18.680000,18.190001,18.680000,17.747688,316100
2016-04-13,19.230000,19.510000,19.209999,19.350000,18.384249,498700
2016-04-14,19.330000,19.330000,18.980000,19.129999,18.175228,286000
2016-04-15,18.950001,19.020000,18.780001,18.860001,17.918703,664800
2016-04-18,18.490000,18.882000,18.330000,18.830000,17.890202,262400
2016-04-19,18.799999,18.920000,18.719999,18.870001,17.928205,261900
2016-04-20,17.809999,18.070000,17.660000,17.910000,17.016121,359300
2016-04-21,17.620001,17.700001,17.240000,17.240000,16.379559,284600
2016-04-22,17.520000,17.680000,17.389999,17.540001,16.664591,233000
2016-04-25,17.190001,17.410000,17.190001,17.360001,16.493568,241400
2016-04-26,17.690001,17.850000,17.639999,17.790001,16.902109,262400
2016-04-27,17.580000,17.799999,17.507000,17.709999,16.826099,162400
2016-04-28,17.500000,17.580000,17.350000,17.410000,16.541071,156300
2016-04-29,17.459999,17.500000,17.260000,17.450001,16.579077,132900
2016-05-02,17.740000,17.740000,17.360001,17.490000,16.617083,231000
2016-05-03,17.969999,18.010000,17.660999,17.760000,16.873608,196700
2016-05-04,17.799999,17.900000,17.568001,17.600000,16.721592,170100
2016-05-05,17.780001,17.889999,17.660000,17.760000,16.873608,129300
2016-05-06,16.799999,16.889999,16.700001,16.780001,15.942515,248700
2016-05-09,16.010000,16.020000,15.650000,15.740000,14.954423,366400
2016-05-10,16.049999,16.430000,16.049999,16.420000,15.600482,272500
2016-05-11,16.030001,16.260000,16.030001,16.040001,15.239450,143900
2016-05-12,16.420000,16.459999,16.139999,16.190001,15.381962,191900
2016-05-13,16.020000,16.150000,15.810000,15.860000,15.068432,251300
2016-05-16,16.230000,16.450001,16.230000,16.400000,15.581481,160700
2016-05-17,16.230000,16.270000,16.020000,16.030001,15.229949,167400
2016-05-18,15.950000,16.020000,15.600000,15.730000,14.944920,162300
2016-05-19,15.780000,15.870000,15.680000,15.750000,14.963923,68200
