Date,Dividends
2002-01-09,0.040787
2002-05-21,0.042667
2003-12-04,0.045849
2004-01-05,0.030807
2004-05-07,0.021695
2004-06-08,0.056408
2004-09-15,0.021695
2004-12-08,0.021695
2005-01-06,0.021695
2005-05-02,0.063495
2005-12-29,0.060313
2006-05-02,0.192076
2007-04-27,0.562776
2008-04-28,0.441717
2009-04-30,0.295924
2010-04-30,0.422516
2010-12-21,0.427940
2011-05-02,0.598791
2011-12-21,0.367736
2012-04-30,0.545095
2012-12-27,1.262396
2013-05-02,0.479504
2013-12-12,0.177424
2014-05-02,0.401000
2014-07-08,0.612000
2014-11-13,0.342000
2015-01-06,0.068000
2015-05-04,0.152000
2016-01-07,0.040000
2016-05-02,0.097000
2016-12-29,0.092000
2017-05-15,0.077000
2017-12-08,0.014000
2018-05-02,0.150000
2018-12-28,0.037000
2019-05-06,0.114000
2020-01-03,0.068000
2020-08-13,0.047000
2020-10-02,0.014000
2021-01-07,0.055000
2021-05-03,0.111000
2021-12-22,0.100000
2022-04-01,0.030000
2022-05-02,0.129000
2022-06-27,0.031000
2022-09-30,0.041000
2022-12-23,0.034000
2022-12-30,0.045000
2023-03-31,0.037000
2023-06-30,0.041000
