Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,6.510000,7.174000,6.510000,7.020000,4.658110,75100
2021-06-09,6.950000,6.950000,6.770000,6.790000,4.505493,30800
2021-06-10,6.740000,6.780000,6.620000,6.650000,4.412597,39000
2021-06-11,6.650000,6.765000,6.650000,6.720000,4.459044,20500
2021-06-14,6.700000,6.715000,6.600000,6.630000,4.399326,24400
2021-06-15,6.670000,6.722000,6.620000,6.670000,4.425868,12500
2021-06-16,6.660000,6.840000,6.610000,6.800000,4.512129,86800
2021-06-17,6.790000,6.940000,6.561000,6.920000,4.591754,31000
2021-06-18,6.950000,7.000000,6.810000,7.000000,4.644839,77100
2021-06-21,7.000000,7.570000,6.879000,7.570000,5.023062,100100
2021-06-22,7.440000,7.450000,7.160000,7.390000,4.903622,68600
2021-06-23,7.390000,7.490000,7.260000,7.480000,4.963342,31000
2021-06-24,7.450000,7.690000,7.290000,7.680000,5.096052,22600
2021-06-25,7.610000,7.690000,7.610000,7.660000,5.082780,4100
2021-06-28,7.660000,7.660000,7.480000,7.560000,5.016426,18800
2021-06-29,7.660000,8.395000,7.440000,7.660000,5.082780,5100
2021-06-30,7.130000,7.750000,7.130000,7.220000,4.790819,12800
2021-07-01,7.750000,7.750000,7.330000,7.705000,5.112639,7600
2021-07-02,7.390000,7.413000,7.112000,7.150000,4.744371,14400
2021-07-06,7.030000,7.150000,7.010000,7.098000,4.709867,12600
2021-07-07,7.030000,7.169000,7.000000,7.000000,4.644839,10900
2021-07-08,7.000000,7.140000,6.962000,6.970000,4.624932,13200
2021-07-09,6.980000,7.090000,6.930000,6.950000,4.611661,6200
2021-07-12,6.950000,7.090000,6.940000,7.050000,4.678016,11600
2021-07-13,7.100000,7.150000,6.969000,6.969000,4.624268,10000
2021-07-14,6.990000,7.100000,6.970000,6.980000,4.631567,2300
2021-07-15,6.940000,7.171000,6.890000,6.920000,4.591754,22700
2021-07-16,7.070000,7.070000,6.860000,6.860000,4.551942,6600
2021-07-19,6.630000,6.974000,6.420000,6.450000,4.279887,26800
2021-07-20,6.570000,6.570000,6.347000,6.380000,4.233439,16600
2021-07-21,6.510000,6.600000,6.490000,6.520000,4.326335,11000
2021-07-22,6.542000,6.550000,6.280000,6.280000,4.167084,7500
2021-07-23,6.290000,6.502000,6.273000,6.326000,4.197607,11700
2021-07-26,6.480000,6.680000,6.440000,6.455000,4.283204,10700
2021-07-27,6.790000,6.790000,6.530000,6.650000,4.412597,31700
2021-07-28,6.820000,6.950000,6.660000,6.810000,4.518764,48700
2021-07-29,6.918000,6.918000,6.730000,6.730000,4.465681,6500
2021-07-30,6.910000,6.910000,6.795000,6.795000,4.508811,3900
2021-08-02,6.810000,6.880000,6.723000,6.725000,4.462363,20500
