Date,Open,High,Low,Close,Adj Close,Volume
2013-05-24,25.000000,25.090000,25.000000,25.010000,11.336906,406100
2013-05-28,25.020000,25.139999,25.020000,25.049999,11.355046,34200
2013-05-29,25.040001,25.180000,25.010000,25.129999,11.391303,100200
2013-05-30,25.059999,25.150000,25.010000,25.010000,11.336906,46900
2013-05-31,25.030001,25.059999,25.000000,25.010000,11.336906,67600
2013-06-03,25.000000,25.030001,25.000000,25.000000,11.332376,21200
2013-06-04,25.020000,25.020000,25.000000,25.000000,11.332376,39500
2013-06-05,25.000000,25.010000,25.000000,25.000000,11.332376,75500
2013-06-06,25.000000,25.010000,25.000000,25.000000,11.332376,39500
2013-06-07,25.010000,25.090000,25.000000,25.000000,11.332376,29800
2013-06-10,25.080000,25.080000,25.020000,25.040001,11.350501,16900
2013-06-11,25.000000,25.080000,25.000000,25.000000,11.332376,28700
2013-06-12,25.030001,25.090000,25.000000,25.000000,11.332376,46300
2013-06-13,25.000000,25.010000,25.000000,25.000000,11.332376,87300
2013-06-14,25.000000,25.070000,25.000000,25.010000,11.336906,37500
2013-06-17,25.100000,25.100000,25.000000,25.000000,11.332376,22800
2013-06-18,25.030001,25.030001,24.990000,25.000000,11.332376,41200
2013-06-19,25.000000,25.010000,25.000000,25.000000,11.332376,34000
2013-06-20,25.000000,25.010000,25.000000,25.000000,11.332376,183500
2013-06-21,25.000000,25.010000,25.000000,25.000000,11.332376,157600
2013-06-24,25.000000,25.010000,25.000000,25.000000,11.332376,204000
2013-06-25,25.000000,25.010000,25.000000,25.000000,11.332376,129100
2013-06-26,25.000000,25.020000,25.000000,25.020000,11.341436,117400
2013-06-27,25.010000,25.020000,25.000000,25.000000,11.332376,210000
2013-06-28,24.700001,25.040001,24.700001,25.000000,11.332376,117000
2013-07-01,24.780001,24.900000,24.549999,24.639999,11.169186,835400
2013-07-02,24.500000,24.639999,24.500000,24.559999,11.132926,360800
2013-07-03,24.520000,24.520000,24.400000,24.400000,11.060392,83900
2013-07-05,24.320000,24.370001,24.110001,24.209999,10.974273,39800
2013-07-08,24.170000,24.280001,24.030001,24.049999,10.901748,48100
2013-07-09,23.610001,24.030001,23.600000,23.799999,10.788419,185500
2013-07-10,23.580000,23.719999,23.469999,23.620001,10.777472,49300
2013-07-11,23.740000,24.030001,23.620001,23.709999,10.818536,31400
2013-07-12,23.750000,23.850000,23.459999,23.530001,10.736402,37900
2013-07-15,23.530001,23.680000,23.030001,23.120001,10.549328,110700
2013-07-16,23.010000,23.080000,22.650000,22.650000,10.334874,52300
2013-07-17,22.629999,22.629999,22.080000,22.120001,10.093043,162400
2013-07-18,22.150000,22.299999,22.020000,22.139999,10.102166,102500
2013-07-19,22.090000,22.190001,21.830000,21.950001,10.015471,105300
2013-07-22,21.920000,22.200001,21.650000,22.200001,10.129548,81400
2013-07-23,22.219999,22.309999,21.930000,22.170000,10.115853,32700
2013-07-24,22.049999,22.379999,21.980000,22.209999,10.134104,83000
2013-07-25,22.360001,22.580000,22.190001,22.459999,10.248178,81100
2013-07-26,22.450001,22.500000,22.080000,22.219999,10.138672,64200
2013-07-29,22.370001,22.370001,22.030001,22.250000,10.152366,10200
2013-07-30,22.360001,22.420000,22.200001,22.370001,10.207110,9400
2013-07-31,22.400000,22.570000,22.030001,22.090000,10.079355,20800
2013-08-01,22.100000,22.230000,21.280001,21.330000,9.732571,116600
2013-08-02,21.480000,22.299999,21.410000,22.230000,10.143233,108700
2013-08-05,22.000000,22.270000,22.000000,22.129999,10.097605,30500
2013-08-06,22.000000,22.379999,21.500000,21.760000,9.928779,61100
2013-08-07,21.510000,21.799999,21.350000,21.480000,9.801019,43200
2013-08-08,21.469999,21.469999,20.870001,20.879999,9.527246,147900
2013-08-09,20.799999,21.549999,20.700001,21.510000,9.814705,80900
2013-08-12,21.490000,21.730000,21.200001,21.450001,9.787333,65800
2013-08-13,21.780001,21.780001,21.250000,21.530001,9.823831,68800
2013-08-14,21.770000,21.770000,21.000000,21.510000,9.814705,60400
2013-08-15,21.400000,21.440001,20.799999,21.219999,9.682380,76600
2013-08-16,20.750000,21.100000,20.430000,20.850000,9.513556,124300
2013-08-19,20.520000,21.400000,20.520000,20.799999,9.490745,86600
2013-08-20,20.500000,21.160000,20.459999,20.750000,9.467932,105300
2013-08-21,20.969999,20.969999,20.230000,20.750000,9.539651,101100
2013-08-22,20.730000,21.000000,20.260000,20.840000,9.581026,126400
2013-08-23,20.540001,21.250000,20.540001,21.200001,9.746537,114200
2013-08-26,21.090000,21.160000,20.430000,20.680000,9.507466,217200
2013-08-27,20.719999,20.879999,20.520000,20.680000,9.507466,64900
2013-08-28,20.700001,20.879999,20.360001,20.860001,9.590219,64900
2013-08-29,20.570000,20.920000,20.559999,20.650000,9.493676,95200
2013-08-30,20.820000,21.150000,20.469999,21.139999,9.718947,63800
2013-09-03,21.139999,21.150000,20.750000,20.930000,9.622402,33200
2013-09-04,20.840000,20.990000,20.650000,20.690001,9.512067,64400
2013-09-05,20.750000,20.750000,20.500000,20.530001,9.438508,48200
2013-09-06,20.530001,20.580000,20.340000,20.420000,9.387934,44500
2013-09-09,20.540001,20.639999,20.260000,20.309999,9.337364,66700
2013-09-10,20.350000,20.540001,20.040001,20.200001,9.286788,88700
2013-09-11,20.160000,20.430000,20.030001,20.280001,9.323565,94300
2013-09-12,20.230000,20.430000,19.870001,20.000000,9.194845,121400
2013-09-13,20.000000,20.219999,19.820000,20.059999,9.222425,96200
2013-09-16,20.350000,20.410000,20.000000,20.000000,9.194845,83400
2013-09-17,20.000000,20.299999,19.950001,20.080000,9.231622,104200
2013-09-18,20.129999,20.590000,20.030001,20.510000,9.429312,142600
2013-09-19,20.360001,20.570000,20.110001,20.250000,9.381128,108200
2013-09-20,20.450001,20.450001,19.959999,20.150000,9.334810,115100
2013-09-23,20.240000,20.570000,20.059999,20.549999,9.520108,134500
2013-09-24,20.400000,20.700001,20.290001,20.700001,9.589602,91900
2013-09-25,20.780001,20.780001,20.600000,20.730000,9.603503,55100
2013-09-26,20.650000,21.000000,20.650000,20.680000,9.580328,83200
2013-09-27,20.809999,20.930000,20.600000,20.930000,9.696154,145700
2013-09-30,21.040001,21.340000,20.520000,21.340000,9.886093,347400
2013-10-01,21.150000,21.360001,20.980000,21.250000,9.844394,101700
2013-10-02,21.350000,21.350000,20.700001,21.139999,9.793446,74900
2013-10-03,21.260000,21.260000,20.799999,21.000000,9.728580,37300
2013-10-04,21.320000,21.320000,21.010000,21.010000,9.733213,31400
2013-10-07,21.200001,21.389999,20.660000,20.719999,9.598861,39200
2013-10-08,20.799999,20.799999,20.530001,20.650000,9.566436,50700
2013-10-09,20.650000,20.889999,20.510000,20.680000,9.580328,50400
2013-10-10,20.770000,21.090000,20.410000,20.430000,9.464523,78500
2013-10-11,20.520000,20.750000,20.360001,20.670000,9.575701,53700
2013-10-14,20.540001,20.950001,20.500000,20.730000,9.603503,38900
2013-10-15,20.490000,20.850000,20.490000,20.690001,9.584971,112300
2013-10-16,20.709999,20.740000,20.299999,20.389999,9.445991,70100
2013-10-17,20.430000,20.820000,20.309999,20.639999,9.561810,100600
2013-10-18,20.600000,20.860001,20.570000,20.690001,9.584971,133800
