Date,Dividends
2006-12-21,0.209000
2007-12-17,0.479000
2008-12-22,0.800000
2009-03-23,0.211000
2009-06-22,0.338000
2009-12-21,0.183000
2010-06-28,0.185000
2010-12-22,0.264000
2011-06-22,0.476000
2011-12-21,0.270000
2012-06-25,0.316000
2012-09-24,0.004000
2012-12-24,0.233000
2013-06-24,0.247000
2013-12-24,0.992000
2014-06-23,0.546000
2014-12-19,5.172000
2015-06-22,0.324000
2015-09-21,0.036000
2015-12-21,2.620000
2016-06-20,0.435000
2016-09-26,0.050000
2016-12-23,0.496000
2017-06-26,0.830000
2017-09-26,0.045000
2017-12-26,0.492000
2018-06-25,1.092000
2018-12-24,0.262000
2019-03-26,0.020000
2019-06-24,0.578000
2019-09-24,0.065000
2019-12-23,0.664000
2020-06-23,0.586000
2020-12-21,0.792000
2021-06-24,0.473000
2021-09-24,0.065000
2021-12-27,1.110000
2022-06-24,0.750000
2022-09-26,0.130000
2022-12-23,1.065000
2023-03-27,0.625000
2023-06-26,0.782000
