Date,Dividends
2012-06-15,0.043000
2012-09-21,0.106000
2012-12-21,0.175000
2013-06-21,0.119000
2013-09-20,0.055000
2013-12-20,0.191000
2014-06-20,0.258000
2014-12-19,0.237000
2015-06-19,0.094000
2015-12-18,0.321000
2016-12-16,0.223000
2017-06-16,0.011000
2017-09-18,0.140000
2017-12-18,0.143000
2017-12-27,0.759000
2018-12-24,0.110000
2018-12-26,1.852000
2019-03-18,0.049000
2019-09-23,0.270000
2019-12-23,0.059000
2020-03-23,0.277000
2020-12-21,0.012000
2021-03-22,0.069000
2021-06-21,0.040000
2021-12-20,0.086000
2022-03-21,0.070000
2022-06-21,0.117000
2022-09-19,0.166000
2022-12-19,0.174000
2023-03-20,0.124000
2023-06-20,0.237000
