Date,Dividends
1998-10-28,0.112500
1999-01-27,0.112500
1999-04-28,0.112500
1999-07-28,0.112500
1999-10-27,0.112500
2000-01-27,0.125000
2000-04-26,0.125000
2000-07-27,0.131250
2000-10-27,0.131250
2001-01-29,0.137500
2001-04-26,0.137500
2001-07-27,0.147000
2001-10-29,0.156250
2002-01-29,0.156250
2002-04-26,0.167500
2002-07-29,0.167500
2002-10-29,0.172500
2003-01-29,0.172500
2003-04-28,0.181500
2003-07-29,0.181500
2003-10-29,0.186500
2004-01-28,0.186500
2004-04-28,0.186500
2004-07-28,0.186500
2004-10-27,0.197500
2005-01-27,0.200000
2005-04-27,0.205000
2005-07-27,0.210000
2005-10-27,0.215000
2006-01-27,0.219000
2006-04-26,0.222500
2006-07-27,0.226500
2006-10-27,0.230000
2007-01-29,0.234000
2007-04-26,0.237500
2007-07-27,0.241500
2007-10-29,0.245000
2008-01-29,0.250000
2008-04-28,0.254000
2008-07-29,0.257500
2008-10-29,0.261500
2009-01-28,0.265000
2009-04-28,0.269000
2009-07-29,0.272500
2009-10-28,0.276500
2010-01-27,0.280000
2010-04-28,0.284000
2010-07-28,0.287500
2010-10-27,0.291500
2011-01-27,0.295000
2011-04-27,0.299000
2011-07-27,0.302500
2011-10-27,0.306500
2012-01-27,0.310000
2012-04-26,0.314000
2012-07-27,0.317500
2012-10-31,0.325000
2013-01-29,0.330000
2013-04-26,0.335000
2013-07-29,0.340000
2013-10-29,0.345000
2014-01-29,0.350000
2014-04-28,0.355000
2014-07-29,0.360000
2014-10-29,0.365000
2015-01-28,0.370000
2015-04-28,0.375000
2015-07-29,0.380000
2015-10-28,0.385000
2016-01-27,0.390000
2016-04-27,0.395000
2016-07-27,0.400000
2016-10-27,0.405000
2017-01-27,0.410000
2017-04-26,0.415000
2017-07-27,0.420000
2017-10-30,0.423000
2018-01-30,0.425000
2018-04-27,0.428000
2018-07-30,0.430000
2018-10-30,0.433000
2019-01-30,0.435000
2019-04-29,0.438000
2019-07-30,0.440000
2019-10-30,0.443000
2020-01-30,0.445000
2020-04-29,0.445000
2020-07-30,0.445000
2020-10-29,0.445000
2021-01-28,0.450000
2021-04-29,0.450000
2021-07-29,0.450000
2021-10-28,0.450000
2022-01-28,0.465000
2022-04-28,0.465000
2022-07-28,0.475000
2022-10-28,0.475000
2023-01-30,0.490000
2023-04-27,0.490000
