Date,Dividends
1996-08-26,0.691000
1996-12-23,0.012000
1997-08-25,0.726000
1997-12-23,0.175000
1998-08-25,3.570000
1998-12-22,0.730000
1999-08-25,2.113000
2000-08-24,0.359000
2000-12-20,0.036000
2001-08-24,0.232000
2001-12-24,0.070000
2002-12-23,0.114000
2003-12-16,0.110000
2003-12-22,1.006000
2004-12-23,0.285000
2005-12-23,0.813000
2006-12-20,0.441000
2007-12-20,0.719000
2008-06-25,1.042000
2008-12-23,0.150000
2009-06-23,0.187000
2009-12-22,0.044000
2010-06-23,0.152000
2010-12-21,0.092000
2011-06-22,0.243000
2011-12-20,0.324000
2012-06-21,0.354000
2012-12-18,0.021000
2013-06-27,0.373000
2013-12-18,0.384000
2014-06-25,0.226000
2014-12-17,0.073000
2015-06-25,0.289000
2015-12-21,0.083000
2016-06-22,0.147000
2016-12-21,0.159000
2017-06-20,0.347000
2017-12-19,0.264000
2018-06-19,0.357000
2018-12-18,0.096000
2019-06-17,0.348000
2019-12-16,0.206000
2020-06-15,0.150000
2020-12-14,0.175000
2021-06-10,0.252000
2021-12-13,0.524000
2022-06-09,0.463000
2023-06-07,0.333000
