Date,Dividends
1996-08-26,0.312000
1997-08-25,0.353000
1997-12-23,0.078000
1998-08-25,0.404000
1998-12-22,0.380000
1999-08-25,0.248000
1999-12-21,0.566000
2000-08-24,1.233000
2000-12-20,1.800000
2001-08-24,0.053000
2002-12-23,0.177000
2003-12-16,0.180000
2003-12-22,0.284000
2004-12-23,0.299000
2005-12-23,0.322000
2006-12-20,0.464000
2007-12-20,0.346000
2008-06-25,1.242000
2008-12-23,0.447000
2009-06-23,0.505000
2009-12-22,0.121000
2010-06-23,0.483000
2010-12-21,0.180000
2011-06-22,0.490000
2011-12-20,0.177000
2012-06-21,0.515000
2012-12-18,0.113000
2013-06-27,0.569000
2013-12-18,0.122000
2014-06-25,0.613000
2014-12-17,0.219000
2015-06-25,0.457000
2015-12-21,0.072000
2015-12-29,0.016000
2016-06-22,0.614000
2016-12-21,0.087000
2017-06-20,0.497000
2017-12-19,0.095000
2018-06-19,0.646000
2018-12-18,0.123000
2019-06-17,0.730000
2019-12-16,0.069000
2020-06-15,0.177000
2020-12-14,0.163000
2021-06-10,0.435000
2021-12-13,1.037000
2022-06-09,0.948000
2022-12-13,0.123000
2023-06-07,0.817000
