Date,Dividends
2017-06-20,0.033000
2017-09-20,0.107000
2017-12-20,0.178000
2018-03-20,0.051000
2018-06-20,0.050000
2018-09-20,0.135000
2018-12-20,0.138000
2019-03-20,0.053000
2019-06-11,0.037000
2019-09-11,0.174000
2019-12-11,0.190000
2020-03-11,0.069000
2020-06-11,0.053000
2020-09-14,0.130000
2020-12-14,0.163000
2021-03-11,0.066000
2021-06-10,0.092000
2021-09-13,0.127000
2021-12-13,0.223000
2022-03-10,0.069000
2022-06-17,0.120000
2022-09-16,0.159000
2022-12-16,0.203000
2023-03-17,0.086000
2023-06-23,0.138000
