Date,Dividends
1998-06-08,0.093000
1999-05-28,0.103500
2000-05-25,0.110500
2001-05-21,0.121000
2002-05-20,0.124500
2003-05-20,0.167500
2004-05-20,0.041500
2004-05-25,0.211000
2005-05-20,0.239000
2006-05-05,0.244000
2007-05-11,0.313500
2008-05-16,0.416000
2009-05-05,0.374500
2010-05-07,0.407500
2011-05-10,0.475000
2012-05-08,0.455500
2013-05-14,0.490000
2014-05-13,0.533000
2015-05-15,0.438000
2016-05-10,0.440000
2017-05-11,0.514000
2018-05-21,0.632000
2019-05-17,0.655000
2020-08-28,0.707000
2021-05-24,0.834000
2022-05-13,0.709000
2023-05-17,0.618000
