Date,Dividends
2001-08-21,2.000000
2001-11-19,0.500000
2002-03-11,1.000000
2002-05-29,0.250000
2003-03-06,0.750000
2003-05-16,5.000000
2003-06-19,5.000000
2003-08-14,5.500000
2003-11-28,6.500000
2004-03-10,22.500000
2004-06-17,41.549999
2004-08-26,8.000000
2004-11-23,12.500000
2004-11-29,17.165001
2004-12-23,9.000000
2005-02-03,29.275000
2005-03-03,17.500000
2005-06-08,15.500000
2005-09-01,10.000000
2005-11-25,7.500000
2006-03-02,7.500000
2006-06-08,7.500000
2006-08-29,7.500000
2006-12-05,12.500000
2007-03-06,23.719999
2007-06-06,7.500000
2007-10-10,16.250000
2007-11-26,7.500000
2008-02-22,10.000000
2008-03-14,1.700000
2008-06-02,13.750000
2008-09-02,15.000000
2008-12-05,2.500000
2009-03-09,1.250000
2009-06-05,1.250000
2009-09-09,1.250000
2009-12-04,0.750000
2010-03-05,1.250000
2010-06-02,3.750000
2010-09-08,3.750000
2010-12-03,1.250000
2011-03-07,0.500000
2011-06-06,0.500000
2011-09-07,0.100000
2015-12-16,0.250000
2016-03-09,0.350000
2016-06-09,0.400000
2016-09-08,0.200000
2016-12-13,0.100000
2017-03-09,0.150000
2017-06-08,0.150000
2019-12-10,0.100000
2020-03-12,0.400000
2020-06-03,0.700000
2020-09-10,0.500000
2022-09-15,0.150000
2023-03-15,1.070000
2023-06-15,0.700000
