Date,Dividends
2011-12-21,0.001000
2012-06-21,0.024000
2012-12-21,0.075000
2013-12-18,0.006000
2014-12-23,0.008000
2015-03-25,0.008000
2015-06-24,0.005000
2015-09-23,0.006000
2015-12-23,0.047000
2016-03-23,0.004000
2016-06-22,0.015000
2016-09-21,0.023000
2016-12-21,0.066000
2017-12-21,0.045000
2018-03-22,0.021000
2018-06-21,0.004000
2018-12-18,0.013000
2019-09-25,0.040000
2019-12-13,0.143000
2020-09-24,0.012000
2020-12-24,0.061000
2021-09-23,0.029000
2021-12-23,0.442000
2022-06-24,0.002000
2023-03-24,0.059000
2023-06-27,0.072000
