Date,Open,High,Low,Close,Adj Close,Volume
2022-09-07,25.920000,25.920000,25.920000,25.920000,25.536026,100
2022-09-08,25.760000,25.760000,25.483000,25.483000,25.105501,900
2022-09-09,26.365000,26.459999,26.350000,26.350000,25.959660,1100
2022-09-12,26.500000,26.559999,26.209999,26.329000,25.938971,10100
2022-09-13,25.400000,25.400000,24.106001,24.120001,23.762693,4400
2022-09-14,24.120001,24.370001,23.961000,24.280001,23.920324,6000
2022-09-15,23.520000,23.789000,23.450001,23.590000,23.240543,3600
2022-09-16,23.219999,23.610001,23.219999,23.559999,23.210987,2900
2022-09-19,23.230000,23.606001,23.160000,23.606001,23.256308,2000
2022-09-20,23.290001,23.290001,22.860001,22.882000,22.548763,3500
2022-09-21,23.000000,23.350000,22.280001,22.280001,21.955530,11900
2022-09-22,22.200001,22.714001,22.200001,22.629999,22.300432,7600
2022-09-23,22.200001,22.200001,21.681000,22.129999,21.807714,10100
2022-09-26,21.860001,22.400000,21.860001,21.933001,21.613585,5100
2022-09-27,22.389999,22.459000,21.518000,21.671000,21.355398,6900
2022-09-28,21.739000,22.669001,21.739000,22.538000,22.209774,20900
2022-09-29,21.900000,21.900000,21.250999,21.663000,21.347517,4400
2022-09-30,21.459999,22.099001,21.030001,21.030001,20.723734,6000
2022-10-03,21.469999,22.090000,21.430000,21.979000,21.658913,4000
2022-10-04,22.709999,23.004999,22.660000,22.950001,22.615774,13000
2022-10-05,22.430000,23.056000,22.090000,22.877001,22.543835,8500
2022-10-06,22.709999,23.299999,22.709999,22.930000,22.596066,6100
2022-10-07,22.340000,22.520000,21.870001,21.980000,21.659899,12400
2022-10-10,22.040001,22.040001,21.559999,21.690001,21.374123,5400
2022-10-11,21.570000,21.950001,21.250000,21.450001,21.137619,7100
2022-10-12,21.520000,21.900000,21.520000,21.600000,21.285435,2100
2022-10-13,20.600000,22.224001,20.600000,22.115000,21.792933,18600
2022-10-14,22.450001,22.450001,21.280001,21.280001,20.970095,15600
2022-10-17,22.010000,22.599001,22.010000,22.379999,22.054071,12100
2022-10-18,23.480000,23.490000,22.400000,22.566999,22.238350,44400
2022-10-19,22.305000,22.639000,22.180000,22.254000,21.929909,6000
2022-10-20,22.750000,23.117001,22.386000,22.386000,22.059986,10200
