Date,Open,High,Low,Close,Adj Close,Volume
1997-10-30,12.500000,13.500000,12.500000,12.625000,10.442400,2106900
1997-10-31,13.125000,13.187500,12.687500,13.062500,10.804267,488300
1997-11-03,13.000000,13.937500,13.000000,13.937500,11.527997,155000
1997-11-04,13.875000,13.875000,13.000000,13.375000,11.062743,258400
1997-11-05,13.375000,13.750000,13.375000,13.500000,11.166131,58000
1997-11-06,13.562500,13.875000,13.437500,13.437500,11.114441,57200
1997-11-07,13.000000,13.312500,12.937500,13.000000,10.752571,67100
1997-11-10,13.000000,13.125000,12.875000,12.875000,10.649185,85200
1997-11-11,12.750000,12.750000,12.125000,12.187500,10.080541,167000
1997-11-12,12.000000,12.125000,11.625000,11.937500,9.873755,82900
1997-11-13,11.812500,11.812500,11.000000,11.000000,9.098329,133100
1997-11-14,11.000000,11.187500,10.937500,11.000000,9.098329,68000
1997-11-17,11.125000,11.125000,10.937500,11.062500,9.150024,31400
1997-11-18,10.937500,10.937500,10.312500,10.312500,8.529686,71200
1997-11-19,10.187500,10.250000,9.437500,9.625000,7.961039,70300
1997-11-20,9.750000,10.875000,9.750000,10.875000,8.994944,39800
1997-11-21,10.937500,11.125000,10.500000,10.875000,8.994944,21600
1997-11-24,10.937500,10.937500,10.312500,10.375000,8.581379,14700
1997-11-25,10.437500,10.437500,9.875000,10.250000,8.477992,142200
1997-11-26,10.125000,10.125000,9.750000,9.812500,8.116122,46700
1997-11-28,9.750000,9.750000,9.625000,9.687500,8.012733,1600
1997-12-01,10.625000,10.687500,10.250000,10.375000,8.581379,194000
1997-12-02,10.500000,11.250000,10.437500,10.625000,8.788162,85300
1997-12-03,10.687500,10.750000,10.062500,10.500000,8.684769,25700
1997-12-04,10.375000,10.562500,10.062500,10.375000,8.581379,40300
1997-12-05,10.500000,11.250000,10.500000,10.812500,8.943247,137800
1997-12-08,10.812500,10.937500,10.750000,10.875000,8.994944,28700
1997-12-09,10.812500,10.875000,10.750000,10.750000,8.891551,38100
1997-12-10,10.562500,10.750000,10.500000,10.750000,8.891551,74000
1997-12-11,10.625000,10.750000,10.250000,10.750000,8.891551,20000
1997-12-12,10.812500,10.937500,10.250000,10.312500,8.529686,14600
1997-12-15,10.187500,10.375000,9.500000,9.500000,7.857648,73300
1997-12-16,9.375000,10.000000,9.375000,9.812500,8.116122,50600
1997-12-17,9.687500,9.687500,9.250000,9.250000,7.650868,49600
1997-12-18,9.187500,9.250000,9.125000,9.187500,7.599176,30100
1997-12-19,9.250000,9.500000,9.125000,9.125000,7.547481,180000
1997-12-22,9.250000,9.250000,9.062500,9.062500,7.495785,14000
1997-12-23,9.125000,9.125000,8.437500,8.625000,7.133916,90000
1997-12-24,8.625000,8.625000,8.125000,8.437500,6.978832,88500
1997-12-26,7.937500,8.312500,7.750000,8.187500,6.772051,98700
1997-12-29,8.312500,8.312500,7.812500,8.125000,6.720357,199500
1997-12-30,8.250000,9.125000,8.125000,8.750000,7.237309,140100
1997-12-31,8.750000,9.062500,8.500000,9.062500,7.495785,103800
1998-01-02,9.000000,9.437500,8.812500,9.375000,7.754258,15400
1998-01-05,9.500000,9.937500,9.250000,9.937500,8.219517,104300
1998-01-06,9.875000,10.437500,9.875000,10.250000,8.477992,92700
1998-01-07,10.000000,10.000000,9.500000,9.625000,7.961039,47600
1998-01-08,9.500000,9.687500,9.250000,9.500000,7.857648,67200
1998-01-09,9.375000,9.500000,9.375000,9.437500,7.805956,17000
1998-01-12,9.500000,9.625000,9.500000,9.625000,7.961039,15000
1998-01-13,9.625000,9.687500,9.250000,9.250000,7.650868,3500
1998-01-14,9.250000,9.250000,9.125000,9.250000,7.650868,16000
1998-01-15,9.250000,9.375000,9.125000,9.375000,7.754258,21700
1998-01-16,9.312500,9.437500,9.187500,9.250000,7.650868,22700
1998-01-20,9.375000,9.375000,9.125000,9.125000,7.547481,12900
1998-01-21,9.000000,9.250000,8.625000,9.250000,7.650868,44300
1998-01-22,9.125000,9.250000,8.750000,9.000000,7.444088,17400
1998-01-23,9.125000,9.125000,9.000000,9.000000,7.444088,31400
1998-01-26,9.000000,9.000000,8.875000,9.000000,7.444088,7200
1998-01-27,8.937500,9.750000,8.875000,9.750000,8.064428,39300
1998-01-28,9.750000,9.750000,9.500000,9.687500,8.012733,27600
1998-01-29,9.562500,9.562500,9.375000,9.500000,7.857648,9800
1998-01-30,9.500000,9.687500,9.250000,9.250000,7.650868,11300
1998-02-02,9.500000,9.625000,9.375000,9.500000,7.857648,13000
1998-02-03,9.500000,9.500000,9.375000,9.375000,7.754258,21100
1998-02-04,9.250000,9.250000,8.875000,9.000000,7.444088,28200
1998-02-05,8.750000,8.875000,8.687500,8.750000,7.237309,144500
1998-02-06,8.875000,9.000000,8.750000,9.000000,7.444088,19300
1998-02-09,8.750000,9.125000,8.750000,9.125000,7.547481,14100
1998-02-10,9.250000,9.937500,9.250000,9.937500,8.219517,34300
1998-02-11,10.187500,10.375000,9.750000,9.750000,8.064428,109500
1998-02-12,9.625000,9.937500,9.625000,9.937500,8.219517,13700
1998-02-13,9.812500,9.875000,9.500000,9.625000,7.961039,7300
1998-02-17,9.750000,9.750000,9.625000,9.750000,8.064428,36100
1998-02-18,9.750000,9.812500,9.562500,9.687500,8.012733,49800
1998-02-19,9.687500,9.687500,9.375000,9.500000,7.857648,14400
1998-02-20,9.437500,9.500000,9.250000,9.437500,7.805956,14300
1998-02-23,9.312500,9.312500,9.000000,9.187500,7.599176,38500
1998-02-24,9.312500,9.562500,9.312500,9.500000,7.857648,2900
1998-02-25,9.500000,9.750000,9.250000,9.750000,8.064428,13100
1998-02-26,10.000000,10.000000,9.812500,9.937500,8.219517,18000
1998-02-27,9.937500,10.000000,9.937500,10.000000,8.271207,26700
1998-03-02,10.000000,10.500000,10.000000,10.500000,8.684769,20800
1998-03-03,10.625000,10.625000,10.125000,10.125000,8.374598,14000
1998-03-04,10.062500,10.125000,9.937500,9.937500,8.219517,19600
1998-03-05,9.875000,9.875000,9.437500,9.750000,8.064428,19100
1998-03-06,9.875000,10.062500,9.562500,9.562500,7.909342,8900
1998-03-09,9.687500,10.000000,9.375000,9.500000,7.857648,15100
1998-03-10,9.562500,9.812500,9.500000,9.750000,8.064428,7700
1998-03-11,9.812500,9.875000,9.625000,9.750000,8.064428,22400
1998-03-12,9.875000,10.687500,9.875000,10.437500,8.633074,105200
1998-03-13,10.437500,11.000000,10.250000,10.875000,8.994944,33200
1998-03-16,10.937500,10.937500,10.437500,10.687500,8.839858,13800
1998-03-17,10.625000,10.625000,10.250000,10.500000,8.684769,24900
1998-03-18,10.562500,10.687500,10.375000,10.687500,8.839858,16900
1998-03-19,10.750000,11.250000,10.750000,10.875000,8.994944,36900
1998-03-20,11.000000,11.375000,11.000000,11.375000,9.408504,50200
1998-03-23,11.375000,11.500000,11.125000,11.187500,9.253413,33400
1998-03-24,11.312500,11.375000,10.812500,10.812500,8.943247,10200
1998-03-25,10.937500,11.125000,10.875000,10.937500,9.046635,21600
1998-03-26,11.000000,11.000000,10.937500,11.000000,9.098329,18100
1998-03-27,11.000000,11.312500,10.812500,10.812500,8.943247,5600
1998-03-30,11.000000,11.000000,10.875000,10.875000,8.994944,25000
1998-03-31,10.937500,10.937500,10.937500,10.937500,9.046635,1600
1998-04-01,11.000000,11.625000,10.937500,11.625000,9.615281,169400
1998-04-02,11.937500,12.812500,11.625000,12.562500,10.390706,107600
1998-04-03,12.812500,13.000000,12.562500,12.937500,10.700881,147400
1998-04-06,12.937500,12.937500,12.687500,12.812500,10.597489,17500
1998-04-07,12.500000,12.625000,12.062500,12.250000,10.132231,32000
1998-04-08,12.125000,12.500000,12.125000,12.500000,10.339008,8000
1998-04-09,12.625000,12.625000,12.312500,12.437500,10.287316,17300
1998-04-13,12.375000,12.500000,12.125000,12.500000,10.339008,54100
1998-04-14,12.437500,12.687500,12.437500,12.625000,10.442400,5900
1998-04-15,12.625000,12.750000,12.562500,12.687500,10.494096,8400
1998-04-16,12.625000,13.125000,12.625000,12.750000,10.545794,50000
1998-04-17,12.812500,13.062500,12.812500,13.000000,10.752571,11700
1998-04-20,13.000000,14.750000,12.937500,14.250000,11.786471,185400
1998-04-21,15.000000,15.000000,14.375000,14.750000,12.200033,126200
1998-04-22,14.750000,14.812500,14.562500,14.812500,12.251728,45000
1998-04-23,14.875000,14.937500,14.687500,14.812500,12.251728,57000
1998-04-24,14.687500,14.875000,14.625000,14.750000,12.200033,50300
1998-04-27,14.625000,14.625000,13.875000,14.000000,11.579691,129800
1998-04-28,14.125000,14.312500,14.062500,14.312500,11.838165,106900
1998-04-29,14.250000,14.250000,14.062500,14.062500,11.631389,4400
1998-04-30,14.000000,15.000000,13.937500,15.000000,12.406814,33500
1998-05-01,14.937500,15.000000,14.375000,14.375000,11.889861,168100
1998-05-04,14.437500,14.625000,14.250000,14.437500,11.941558,10000
1998-05-05,14.375000,14.437500,13.937500,14.375000,11.889861,32900
1998-05-06,14.500000,14.562500,14.312500,14.312500,11.838165,23700
1998-05-07,14.187500,14.250000,13.812500,13.812500,11.424607,35900
1998-05-08,13.812500,14.312500,13.812500,14.125000,11.683084,35200
1998-05-11,14.250000,15.500000,14.250000,15.500000,12.820373,32000
1998-05-12,15.687500,15.687500,15.375000,15.500000,12.820373,30200
1998-05-13,15.437500,15.562500,15.000000,15.437500,12.768681,29600
1998-05-14,15.437500,16.000000,15.437500,15.937500,13.182243,102800
1998-05-15,15.875000,16.625000,15.750000,16.187500,13.389024,62000
1998-05-18,16.062500,16.187500,15.750000,15.750000,13.027156,22200
1998-05-19,15.750000,15.937500,15.750000,15.937500,13.182243,31100
1998-05-20,15.937500,16.250000,15.875000,16.125000,13.337323,238900
1998-05-21,16.125000,16.125000,15.750000,16.000000,13.233934,17700
1998-05-22,16.000000,16.187500,15.937500,16.187500,13.389024,24000
1998-05-26,16.250000,16.437500,16.250000,16.312500,13.492410,20100
1998-05-27,16.125000,16.250000,15.625000,16.250000,13.440715,24700
1998-05-28,16.375000,16.375000,16.187500,16.375000,13.544103,74800
1998-05-29,16.437500,16.812500,16.375000,16.812500,13.905971,73100
1998-06-01,16.937500,17.000000,16.375000,16.687500,13.802583,27700
1998-06-02,16.875000,16.875000,16.562500,16.750000,13.854275,111700
1998-06-03,16.750000,16.875000,16.312500,16.500000,13.647497,8500
1998-06-04,16.500000,16.562500,16.000000,16.562500,13.699194,74200
1998-06-05,16.437500,16.500000,16.000000,16.000000,13.233934,207000
1998-06-08,16.125000,16.437500,16.125000,16.437500,13.595805,7500
1998-06-09,16.375000,16.875000,16.375000,16.500000,13.647497,12100
