Date,Dividends
2015-12-23,0.031000
2016-03-23,0.069000
2016-06-23,0.229000
2016-09-23,0.102000
2016-12-22,0.123000
2017-03-24,0.094000
2017-06-23,0.272000
2017-09-22,0.116000
2017-12-21,0.212000
2018-03-23,0.083000
2018-06-25,0.330000
2018-09-24,0.069000
2018-12-24,0.198000
2019-03-25,0.119000
2019-06-24,0.411000
2019-09-24,0.100000
2019-12-24,0.217000
2020-03-25,0.072000
2020-09-24,0.120000
2020-12-24,0.108000
2021-03-25,0.123000
2021-06-24,0.326000
2021-09-24,0.265000
2021-12-27,0.133000
2022-03-25,0.149000
2022-06-24,0.459000
2022-09-26,0.112000
2022-12-27,0.145000
2023-03-27,0.200000
2023-06-26,0.449000
