Date,Dividends
2013-08-16,0.060000
2013-11-14,0.140000
2013-12-26,0.220000
2014-03-25,0.220000
2014-06-25,0.220000
2014-09-24,0.220000
2014-12-17,0.260000
2015-03-26,0.260000
2015-06-26,0.260000
2015-09-28,0.260000
2015-12-28,0.300000
2016-03-28,0.300000
2016-07-01,0.300000
2016-10-03,0.300000
2016-12-27,0.330000
2017-04-03,0.330000
2017-07-03,0.330000
2017-10-04,0.330000
2017-12-22,0.330000
2018-04-03,0.330000
2018-07-03,0.330000
2018-10-02,0.330000
2018-12-24,0.330000
2019-04-02,0.335000
2019-07-03,0.335000
2019-10-02,0.335000
2019-12-24,0.335000
2020-04-01,0.340000
2020-07-01,0.340000
2020-10-01,0.340000
2020-12-24,0.340000
2021-04-01,0.350000
2021-07-01,0.350000
2021-09-30,0.350000
2021-12-27,0.350000
2022-04-01,0.375000
2022-07-01,0.375000
2022-10-03,0.375000
2022-12-27,0.375000
2023-03-31,0.395000
2023-07-03,0.395000
