Date,Open,High,Low,Close,Adj Close,Volume
1998-04-27,4.648083,4.648083,4.569302,4.588997,3.960910,6347
1998-04-28,4.588997,4.588997,4.529911,4.569302,3.943910,36811
1998-04-29,4.549607,4.549607,4.510216,4.510216,3.892911,8885
1998-04-30,4.490521,4.510216,4.431435,4.451130,3.841911,51408
1998-05-01,4.411740,4.490521,4.411740,4.451130,3.841911,42523
1998-05-04,4.451130,4.490521,4.431435,4.490521,3.875911,19675
1998-05-05,4.529911,4.569302,4.510216,4.569302,3.943910,17136
1998-05-06,4.569302,4.588997,4.490521,4.490521,3.875911,23483
1998-05-07,4.490521,4.490521,4.451130,4.451130,3.841911,6347
1998-05-08,4.451130,4.529911,4.451130,4.529911,3.909910,19040
1998-05-11,4.510216,4.628388,4.510216,4.569302,3.943910,24752
1998-05-12,4.588997,4.648083,4.510216,4.529911,3.909910,47600
1998-05-13,4.529911,4.529911,4.529911,4.529911,3.909910,0
1998-05-14,4.529911,4.529911,4.392044,4.392044,3.790912,37446
1998-05-15,4.372349,4.392044,4.352654,4.352654,3.756913,8885
1998-05-18,4.313263,4.411740,4.313263,4.411740,3.807913,32368
1998-05-19,4.411740,4.431435,4.411740,4.421587,3.816411,12059
1998-05-20,4.845036,4.923817,4.648083,4.648083,4.011908,86950
1998-05-21,4.648083,4.648083,4.529911,4.529911,3.909910,31099
1998-05-22,4.569302,4.569302,4.529911,4.529911,3.909910,3173
1998-05-26,4.549607,4.569302,4.411740,4.411740,3.807913,53312
1998-05-27,4.372349,4.372349,4.352654,4.352654,3.756913,4443
1998-05-28,4.352654,4.352654,4.313263,4.352654,3.756913,14597
1998-05-29,4.372349,4.392044,4.332959,4.332959,3.739914,17771
1998-06-01,4.332959,4.569302,4.332959,4.411740,3.807913,45062
1998-06-02,4.411740,4.470826,4.411740,4.470826,3.858912,6347
1998-06-03,4.490521,4.490521,4.490521,4.490521,3.875911,635
1998-06-04,4.480673,4.510216,4.480673,4.510216,3.892911,1269
1998-06-05,4.510216,4.510216,4.510216,4.510216,3.892911,0
1998-06-08,4.510216,4.510216,4.451130,4.451130,3.841911,34907
1998-06-09,4.431435,4.470826,4.372349,4.372349,3.773913,28560
1998-06-10,4.332959,4.332959,4.254178,4.254178,3.671916,38080
1998-06-11,4.293568,4.332959,4.273873,4.332959,3.739914,22213
1998-06-12,4.352654,4.352654,4.332959,4.332959,3.739914,5077
1998-06-15,4.254178,4.293568,4.214787,4.214787,3.637916,19675
1998-06-16,4.214787,4.214787,4.195092,4.195092,3.620917,8885
1998-06-17,4.195092,4.234482,4.195092,4.214787,3.637916,6981
1998-06-18,4.195092,4.195092,4.195092,4.195092,3.620917,1269
1998-06-19,4.195092,4.195092,4.155701,4.175397,3.603918,14597
1998-06-22,4.155701,4.155701,4.155701,4.155701,3.586917,635
1998-06-23,4.136006,4.195092,4.136006,4.136006,3.569918,18405
1998-06-24,4.175397,4.175397,4.175397,4.175397,3.603918,3173
1998-06-25,4.175397,4.175397,4.175397,4.175397,3.603918,1904
1998-06-26,4.155701,4.254178,4.126158,4.254178,3.671916,65371
1998-06-29,4.234482,4.234482,4.195092,4.195092,3.620917,12693
1998-06-30,4.155701,4.155701,4.037530,4.037530,3.484921,33003
1998-07-01,3.998139,3.998139,3.722405,3.820882,3.299470,103451
1998-07-02,3.801186,3.801186,3.781491,3.781491,3.265455,5077
1998-07-06,3.781491,3.820882,3.781491,3.781491,3.265455,12059
1998-07-07,3.742101,3.742101,3.466367,3.466367,2.993333,45696
1998-07-08,3.446672,3.486062,3.348195,3.348195,2.891287,50774
1998-07-09,3.308805,3.407281,3.308805,3.407281,2.942310,14597
1998-07-10,3.446672,3.722405,3.446672,3.722405,3.214432,168822
1998-07-13,3.722405,3.722405,3.722405,3.722405,3.214432,8251
1998-07-14,3.702710,3.722405,3.683015,3.702710,3.197423,6347
1998-07-15,3.683015,3.683015,3.545148,3.584539,3.095379,19040
1998-07-16,3.564843,3.564843,3.525453,3.525453,3.044356,4443
1998-07-17,3.564843,3.899663,3.564843,3.742101,3.231440,55851
1998-07-20,3.781491,4.096615,3.781491,4.057225,3.503561,19675
1998-07-21,4.096615,4.136006,4.096615,4.136006,3.571591,5077
1998-07-22,4.175397,4.293568,4.155701,4.293568,3.707652,46331
1998-07-23,4.273873,4.273873,4.254178,4.254178,3.673636,11424
1998-07-24,4.214787,4.254178,4.175397,4.254178,3.673636,10789
1998-07-27,4.254178,4.254178,4.254178,4.254178,3.673636,13328
1998-07-28,4.293568,4.332959,4.175397,4.175397,3.605607,13963
1998-07-29,4.136006,4.136006,4.037530,4.037530,3.486554,13963
1998-07-30,3.998139,4.057225,3.742101,3.742101,3.231440,78064
1998-07-31,3.742101,3.761796,3.742101,3.742101,3.231440,38715
1998-08-03,3.742101,3.742101,3.683015,3.722405,3.214432,11424
1998-08-04,3.742101,3.742101,3.722405,3.722405,3.214432,32368
1998-08-05,3.623929,3.623929,3.505757,3.584539,3.095379,31099
1998-08-06,3.604234,3.623929,3.564843,3.564843,3.078371,8885
1998-08-07,3.545148,3.840577,3.535300,3.742101,3.231440,58390
1998-08-10,3.751948,3.751948,3.486062,3.584539,3.095379,66006
1998-08-11,3.545148,3.545148,3.308805,3.308805,2.857272,20944
1998-08-12,3.348195,3.348195,3.348195,3.348195,2.891287,1269
1998-08-13,3.308805,3.308805,3.249719,3.249719,2.806250,23483
1998-08-14,3.210328,3.230024,3.210328,3.230024,2.789243,4443
1998-08-17,3.210328,3.210328,3.111852,3.111852,2.687197,18405
1998-08-18,3.111852,3.111852,3.013376,3.013376,2.602160,24752
1998-08-19,2.993681,3.308805,2.993681,3.308805,2.857272,66640
1998-08-20,3.328500,3.387586,3.328500,3.348195,2.891287,5077
1998-08-21,3.308805,3.308805,3.230024,3.230024,2.789243,5712
1998-08-24,3.210328,3.210328,3.131547,3.131547,2.704204,9520
1998-08-25,3.111852,3.111852,2.993681,3.013376,2.602160,74256
1998-08-26,3.023223,3.033071,2.914899,2.914899,2.517121,22848
1998-08-27,2.875509,2.914899,2.855814,2.914899,2.517121,13328
1998-08-28,2.875509,2.875509,2.875509,2.875509,2.483106,1269
1998-08-31,2.836118,2.875509,2.442213,2.442213,2.108940,115510
1998-09-01,2.402823,2.402823,2.284651,2.284651,1.972879,32368
1998-09-02,2.166479,2.442213,2.166479,2.383127,2.057915,43792
1998-09-03,2.343737,2.442213,2.343737,2.442213,2.108940,57755
1998-09-04,2.402823,2.442213,2.383127,2.383127,2.057915,114241
1998-09-08,2.383127,2.383127,2.373280,2.373280,2.049414,10155
1998-09-09,2.402823,2.402823,2.402823,2.402823,2.074925,24752
1998-09-10,2.402823,2.402823,2.363432,2.363432,2.040909,6981
1998-09-11,2.363432,2.363432,2.363432,2.363432,2.040909,3808
1998-09-14,2.402823,2.442213,2.402823,2.442213,2.108940,20309
1998-09-15,2.422518,2.422518,2.422518,2.422518,2.091932,15867
1998-09-16,2.383127,2.383127,2.363432,2.363432,2.040909,5712
1998-09-17,2.324041,2.324041,2.205870,2.205870,1.904849,63467
1998-09-18,2.166479,2.166479,2.146784,2.146784,1.853826,3173
1998-09-21,2.146784,2.146784,2.146784,2.146784,1.853826,0
1998-09-22,2.146784,2.146784,2.146784,2.146784,1.853826,1904
1998-09-23,2.146784,2.205870,2.107394,2.205870,1.904849,14597
1998-09-24,2.245260,2.245260,2.205870,2.205870,1.904849,7616
1998-09-25,2.166479,2.166479,2.028612,2.087698,1.802803,16501
1998-09-28,2.107394,2.107394,1.989222,1.989222,1.717765,23483
1998-09-29,2.008917,2.048308,2.008917,2.048308,1.768788,21579
1998-09-30,2.028612,2.028612,2.028612,2.028612,1.751780,1269
1998-10-01,2.038460,2.038460,1.930136,1.930136,1.666742,134550
1998-10-02,1.910441,1.910441,1.910441,1.910441,1.649735,1904
1998-10-05,1.910441,2.048308,1.910441,2.048308,1.768788,72987
1998-10-06,2.087698,2.107394,2.068003,2.107394,1.819811,64736
1998-10-07,2.127089,2.166479,2.068003,2.107394,1.819811,41254
1998-10-08,2.107394,2.107394,2.087698,2.087698,1.802803,23483
1998-10-09,2.127089,2.127089,2.107394,2.127089,1.836818,52678
1998-10-12,2.127089,2.146784,2.127089,2.146784,1.853826,6347
1998-10-13,2.146784,2.146784,2.146784,2.146784,1.853826,0
1998-10-14,2.146784,2.186175,2.146784,2.186175,1.887841,9520
1998-10-15,2.225565,2.225565,2.225565,2.225565,1.921856,1269
1998-10-16,2.264956,2.363432,2.264956,2.363432,2.040909,19040
1998-10-19,2.402823,2.560385,2.363432,2.560385,2.210985,18405
1998-10-20,2.678556,2.934595,2.678556,2.865661,2.474602,108529
1998-10-21,2.826271,2.865661,2.717947,2.717947,2.347045,23483
1998-10-22,2.678556,2.914899,2.678556,2.914899,2.517121,17771
1998-10-23,2.954290,3.151243,2.954290,3.151243,2.721212,13963
1998-10-26,3.072462,3.151243,3.072462,3.151243,2.721212,25387
1998-10-27,3.052766,3.131547,3.052766,3.131547,2.704204,22213
1998-10-28,3.052766,3.111852,2.993681,3.111852,2.687197,17136
1998-10-29,3.092157,3.151243,3.013376,3.151243,2.721212,16501
1998-10-30,3.092157,3.131547,3.092157,3.102005,2.678694,9520
1998-11-02,3.042919,3.328500,3.042919,3.328500,2.874280,16501
1998-11-03,3.249719,3.348195,3.249719,3.259567,2.814755,50774
1998-11-04,3.170938,3.230024,3.170938,3.170938,2.738219,11424
1998-11-05,3.111852,3.230024,3.111852,3.230024,2.789243,21579
1998-11-06,3.230024,3.289110,3.210328,3.249719,2.806250,6347
1998-11-09,3.131547,3.210328,3.131547,3.210328,2.772233,23483
1998-11-10,3.210328,3.210328,3.210328,3.210328,2.772233,0
1998-11-11,3.170938,3.170938,3.131547,3.131547,2.704204,3808
1998-11-12,3.092157,3.092157,3.072462,3.072462,2.653182,10789
1998-11-13,3.111852,3.111852,3.111852,3.111852,2.687197,1269
1998-11-16,3.151243,3.210328,3.151243,3.210328,2.772233,6981
1998-11-17,3.210328,3.210328,3.210328,3.210328,2.772233,0
1998-11-18,3.249719,3.387586,3.249719,3.328500,2.874280,27291
1998-11-19,3.367891,3.367891,3.367891,3.367891,2.908296,3173
1998-11-20,3.367891,3.367891,3.308805,3.308805,2.857272,10789
1998-11-23,3.308805,3.308805,3.308805,3.308805,2.857272,31734
1998-11-24,3.269414,3.269414,3.230024,3.230024,2.789243,6347
1998-11-25,3.190633,3.190633,3.151243,3.151243,2.721212,7616
1998-11-27,3.111852,3.151243,3.072462,3.151243,2.721212,9520
1998-11-30,3.151243,3.151243,3.151243,3.151243,2.721212,10789
1998-12-01,3.151243,3.151243,3.151243,3.151243,2.721212,25387
1998-12-02,3.111852,3.151243,3.111852,3.151243,2.721212,13963
1998-12-03,3.190633,3.230024,3.190633,3.230024,2.789243,5077
1998-12-04,3.249719,3.269414,3.230024,3.249719,2.806250,23483
1998-12-07,3.230024,3.230024,3.230024,3.230024,2.789243,1269
1998-12-08,3.210328,3.210328,3.210328,3.210328,2.772233,635
1998-12-09,3.210328,3.210328,3.210328,3.210328,2.772233,3808
1998-12-10,3.210328,3.308805,3.190633,3.200481,2.763731,35542
1998-12-11,3.180786,3.190633,3.180786,3.190633,2.755228,6347
1998-12-14,3.200481,3.289110,3.200481,3.289110,2.840266,4443
1998-12-15,3.269414,3.269414,3.269414,3.269414,2.823257,12693
1998-12-16,3.230024,3.230024,3.190633,3.190633,2.755228,19040
1998-12-17,3.230024,3.308805,3.230024,3.308805,2.857272,21579
1998-12-18,3.348195,3.456519,3.328500,3.456519,2.984829,34272
1998-12-21,3.466367,3.623929,3.466367,3.623929,3.129393,48870
1998-12-22,3.604234,3.604234,3.525453,3.525453,3.044356,10155
1998-12-23,3.486062,3.525453,3.486062,3.525453,3.044356,5712
1998-12-24,3.505757,3.505757,3.505757,3.505757,3.027349,36176
1998-12-28,3.545148,3.663320,3.545148,3.663320,3.163410,39984
1998-12-29,3.663320,3.820882,3.663320,3.801186,3.282461,7616
1998-12-30,3.781491,3.781491,3.742101,3.742101,3.231440,8251
1998-12-31,3.702710,3.702710,3.643624,3.643624,3.146402,12693
1999-01-04,3.505757,3.584539,3.505757,3.584539,3.095379,27291
1999-01-05,3.545148,3.545148,3.525453,3.525453,3.044356,17136
1999-01-06,3.545148,3.545148,3.505757,3.525453,3.047761,38715
1999-01-07,3.505757,3.505757,3.476215,3.486062,3.013708,14597
1999-01-08,3.407281,3.436824,3.308805,3.328500,2.877495,47600
1999-01-11,3.328500,3.348195,3.269414,3.279262,2.834929,22848
1999-01-12,3.298957,3.426976,3.298957,3.387586,2.928576,43792
1999-01-13,3.358043,3.358043,3.328500,3.328500,2.877495,7616
1999-01-14,3.289110,3.289110,3.230024,3.230024,2.792362,13963
1999-01-15,3.210328,3.249719,3.111852,3.249719,2.809388,53947
1999-01-19,3.328500,3.328500,3.269414,3.328500,2.877495,31099
1999-01-20,3.348195,3.348195,3.289110,3.308805,2.860468,10155
1999-01-21,3.308805,3.308805,3.289110,3.289110,2.843442,2539
1999-01-22,3.328500,3.328500,3.328500,3.328500,2.877495,3173
1999-01-25,3.367891,3.663320,3.367891,3.663320,3.166948,61563
1999-01-26,3.683015,3.702710,3.643624,3.702710,3.201000,36176
1999-01-27,3.663320,3.663320,3.623929,3.663320,3.166948,15232
1999-01-28,3.623929,3.623929,3.594386,3.594386,3.107354,4443
1999-01-29,3.614081,3.614081,3.584539,3.584539,3.098841,28560
1999-02-01,3.623929,3.623929,3.584539,3.594386,3.107354,66006
1999-02-02,3.604234,3.623929,3.545148,3.564843,3.081814,36811
1999-02-03,3.584539,3.683015,3.584539,3.683015,3.183974,17136
1999-02-04,3.663320,3.663320,3.663320,3.663320,3.166948,10789
1999-02-05,3.683015,3.683015,3.623929,3.633777,3.141407,28560
1999-02-08,3.604234,3.604234,3.446672,3.446672,2.979655,128203
1999-02-09,3.456519,3.456519,3.456519,3.456519,2.988168,8885
1999-02-10,3.397434,3.417129,3.279262,3.358043,2.903035,257676
1999-02-11,3.151243,3.161090,3.151243,3.151243,2.724256,5157965
1999-02-12,3.151243,3.170938,3.151243,3.151243,2.724256,1073227
1999-02-16,3.151243,3.170938,3.151243,3.151243,2.724256,951371
1999-02-17,3.151243,3.161090,3.151243,3.151243,2.724256,595321
1999-02-18,3.151243,3.180786,3.151243,3.151243,2.724256,383341
1999-02-19,3.151243,3.249719,3.151243,3.249719,2.809388,259580
1999-02-22,3.249719,3.308805,3.249719,3.269414,2.826415,343991
1999-02-23,3.269414,3.289110,3.269414,3.279262,2.834929,250060
1999-02-24,3.279262,3.377738,3.269414,3.358043,2.903035,430941
