Date,Dividends
2012-06-01,0.192000
2012-07-02,0.135000
2012-08-01,0.142000
2012-09-04,0.142000
2012-10-01,0.135000
2012-11-01,0.039000
2012-12-03,0.116000
2012-12-27,0.131000
2013-02-01,0.131000
2013-03-01,0.118000
2013-04-01,0.136000
2013-05-01,0.115000
2013-06-03,0.129000
2013-07-01,0.117000
2013-08-01,0.132000
2013-09-03,0.129000
2013-10-01,0.128000
2013-11-01,0.310000
2013-12-02,0.155000
2013-12-27,0.165000
2014-02-03,0.120000
2014-03-03,0.110000
2014-04-01,0.122000
2014-05-01,0.117000
2014-06-02,0.122000
2014-07-01,0.110000
2014-08-01,0.122000
2014-09-02,0.122000
2014-10-01,0.115000
2014-11-03,0.116000
2014-12-01,0.110000
2014-12-29,0.123000
2015-02-02,0.111000
2015-03-02,0.100000
2015-04-01,0.115000
2015-05-01,0.099000
2015-06-01,0.110000
2015-07-01,0.104000
2015-08-03,0.122000
2015-09-01,0.118000
2015-10-01,0.100000
2015-11-02,0.110000
2015-12-01,0.105000
2015-12-29,0.109000
2016-02-01,0.118000
2016-03-01,0.096000
2016-04-01,0.112000
2016-05-02,0.099000
2016-06-01,0.100000
2016-07-01,0.104000
2016-08-01,0.104000
2016-09-01,0.100000
2016-10-03,0.100000
2016-11-01,0.097000
2016-12-01,0.094000
2016-12-28,0.092000
2017-02-01,0.108000
2017-03-01,0.085000
2017-04-03,0.105000
2017-05-01,0.087000
2017-06-01,0.101000
2017-07-03,0.095000
2017-08-01,0.091000
2017-09-01,0.096000
2017-10-02,0.076000
2017-11-01,0.092000
2017-12-01,0.089000
2017-12-27,0.094000
2018-02-01,0.098000
2018-03-01,0.062000
2018-04-02,0.089000
2018-04-24,0.087000
2018-06-01,0.095000
2018-07-02,0.093000
2018-08-01,0.094000
2018-09-04,0.093000
2018-10-01,0.095000
2018-11-01,0.113000
2018-12-03,0.091000
2018-12-27,0.090000
2019-02-01,0.099000
2019-03-01,0.083000
2019-04-01,0.099000
2019-04-24,0.096000
2019-06-03,0.137000
2019-07-01,0.067000
2019-08-01,0.105000
2019-09-03,0.108000
2019-10-01,0.114000
2019-11-01,0.112000
2019-12-02,0.098000
2019-12-30,0.105000
2020-02-03,0.102000
2020-03-02,0.097000
2020-04-01,0.103000
2020-04-24,0.111000
2020-06-01,0.108000
2020-07-01,0.089000
2020-08-03,0.104000
2020-09-01,0.094000
2020-10-01,0.096000
2020-11-02,0.102000
2020-12-01,0.102000
2020-12-29,0.099000
2021-02-01,0.097000
2021-03-01,0.085000
2021-04-01,0.099000
2021-04-26,0.096000
2021-06-01,0.095000
2021-07-01,0.084000
2021-08-02,0.094000
2021-09-01,0.095000
2021-10-01,0.088000
2021-11-01,0.093000
2021-12-01,0.085000
2021-12-29,0.087000
2022-02-01,0.080000
2022-03-01,0.076000
2022-04-01,0.084000
2022-04-25,0.087000
2022-06-01,0.087000
2022-07-01,0.082000
2022-08-01,0.082000
2022-09-01,0.080000
2022-10-03,0.066000
2022-11-01,0.087000
2022-12-01,0.081000
2022-12-28,0.088000
2023-02-01,0.091000
2023-03-01,0.078000
2023-04-03,0.088000
2023-04-24,0.086000
2023-06-01,0.106000
