Date,Dividends
2012-06-29,0.407000
2012-09-28,0.301000
2012-12-27,0.372000
2013-03-28,0.163000
2013-06-28,0.393000
2013-09-30,0.234000
2013-12-27,0.456000
2014-03-31,0.188000
2014-06-30,0.311000
2014-09-30,0.229000
2014-12-29,0.387000
2015-03-31,0.125000
2015-06-30,0.284000
2015-09-30,0.199000
2015-12-29,0.413000
2016-03-31,0.185000
2016-06-30,0.262000
2016-09-30,0.130000
2016-12-28,0.455000
2017-03-31,0.089000
2017-06-30,0.301000
2017-09-29,0.200000
2017-12-27,0.453000
2018-03-23,0.061000
2018-06-25,0.299000
2018-09-24,0.255000
2018-12-27,0.633000
2019-03-19,0.224000
2019-06-25,0.461000
2019-09-24,0.323000
2019-12-24,0.493000
2020-03-24,0.238000
2020-06-23,0.406000
2020-09-22,0.191000
2020-12-29,0.480000
2021-03-23,0.260000
2021-06-22,0.389000
2021-09-21,0.224000
2021-12-28,0.451000
2022-03-22,0.241000
2022-06-21,0.370000
2022-09-20,0.342000
2022-12-20,0.530000
2023-03-21,0.241000
2023-06-20,0.423000
