Date,Open,High,Low,Close,Adj Close,Volume
2022-02-02,24.830000,24.850000,24.760000,24.850000,24.712557,1800
2022-02-03,24.740000,24.740000,24.382999,24.382999,24.248138,101000
2022-02-04,24.250000,24.715000,24.250000,24.549999,24.414215,11000
2022-02-07,24.757999,25.320000,24.650000,24.749001,24.612116,112200
2022-02-08,25.010000,25.139999,24.680000,25.098000,24.959185,34900
2022-02-09,25.370001,25.629999,25.370001,25.608000,25.466364,53200
2022-02-10,25.420000,25.900000,25.120001,25.230000,25.090454,48500
2022-02-11,25.330000,25.525000,25.040001,25.159000,25.019848,30600
2022-02-14,25.230000,25.271000,25.000000,25.048000,24.909460,15300
2022-02-15,25.360001,25.530001,25.059999,25.520000,25.378851,25400
2022-02-16,25.502001,25.659000,25.330000,25.558001,25.416641,17900
2022-02-17,25.480000,25.540001,25.080000,25.145000,25.005924,9000
2022-02-18,25.049999,25.180000,24.820000,24.882000,24.744379,12100
2022-02-22,24.870001,24.879999,24.459999,24.614000,24.477861,29600
2022-02-23,24.809999,24.809999,24.299999,24.341999,24.207365,7900
2022-02-24,23.990000,24.962000,23.990000,24.931000,24.793108,27900
2022-02-25,24.959999,25.421000,24.702999,25.421000,25.280397,13100
2022-02-28,25.450001,25.874001,25.450001,25.874001,25.730892,2900
2022-03-01,26.228001,26.228001,25.969000,26.030001,25.886030,9300
2022-03-02,26.110001,26.620001,26.065001,26.486000,26.339508,5900
2022-03-03,26.471001,26.471001,26.190001,26.330000,26.184370,8600
2022-03-04,26.600000,26.600000,25.840000,26.146000,26.001389,14700
2022-03-07,26.395000,26.420000,25.820000,25.934999,25.791553,16100
2022-03-08,25.889999,26.309999,25.850000,26.066000,25.921829,25200
2022-03-09,26.510000,27.520000,26.190001,26.490000,26.343485,108100
2022-03-10,26.940001,27.650000,26.264999,26.770000,26.621937,157900
2022-03-11,28.110001,28.750000,26.400999,26.438000,26.291773,86300
2022-03-14,26.570000,26.570000,25.605000,25.670000,25.528021,73000
2022-03-15,25.670000,25.730000,25.379999,25.700001,25.557856,22200
2022-03-16,25.950001,26.070000,25.549999,26.000000,25.856195,25500
2022-03-17,25.770000,26.760000,25.770000,26.754000,26.606024,25400
2022-03-18,26.760000,26.889999,26.600000,26.889999,26.741272,20500
2022-03-21,27.299999,27.299999,26.900000,27.100000,26.950111,24500
2022-03-22,27.270000,27.270000,26.930000,27.059999,26.910332,77900
2022-03-23,26.910000,27.209999,26.910000,26.974001,26.824808,21800
2022-03-24,27.010000,27.139999,26.870001,27.010000,26.860609,33400
2022-03-25,27.209999,27.209999,26.870001,27.040001,26.890444,16000
2022-03-28,26.700001,26.920000,26.650000,26.790001,26.641827,12600
2022-03-29,26.580000,27.280001,26.580000,27.271000,27.120165,72400
2022-03-30,27.379999,27.440001,27.129000,27.200001,27.049559,83600
2022-03-31,27.219999,27.350000,26.914000,26.914000,26.765139,9000
2022-04-01,26.820000,27.160000,26.820000,27.153000,27.002817,11100
2022-04-04,27.410000,27.410000,27.134001,27.211000,27.060497,16800
2022-04-05,27.370001,27.370001,26.760000,26.775999,26.627903,53600
2022-04-06,26.450001,26.731001,25.629999,26.500000,26.353430,25000
2022-04-07,26.660000,26.660000,26.209999,26.547001,26.400171,12100
2022-04-08,26.629999,26.900000,26.629999,26.774000,26.625914,6800
2022-04-11,26.520000,26.820000,26.500000,26.660999,26.513538,13600
2022-04-12,26.879999,27.000000,26.709999,26.719999,26.572212,28700
2022-04-13,26.921000,27.309999,26.921000,27.309999,27.158949,21600
2022-04-14,27.219999,27.360001,27.150000,27.225000,27.074421,11000
2022-04-18,27.379999,27.379999,26.980000,27.080000,26.930222,12200
2022-04-19,27.459999,27.549999,27.330000,27.450001,27.298176,15800
2022-04-20,27.450001,27.680000,27.450001,27.530001,27.377733,12200
2022-04-21,27.600000,27.690001,26.770000,26.809999,26.661715,11200
2022-04-22,26.629999,26.629999,26.000000,26.083000,25.938736,14800
2022-04-25,26.090000,26.270000,25.639999,26.170000,26.025255,10600
2022-04-26,26.040001,26.120001,25.760000,25.760000,25.617523,27700
2022-04-27,25.280001,25.920000,25.280001,25.629999,25.488241,29800
2022-04-28,25.795000,26.280001,25.663000,26.159000,26.014317,2600
2022-04-29,26.250000,26.250000,25.670000,25.670000,25.528021,15000
2022-05-02,25.490000,25.709999,25.240000,25.530001,25.388796,9200
2022-05-03,25.370001,25.868000,25.370001,25.770000,25.627468,7500
2022-05-04,26.830000,26.830000,25.330000,26.230000,26.084923,20600
2022-05-05,25.957001,25.957001,25.170000,25.284000,25.144156,7300
2022-05-06,25.230000,25.230000,24.730000,24.997000,24.858742,9700
2022-05-09,25.410000,25.410000,23.854000,23.854000,23.722065,17500
2022-05-10,24.000000,24.000000,23.330000,23.504000,23.374001,21300
2022-05-11,23.490000,23.700001,23.000999,23.014999,22.887705,10500
2022-05-12,22.559999,23.170000,22.540001,22.973000,22.845938,23300
2022-05-13,22.809999,23.770000,22.809999,23.663000,23.532122,4500
2022-05-16,23.629999,23.740000,23.459999,23.670000,23.539082,27500
2022-05-17,24.010000,24.228001,23.871000,24.228001,24.093996,5300
2022-05-18,23.850000,23.850000,23.370001,23.408001,23.278532,13100
2022-05-19,23.450001,23.830000,23.450001,23.653000,23.522177,2800
2022-05-20,23.600000,23.600000,23.200001,23.580000,23.449579,4000
2022-05-23,23.520000,23.889999,23.520000,23.757999,23.626595,12200
