Date,Dividends
2001-12-03,0.050000
2002-10-09,0.250000
2003-01-09,0.025000
2003-06-09,0.175000
2003-11-05,0.152600
2003-11-24,0.025000
2004-06-07,0.030000
2005-06-06,0.060000
2005-11-23,0.040000
2006-06-09,0.040000
2006-12-12,0.050000
2007-06-11,0.150000
2007-11-29,0.120000
2008-05-30,0.080000
2011-12-13,0.040000
2012-06-26,0.380000
2012-12-13,0.050000
2013-06-25,0.370000
2013-12-16,0.080000
2014-03-18,0.280000
2014-06-10,0.520000
2014-12-18,0.080000
2015-06-09,0.490000
2016-06-07,0.290000
2016-12-19,0.100000
2017-06-06,0.280000
2017-12-12,0.100000
2018-06-06,0.300000
2018-12-11,0.100000
2019-06-05,0.260000
2019-11-15,0.100000
2021-02-18,0.700000
2021-11-18,0.400000
2022-05-26,0.300000
