Date,Dividends
2012-09-21,0.037000
2012-12-21,0.284000
2013-02-21,0.133000
2013-03-21,0.076000
2013-04-23,0.076000
2013-05-21,0.125000
2013-06-21,0.066000
2013-07-23,0.096000
2013-08-21,0.135000
2013-09-20,0.153000
2013-10-22,0.088000
2013-11-21,0.049000
2013-12-18,0.185000
2014-01-22,0.059000
2014-02-21,0.108000
2014-03-25,0.136000
2014-04-22,0.080000
2014-05-21,0.125000
2014-06-24,0.097000
2014-07-22,0.102000
2014-08-21,0.104000
2014-09-23,0.104000
2014-10-21,0.101000
2014-11-21,0.083000
2014-12-23,0.121000
2015-01-21,0.141000
2015-02-20,0.110000
2015-05-21,0.110000
2015-06-24,0.084000
2015-07-21,0.085000
2015-08-21,0.089000
2015-09-23,0.129000
2015-10-21,0.069000
2015-11-20,0.120000
2015-12-23,0.099000
2016-01-21,0.065000
2016-02-23,0.138000
2016-03-23,0.111000
2016-04-21,0.089000
2016-05-20,0.123000
2016-06-22,0.126000
2016-07-21,0.095000
2016-08-23,0.113000
2016-09-21,0.098000
2016-10-21,0.069000
2016-11-22,0.084000
2016-12-21,0.105000
2017-01-20,0.065000
2017-02-22,0.087000
2017-03-23,0.109000
2017-04-21,0.062000
2017-05-23,0.088000
2017-06-22,0.111000
2017-07-21,0.056000
2017-08-22,0.097000
2017-09-21,0.140000
2017-10-20,0.064000
2017-11-21,0.162000
2017-12-21,0.109000
2018-01-23,0.089000
2018-02-21,0.111000
2018-03-22,0.121000
2018-04-20,0.046000
2018-05-22,0.119000
2018-06-21,0.135000
2018-07-20,0.057000
2018-08-21,0.076000
2018-09-14,0.097000
2018-10-23,0.054000
2018-11-21,0.135000
2018-12-18,0.097000
2019-01-23,0.063000
2019-02-21,0.131000
2019-03-21,0.100000
2019-04-23,0.060000
2019-05-21,0.112000
2019-06-14,0.104000
2019-07-23,0.059000
2019-08-21,0.120000
2019-09-25,0.088000
2019-10-22,0.060000
2019-11-21,0.128000
2019-12-13,0.085000
2020-01-22,0.087000
2020-02-21,0.122000
2020-03-26,0.084000
2020-04-21,0.036000
2020-05-21,0.107000
2020-06-25,0.065000
2020-07-21,0.041000
2020-08-21,0.089000
2020-09-24,0.061000
2020-10-21,0.076000
2020-11-24,0.074000
2020-12-24,0.061000
2021-01-21,0.084000
2021-02-23,0.070000
2021-03-25,0.047000
2021-04-21,0.059000
2021-05-21,0.082000
2021-06-24,0.068000
2021-07-21,0.063000
2021-08-24,0.078000
2021-09-23,0.076000
2021-10-21,0.063000
2021-11-23,0.098000
2021-12-23,0.093000
2022-01-21,0.055000
2022-02-18,0.072000
2022-03-25,0.091000
2022-04-21,0.053000
2022-05-24,0.109000
2022-06-24,0.097000
2022-07-21,0.031000
2022-08-23,0.114000
2022-09-23,0.117000
2022-10-21,0.062000
2022-11-22,0.091000
2022-12-23,0.111000
2023-01-24,0.060000
2023-02-22,0.072000
2023-03-24,0.136000
2023-04-21,0.022000
2023-05-23,0.105000
2023-06-27,0.070000
2023-07-21,0.049000
