Date,Dividends
1998-06-26,1.060000
1998-09-28,1.060000
1998-12-29,1.060000
1999-03-31,1.060000
1999-06-28,0.500000
1999-09-28,0.560000
1999-12-30,0.560000
2000-04-12,0.560000
2000-06-28,0.560000
2000-10-12,0.620000
2001-01-10,0.620000
2001-04-11,0.660000
2001-06-27,0.700000
2001-09-28,0.900000
2001-12-26,1.120000
2002-03-26,1.200000
2002-06-26,1.200000
2002-09-26,1.200000
2002-12-26,1.280000
2003-03-26,1.120000
2003-06-26,1.120000
2003-09-26,1.120000
2003-12-26,1.000000
2004-04-07,1.040000
2004-07-08,1.000000
2004-10-07,0.920000
2004-12-22,0.880000
2005-04-08,0.720000
2005-07-08,0.500000
2005-10-12,0.200000
2005-12-22,0.200000
2006-04-12,0.200000
2006-07-13,0.200000
2006-10-11,0.200000
2006-12-27,0.240000
2007-04-11,0.320000
2007-07-11,0.360000
2007-10-10,0.400000
2007-12-27,0.580000
2008-04-10,0.720000
2008-07-10,0.800000
2008-10-09,0.880000
2008-12-29,0.840000
2009-04-08,0.880000
2009-07-09,1.000000
2009-10-08,1.000000
2009-12-29,1.080000
2010-04-08,0.960000
2010-07-08,0.760000
2010-10-07,0.900000
2010-12-29,0.940000
2011-04-07,0.940000
2011-07-12,1.000000
2011-10-06,1.000000
2011-12-28,1.080000
2012-04-02,0.960000
2012-07-11,0.920000
2012-10-10,0.840000
2012-12-26,0.800000
2013-03-14,2.000000
2013-04-10,0.880000
2013-07-10,0.880000
2013-08-08,1.120000
2013-10-09,0.880000
2013-12-27,0.800000
2014-03-26,0.800000
2014-06-25,0.800000
2014-09-25,0.800000
2014-12-23,0.800000
2015-03-25,0.800000
2015-06-25,0.800000
2015-09-25,0.800000
2015-12-23,0.800000
2016-03-23,0.800000
2016-06-24,0.800000
2016-09-26,0.800000
2016-12-23,0.800000
2017-03-27,0.800000
2017-06-27,0.800000
2017-09-27,0.800000
2017-12-27,0.800000
2018-03-28,0.800000
2018-06-28,0.800000
2018-09-28,0.800000
2018-12-27,0.800000
2019-03-28,0.800000
2019-06-28,0.800000
2019-09-27,0.800000
2019-12-27,0.800000
2020-03-30,0.800000
2020-09-29,0.200000
2020-12-29,0.300000
2021-03-30,0.300000
2021-06-29,0.400000
2021-09-29,0.400000
2021-12-30,0.440000
2022-03-21,0.440000
2022-06-29,0.440000
2022-09-29,0.440000
2022-12-29,0.350000
2023-03-30,0.350000
2023-06-29,0.350000
