Date,Open,High,Low,Close,Adj Close,Volume
2012-04-19,90.000000,90.540001,90.000000,90.480003,38.918633,1650
2012-04-20,90.720001,90.720001,90.599998,90.599998,38.970245,233
2012-04-23,90.779999,91.199997,90.000000,90.720001,39.021858,5733
2012-04-24,90.480003,90.839996,90.120003,90.720001,39.021858,7167
2012-04-25,90.660004,90.660004,90.480003,90.480003,38.918633,2333
2012-04-26,90.720001,91.019997,90.720001,91.019997,39.150909,3167
2012-04-27,91.139999,91.320000,91.080002,91.320000,39.279942,700
2012-04-30,91.379997,91.680000,91.320000,91.680000,39.434799,1433
2012-05-01,91.800003,91.860001,91.620003,91.680000,39.434799,600
2012-05-02,91.739998,91.800003,91.739998,91.800003,39.486408,683
2012-05-03,92.820000,92.820000,91.199997,91.199997,39.228333,367
2012-05-04,90.839996,91.019997,90.839996,91.019997,39.150909,100
2012-05-07,91.800003,91.800003,90.300003,90.480003,38.918633,550
2012-05-08,90.000000,90.000000,89.519997,90.000000,38.712158,1250
2012-05-09,89.699997,89.699997,88.500000,88.500000,38.066975,250
2012-05-10,88.860001,89.879997,88.860001,89.699997,38.583134,3900
2012-05-11,89.820000,89.820000,89.099998,89.099998,38.325043,3000
2012-05-14,89.040001,89.160004,88.320000,88.320000,37.989548,7883
2012-05-15,88.860001,88.860001,87.959999,88.139999,37.912109,3667
2012-05-16,88.620003,88.620003,87.779999,87.900002,37.808887,4950
2012-05-17,87.839996,87.839996,86.459999,86.459999,37.189495,1733
2012-05-18,86.400002,86.639999,84.779999,84.839996,36.492683,2417
2012-05-21,85.019997,86.519997,84.959999,86.519997,37.215298,2517
2012-05-22,86.580002,87.599998,86.580002,87.000000,37.421757,2650
2012-05-23,86.279999,87.120003,85.800003,86.940002,37.395962,13500
2012-05-24,86.519997,86.879997,86.279999,86.879997,37.370155,333
2012-05-25,86.279999,87.180000,86.279999,87.059998,37.447582,2467
2012-05-29,87.120003,87.660004,87.120003,87.120003,37.473389,367
2012-05-30,88.199997,88.199997,85.800003,85.980003,36.983032,4600
2012-05-31,86.279999,86.279999,85.199997,85.680000,36.853977,1250
2012-06-01,84.959999,84.959999,82.980003,82.980003,35.692631,4550
2012-06-04,83.820000,84.480003,82.080002,82.260002,35.382919,5850
2012-06-05,82.620003,82.620003,82.320000,82.320000,35.408726,283
2012-06-06,85.980003,85.980003,84.660004,85.199997,36.647518,2517
2012-06-07,85.980003,86.339996,85.320000,85.559998,36.802368,433
2012-06-08,84.959999,85.379997,84.839996,85.379997,36.724937,817
2012-06-11,85.559998,85.559998,85.199997,85.199997,36.647518,283
2012-06-12,85.080002,85.199997,85.080002,85.199997,36.647518,217
2012-06-13,85.199997,85.199997,85.199997,85.199997,36.647518,100
2012-06-14,85.199997,85.199997,84.779999,84.779999,36.466862,783
2012-06-15,85.440002,85.680000,85.019997,85.379997,36.724937,750
2012-06-18,84.599998,85.139999,84.239998,84.839996,36.492683,1800
2012-06-19,85.199997,86.400002,85.199997,86.279999,37.112057,4817
2012-06-20,86.639999,86.879997,86.220001,86.400002,37.163685,2100
2012-06-21,86.339996,86.339996,85.260002,85.320000,36.699139,683
2012-06-22,85.199997,85.500000,84.839996,85.500000,36.776562,267
2012-06-25,85.199997,85.199997,83.519997,84.120003,36.182972,5917
2012-06-26,84.360001,84.360001,83.699997,84.300003,36.260395,950
2012-06-27,85.139999,86.160004,84.839996,86.160004,37.060455,733
