Date,Dividends
1994-04-11,0.005333
1994-07-18,0.005333
1994-11-07,0.005333
1995-01-12,0.005333
1995-04-20,0.006667
1995-07-13,0.006667
1995-10-12,0.006667
1996-01-23,0.006667
1996-04-18,0.008000
1996-07-17,0.008000
1996-10-16,0.008000
1997-01-15,0.008000
1997-04-17,0.008000
1997-07-22,0.010000
1997-10-15,0.010000
1998-01-21,0.010000
1998-04-13,0.010000
1998-07-21,0.010000
1998-10-14,0.010000
1999-01-20,0.010000
1999-04-14,0.012500
1999-07-14,0.013000
1999-10-14,0.012500
2000-01-18,0.012500
2000-04-18,0.012500
2000-07-18,0.012500
2000-10-17,0.012500
2001-01-12,0.015000
2001-04-11,0.015000
2001-07-13,0.015000
2001-10-12,0.015000
2002-01-15,0.015000
2002-04-17,0.015000
2002-07-11,0.015000
2002-10-15,0.015000
2003-01-15,0.015000
2003-04-15,0.015000
2003-07-11,0.030000
2003-10-15,0.030000
2004-01-14,0.030000
2004-04-14,0.040000
2004-07-14,0.040000
2004-10-14,0.040000
2005-01-12,0.040000
2005-04-13,0.050000
2005-07-14,0.050000
2005-10-13,0.050000
2006-01-17,0.050000
2006-04-11,0.060000
2006-07-12,0.060000
2006-10-13,0.060000
2007-01-12,0.060000
2007-04-12,0.080000
2007-07-13,0.080000
2007-10-15,0.080000
2008-01-15,0.080000
2008-04-14,0.080000
2008-07-15,0.080000
2008-10-15,0.080000
2009-01-22,0.050000
2011-04-14,0.030000
2011-06-09,0.030000
2011-09-08,0.030000
2011-12-09,0.030000
2012-04-05,0.050000
2012-04-26,0.500000
2012-06-07,0.050000
2012-09-06,0.050000
2012-12-06,0.800000
2013-03-28,0.050000
2013-06-06,0.050000
2013-09-04,0.080000
2013-12-04,0.080000
2014-04-03,0.100000
2014-05-29,0.100000
2014-09-03,0.100000
2014-12-03,0.100000
2015-04-08,0.110000
2015-06-04,0.110000
2015-09-03,0.110000
2015-12-02,0.110000
2016-04-08,0.130000
2016-06-03,0.130000
2016-09-01,0.130000
2016-11-30,0.130000
2017-03-29,0.130000
2017-06-02,0.130000
2017-09-08,0.130000
2017-11-30,0.130000
2018-04-10,0.200000
2018-06-08,0.200000
2018-09-10,0.200000
2018-12-13,0.200000
2019-04-09,0.200000
2019-06-10,0.200000
2019-09-09,0.200000
2019-12-05,0.200000
2021-01-20,0.100000
2021-04-06,0.200000
2021-06-08,0.200000
2021-09-07,0.200000
2021-12-02,0.250000
2022-04-05,0.350000
2022-06-07,0.350000
2022-09-06,0.350000
2022-12-01,0.350000
2023-04-04,1.350000
2023-06-06,0.350000
