Date,Dividends
1986-12-01,0.008374
1987-03-02,0.008374
1987-06-08,0.008374
1987-09-04,0.005982
1992-06-01,0.013137
1992-09-04,0.014779
1992-12-07,0.014779
1993-03-01,0.014779
1993-06-07,0.014779
1993-09-03,0.016257
1993-12-06,0.016257
1994-03-07,0.016257
1994-06-06,0.016257
1994-09-06,0.018063
1994-12-05,0.018063
1995-03-06,0.018063
1995-06-06,0.018063
1995-09-06,0.019869
1995-12-06,0.019869
1996-03-13,0.019869
1996-06-10,0.019869
1996-09-11,0.024837
1996-12-11,0.024837
1997-03-12,0.024837
1997-06-11,0.024837
1997-09-10,0.027321
1997-12-10,0.027321
1998-03-11,0.027321
1998-06-10,0.027321
1998-09-09,0.032785
1998-12-09,0.032785
1999-03-10,0.032785
1999-06-09,0.032785
1999-09-08,0.036063
1999-12-08,0.036063
2000-03-08,0.036063
2000-06-14,0.036063
2000-09-07,0.039669
2000-12-06,0.039669
2001-03-07,0.039669
2001-06-13,0.039669
2001-09-05,0.043636
2001-12-05,0.043636
2002-03-06,0.043636
2002-06-12,0.043636
2002-09-04,0.045455
2002-12-04,0.045455
2003-03-05,0.045455
2003-06-11,0.045455
2003-09-03,0.045455
2003-12-10,0.045455
2004-03-03,0.045455
2004-06-09,0.045455
2004-09-08,0.050000
2004-12-08,0.050000
2005-03-02,0.050000
2005-06-08,0.050000
2005-09-07,0.050000
2005-12-07,0.050000
2006-03-01,0.050000
2006-06-07,0.050000
2006-09-06,0.050000
2006-11-22,0.053000
2007-03-07,0.053000
2007-06-06,0.053000
2007-06-29,0.053000
2007-12-18,0.340000
2008-03-06,0.060000
2008-06-03,0.060000
2008-09-03,0.060000
2008-11-25,0.060000
2009-03-11,0.060000
2009-06-02,0.060000
2009-09-02,0.060000
2009-11-25,0.060000
2010-03-10,0.065000
2010-06-10,0.065000
2010-09-01,0.065000
2010-11-26,0.065000
2011-03-08,0.070000
2011-06-01,0.070000
2011-08-31,0.070000
2011-11-28,0.070000
2012-03-08,0.080000
2012-06-13,0.080000
2012-09-05,0.080000
2012-11-28,0.080000
2013-03-07,0.090000
2013-06-12,0.090000
2013-09-04,0.090000
2013-11-26,0.090000
2014-03-06,0.130000
2014-06-11,0.130000
2014-09-03,0.130000
2014-11-25,0.130000
2015-03-12,0.135000
2015-06-10,0.135000
2015-09-02,0.135000
2015-11-24,0.135000
2016-03-11,0.135000
2016-06-15,0.135000
2016-08-31,0.135000
2016-11-30,0.135000
2017-03-15,0.135000
2017-06-14,0.135000
2017-09-07,0.135000
2017-11-30,0.135000
2018-03-19,0.135000
2018-06-14,0.135000
2018-09-06,0.135000
2018-12-06,0.135000
2019-03-19,0.135000
2019-06-13,0.135000
2019-08-30,0.135000
2019-12-05,0.135000
2020-03-17,0.135000
2020-06-11,0.135000
2020-09-01,0.135000
2020-12-04,0.135000
2021-03-17,0.135000
2021-06-17,0.135000
2021-09-10,0.135000
2021-12-03,0.135000
2022-03-16,0.135000
2022-06-16,0.135000
2022-09-13,0.135000
2022-12-02,0.135000
2023-03-15,0.135000
2023-06-15,0.135000
