Date,Open,High,Low,Close,Adj Close,Volume
1995-06-22,11000.000000,18000.000000,11000.000000,14750.000000,7015.659668,1070
1995-06-23,13500.000000,14500.000000,13000.000000,14000.000000,6658.930664,57
1995-06-26,14000.000000,14000.000000,13000.000000,13000.000000,6183.291504,64
1995-06-27,13000.000000,14000.000000,13000.000000,13000.000000,6183.291504,60
1995-06-28,13000.000000,14000.000000,12875.000000,14000.000000,6658.930664,27
1995-06-29,13250.000000,14000.000000,13250.000000,13250.000000,6302.204102,10
1995-06-30,13250.000000,14000.000000,13000.000000,13031.250000,6198.158691,27
1995-07-03,13000.000000,13000.000000,13000.000000,13000.000000,6183.291504,5
1995-07-05,13000.000000,14000.000000,13000.000000,13000.000000,6183.291504,19
1995-07-06,13000.000000,13500.000000,12875.000000,13000.000000,6183.291504,45
1995-07-07,13500.000000,13500.000000,13000.000000,13000.000000,6183.291504,39
1995-07-10,13500.000000,13500.000000,13000.000000,13500.000000,6421.111816,9
1995-07-11,13500.000000,13500.000000,13000.000000,13000.000000,6183.291504,6
1995-07-12,13000.000000,14000.000000,13000.000000,13000.000000,6183.291504,30
1995-07-13,14000.000000,14000.000000,13000.000000,14000.000000,6658.930664,14
1995-07-14,14000.000000,14000.000000,13000.000000,13000.000000,6183.291504,24
1995-07-17,13000.000000,14000.000000,13000.000000,13000.000000,6183.291504,23
1995-07-18,13000.000000,14000.000000,12000.000000,13000.000000,6183.291504,75
1995-07-19,14000.000000,14000.000000,12500.000000,12500.000000,5945.475098,136
1995-07-20,12500.000000,14000.000000,12500.000000,12500.000000,5945.475098,101
1995-07-21,12250.000000,14500.000000,12250.000000,12500.000000,5945.475098,70
1995-07-24,12500.000000,14500.000000,12250.000000,14500.000000,6896.750000,70
1995-07-25,12500.000000,14500.000000,12500.000000,14500.000000,6896.750000,66
1995-07-26,12500.000000,14500.000000,12500.000000,12750.000000,6064.383301,22
1995-07-27,13000.000000,14500.000000,13000.000000,13000.000000,6183.291504,29
1995-07-28,13000.000000,13000.000000,13000.000000,13000.000000,6183.291504,3
1995-07-31,13000.000000,13000.000000,12750.000000,12750.000000,6064.383301,6
1995-08-01,14500.000000,14500.000000,12750.000000,13000.000000,6183.291504,12
1995-08-02,12750.000000,15500.000000,12750.000000,15500.000000,7372.387207,28
1995-08-03,14250.000000,15500.000000,13750.000000,14500.000000,6896.750000,27
1995-08-04,15500.000000,15500.000000,13750.000000,13875.000000,6599.475098,34
1995-08-07,15500.000000,15500.000000,13750.000000,13750.000000,6540.020508,10
1995-08-08,13750.000000,15500.000000,13500.000000,15500.000000,7372.387207,26
1995-08-09,13500.000000,15500.000000,13500.000000,15250.000000,7253.477539,16
1995-08-10,15500.000000,15500.000000,13500.000000,15500.000000,7372.387207,29
1995-08-11,13500.000000,15000.000000,13500.000000,14500.000000,6896.750000,10
1995-08-14,15000.000000,15500.000000,13500.000000,15500.000000,7372.387207,12
1995-08-15,15500.000000,15500.000000,13500.000000,14625.000000,6956.203613,60
1995-08-16,13500.000000,15500.000000,13500.000000,15500.000000,7372.387207,49
1995-08-17,13500.000000,15500.000000,13500.000000,13500.000000,6421.111816,40
1995-08-18,15500.000000,16500.000000,13500.000000,16500.000000,7848.025391,27
1995-08-21,16000.000000,16500.000000,14500.000000,16250.000000,7729.117676,29
1995-08-22,16500.000000,16500.000000,14500.000000,16500.000000,7848.025391,66
1995-08-23,14500.000000,17000.000000,14500.000000,17000.000000,8085.844238,18
1995-08-24,14500.000000,17000.000000,14375.000000,14500.000000,6896.750000,26
1995-08-25,17000.000000,17000.000000,14500.000000,16750.000000,7966.934570,8
1995-08-28,14500.000000,16750.000000,14500.000000,16750.000000,7966.934570,20
1995-08-29,16750.000000,16750.000000,14500.000000,16750.000000,7966.934570,9
1995-08-30,14500.000000,16750.000000,14500.000000,14500.000000,6896.750000,10
1995-08-31,14500.000000,16750.000000,14500.000000,14500.000000,6896.750000,8
1995-09-01,14500.000000,14750.000000,14500.000000,14750.000000,7015.659668,6
