Date,Dividends
2015-06-11,0.206000
2015-09-11,0.206000
2015-12-11,0.206000
2016-03-16,0.206000
2016-06-13,0.206000
2016-09-13,0.206000
2016-12-13,0.220000
2017-03-16,0.220000
2017-06-13,0.220000
2017-09-14,0.220000
2017-12-14,0.250000
2018-03-19,0.250000
2018-06-14,0.250000
2018-09-13,0.250000
2018-12-14,0.275000
2019-03-14,0.275000
2019-06-13,0.275000
2019-09-12,0.275000
2019-12-16,0.313000
2020-03-13,0.313000
2020-06-12,0.313000
2020-09-14,0.313000
2020-12-14,0.341000
2021-03-12,0.341000
2021-06-14,0.341000
2021-09-14,0.341000
2021-12-14,0.380000
2022-03-14,0.380000
2022-06-14,0.380000
2022-09-14,0.380000
2022-12-14,0.420000
2023-03-14,0.420000
2023-06-14,0.420000
