Date,Dividends
2009-10-21,2.000000
2009-12-17,1.600000
2010-04-21,1.600000
2010-07-14,1.640000
2010-10-25,1.640000
2011-01-24,1.640000
2011-04-21,1.680000
2011-07-07,1.680000
2011-10-25,1.680000
2012-01-24,1.680000
2012-04-24,1.680000
2012-07-19,1.680000
2012-10-18,1.720000
2013-01-23,1.720000
2013-04-24,1.720000
2013-07-24,1.720000
2013-10-23,1.720000
2014-01-09,1.720000
2014-04-23,1.720000
2014-07-23,1.720000
2014-10-22,1.720000
2015-01-21,1.720000
2015-04-22,1.720000
2015-07-22,1.720000
2015-10-21,1.720000
2016-01-20,1.720000
2016-04-21,1.720000
2016-07-20,1.720000
2016-10-19,1.720000
2017-01-19,1.720000
2017-04-19,1.720000
2017-07-20,1.720000
2017-10-20,1.720000
2018-01-26,1.720000
2018-04-27,1.720000
2018-07-27,1.720000
2018-10-26,1.720000
2019-01-25,0.550000
2019-04-26,0.550000
2019-07-26,0.550000
2019-10-25,0.550000
2020-01-24,0.550000
2020-04-09,0.550000
2020-07-24,0.550000
2020-10-23,0.550000
2021-01-22,0.550000
2021-04-23,0.550000
2021-07-23,0.550000
2021-10-22,0.550000
2022-01-21,0.550000
2022-04-22,0.550000
2022-07-22,0.550000
2022-10-21,0.550000
2023-01-20,0.550000
2023-04-21,0.250000
2023-07-21,0.250000
