Date,Dividends
2003-11-21,0.254750
2004-03-25,0.185500
2004-09-28,0.261500
2005-04-01,0.054750
2005-07-01,0.209000
2006-01-03,0.210750
2006-04-04,0.273750
2006-11-01,0.467500
2007-01-03,0.225750
2007-04-03,0.167500
2007-08-20,0.276000
2007-10-05,0.292000
2008-01-14,0.183000
2008-04-07,0.115500
2008-12-29,0.799000
2009-04-09,0.287000
2009-07-06,0.342000
2009-10-01,0.224000
2009-12-23,0.223000
2010-04-23,0.275000
2010-05-24,0.220000
2010-08-02,0.227000
2010-11-03,0.162000
2010-12-22,0.239000
2011-03-22,0.188000
2011-05-04,0.153000
2011-05-12,0.252000
2011-08-04,0.256000
2011-11-14,0.235000
2012-01-03,0.215000
2012-03-20,0.136000
2012-05-14,0.209000
2013-04-30,0.761000
2014-04-03,0.823000
2018-05-22,0.028000
2018-08-14,0.027000
2018-11-23,0.053000
2018-12-28,0.361000
2019-04-26,0.010000
2019-05-22,0.051000
