Date,Dividends
2007-11-15,0.137000
2007-12-14,0.172000
2008-01-15,0.126000
2008-02-15,0.126000
2008-03-14,0.121000
2008-04-15,0.117000
2008-05-15,0.113000
2008-06-13,0.098000
2008-07-15,0.116000
2008-08-15,0.122000
2008-09-15,0.119000
2008-10-15,0.118000
2008-11-14,0.116000
2008-12-15,0.144000
2009-01-15,0.114000
2009-02-13,0.128000
2009-03-13,0.135000
2009-04-15,0.130000
2009-05-15,0.125000
2009-06-15,0.134000
2009-07-15,0.142000
2009-08-14,0.141000
2009-09-15,0.140000
2009-10-15,0.137000
2009-11-13,0.134000
2009-12-15,0.145000
2010-01-15,0.140000
2010-02-12,0.138000
2010-03-15,0.140000
2010-04-15,0.136000
2010-05-14,0.135000
2010-06-15,0.133000
2010-07-15,0.131000
2010-08-13,0.129000
2010-09-15,0.124000
2010-10-15,0.123000
2010-11-15,0.119000
2010-12-15,0.128000
2011-01-14,0.133000
2011-02-15,0.131000
2011-03-15,0.130000
2011-04-15,0.127000
2011-05-13,0.126000
2011-06-15,0.126000
2011-07-15,0.122000
2011-08-15,0.122000
2011-09-15,0.119000
2011-10-14,0.109000
2011-11-15,0.110000
2011-12-15,0.139000
2012-01-13,0.122000
2012-02-15,0.121000
2012-03-15,0.124000
2012-04-13,0.125000
2012-05-15,0.123000
2012-06-15,0.123000
2012-07-13,0.122000
2012-08-15,0.119000
2012-09-14,0.117000
2012-10-15,0.119000
2012-11-15,0.119000
2012-12-14,0.116000
2013-01-15,0.117000
2013-02-15,0.115000
2013-03-15,0.109000
2013-04-15,0.102000
2013-05-15,0.103000
2013-06-14,0.102000
2013-07-15,0.105000
2013-08-15,0.104000
2013-09-13,0.105000
2013-10-15,0.095000
2013-11-15,0.104000
2013-12-13,0.106000
2014-01-15,0.106000
2014-02-14,0.105000
2014-03-14,0.106000
2014-04-15,0.110000
2014-05-15,0.110000
2014-06-13,0.108000
2014-07-15,0.109000
2014-08-15,0.107000
2014-09-15,0.105000
2014-10-15,0.104000
2014-11-14,0.111000
2014-12-15,0.109000
2015-01-15,0.112000
2015-02-13,0.111000
2015-03-13,0.120000
2015-04-15,0.120000
2015-05-15,0.123000
2015-06-15,0.130000
2015-07-15,0.130000
2015-08-14,0.130000
2015-09-15,0.130000
2015-10-15,0.130000
2015-11-13,0.130000
2015-12-15,0.124000
2016-01-15,0.126000
2016-02-12,0.125000
2016-03-15,0.121000
2016-04-15,0.124000
2016-05-13,0.124000
2016-06-15,0.123000
2016-07-15,0.124000
2016-08-15,0.123000
2016-09-15,0.116000
2016-10-14,0.115000
2016-11-15,0.124000
2016-12-15,0.124000
2017-01-13,0.125000
2017-02-15,0.124000
2017-03-15,0.127000
2017-04-13,0.123000
2017-05-15,0.123000
2017-06-15,0.122000
2017-07-14,0.120000
2017-08-15,0.120000
2017-09-18,0.118000
2017-10-23,0.118000
2017-11-20,0.110000
2017-12-18,0.087000
2018-01-22,0.097000
2018-02-20,0.098000
2018-03-19,0.104000
2018-04-23,0.107000
2018-05-21,0.108000
2018-06-18,0.109000
2018-07-23,0.109000
2018-08-20,0.110000
2018-09-24,0.110000
2018-10-22,0.113000
2018-11-19,0.114000
2018-12-24,0.124000
2019-01-22,0.116000
2019-02-19,0.112000
2019-03-18,0.116000
2019-04-22,0.121000
2019-05-20,0.122000
2019-06-24,0.121000
2019-07-22,0.121000
2019-08-19,0.119000
2019-09-23,0.118000
2019-10-21,0.114000
2019-11-18,0.118000
2019-12-23,0.118000
2020-01-21,0.120000
2020-02-24,0.121000
2020-03-23,0.121000
2020-04-20,0.121000
2020-05-18,0.116000
2020-06-22,0.108000
2020-07-20,0.101000
2020-08-24,0.099000
2020-09-21,0.068000
2020-10-19,0.097000
2020-11-23,0.105000
2020-12-21,0.105000
2021-01-19,0.104000
2021-02-22,0.103000
2021-03-22,0.105000
2021-04-19,0.106000
2021-05-24,0.107000
2021-06-21,0.107000
2021-07-19,0.106000
2021-08-23,0.106000
2021-10-18,0.105000
2021-11-22,0.105000
2021-12-20,0.105000
2022-01-24,0.106000
2022-02-22,0.107000
2022-03-21,0.108000
2022-04-18,0.110000
2022-05-23,0.113000
2022-06-21,0.114000
2022-07-18,0.115000
2022-08-22,0.117000
2022-09-19,0.092000
2022-10-24,0.092000
2022-11-21,0.101000
2022-12-19,0.097000
2023-01-23,0.101000
2023-02-21,0.102000
2023-03-20,0.104000
2023-04-24,0.107000
2023-05-22,0.110000
2023-06-20,0.110000
