Date,Dividends
2013-09-25,0.016000
2013-12-24,3.441000
2014-03-26,0.350000
2014-06-25,0.506000
2014-09-24,0.386000
2014-12-22,1.273000
2015-03-25,0.187000
2015-06-24,0.531000
2015-09-23,0.730000
2015-12-22,3.142000
2016-03-23,0.158000
2016-06-22,0.514000
2016-09-21,0.647000
2016-12-21,0.365000
2017-03-22,0.170000
2017-06-21,1.491000
2017-09-27,1.174000
2017-12-26,5.857000
2018-03-21,0.030000
2018-06-20,0.204000
2018-09-26,0.667000
2018-12-26,0.504000
2019-03-20,0.064000
2019-06-25,0.648000
2019-09-25,0.542000
2019-12-24,1.491000
2020-03-25,0.184000
2020-06-24,0.160000
2020-09-23,0.949000
2020-12-23,0.472000
2021-03-23,0.675000
2021-06-22,1.277000
2021-09-22,1.281000
2022-03-23,0.095000
2022-12-22,0.368000
2023-03-22,0.595000
2023-06-21,0.857000
