Date,Dividends
1988-02-22,0.350000
1988-05-09,0.350000
1988-08-25,0.350000
1988-11-23,0.350000
1989-02-22,0.350000
1989-05-24,0.350000
1989-08-25,0.350000
1989-11-24,0.350000
1990-03-06,0.050000
1990-05-24,0.200000
1990-09-10,0.200000
1990-11-26,0.200000
1991-02-26,0.200000
1991-05-24,0.200000
1991-08-26,0.210000
1991-11-22,0.210000
1992-02-27,0.210000
1992-06-09,0.210000
1992-08-24,0.210000
1992-11-23,0.210000
1993-03-09,0.210000
1993-06-09,0.210000
1993-09-09,0.210000
1993-12-09,0.210000
1994-03-09,0.210000
1994-06-09,0.210000
1994-09-09,0.210000
1994-12-09,0.220000
1995-02-17,0.220000
1995-06-13,0.220000
1995-09-13,0.220000
1995-12-13,0.450000
1996-03-13,0.220000
1996-06-12,0.220000
1996-09-11,0.220000
1996-12-11,0.220000
1997-03-12,0.220000
1997-06-12,0.220000
1997-09-11,0.220000
1997-12-11,0.220000
1998-03-12,0.220000
1998-06-11,0.220000
1998-09-09,0.220000
1998-12-07,0.220000
1999-03-11,0.220000
1999-06-11,0.220000
1999-09-13,0.220000
1999-11-10,0.620000
1999-12-13,0.220000
2000-03-13,0.220000
2000-06-13,0.220000
2000-09-13,0.820000
2000-12-13,0.220000
2001-03-13,0.220000
2001-06-13,0.220000
2001-09-17,0.800000
2001-12-12,0.450000
2002-03-13,0.450000
2002-06-12,0.450000
2002-09-11,0.450000
2002-12-11,0.450000
2003-03-12,0.450000
2003-06-12,0.450000
2003-09-11,0.450000
2003-12-11,0.450000
2004-03-11,0.450000
2004-06-14,0.450000
2004-09-13,0.450000
2004-12-13,0.450000
2005-03-11,0.450000
2005-06-13,0.450000
2005-09-13,0.500000
2005-12-13,0.500000
2006-03-13,0.500000
2006-05-31,0.500000
2006-09-13,0.500000
2006-12-13,0.500000
2007-03-13,0.500000
2007-06-13,0.500000
2007-09-10,0.500000
2007-12-11,0.500000
2008-03-12,0.550000
2008-06-11,0.550000
2008-09-11,0.550000
2008-12-11,1.150000
2009-03-12,0.550000
2009-06-11,0.550000
2009-09-11,0.550000
2009-12-11,0.550000
2010-03-11,0.650000
2010-06-11,0.800000
2010-09-13,0.800000
2010-12-13,0.800000
2011-03-11,0.800000
2011-06-13,0.950000
2011-09-12,0.950000
2011-12-12,0.950000
2012-03-12,1.100000
2012-06-11,1.100000
2012-09-10,1.100000
2012-12-10,1.100000
2013-03-11,1.250000
2013-06-10,1.250000
2013-09-11,1.250000
2013-12-11,1.400000
2014-03-12,1.400000
2014-06-11,1.400000
2014-09-11,1.400000
2014-12-11,1.400000
2015-03-12,1.400000
2015-06-11,1.700000
2015-09-11,1.700000
2015-12-11,1.700000
2016-03-14,1.700000
2016-06-13,1.800000
2016-09-12,1.800000
2016-12-12,2.000000
2017-03-13,2.000000
2017-06-12,2.000000
2017-09-12,2.000000
2017-12-12,2.000000
2018-03-13,2.000000
2018-06-12,2.000000
2018-09-11,2.000000
2018-12-11,2.000000
2019-03-12,2.000000
2019-06-11,2.000000
2019-09-11,2.000000
2019-12-12,2.000000
2020-03-13,2.000000
2020-06-12,2.000000
2020-09-14,2.000000
2020-12-14,2.000000
2021-03-15,2.000000
2021-06-14,2.000000
2021-09-14,2.000000
2021-12-14,2.000000
2022-03-15,2.000000
2022-06-14,2.000000
2022-07-29,13.150000
2022-09-13,2.000000
2022-12-13,2.000000
2023-03-14,3.000000
2023-06-13,3.000000
