Date,Dividends
2008-12-19,0.352000
2009-03-20,0.058000
2009-06-19,0.085000
2009-09-18,0.088000
2009-12-18,0.405000
2010-03-19,0.089000
2010-06-18,0.103000
2010-09-17,0.121000
2010-12-17,0.652000
2011-09-16,0.142000
2011-12-16,0.202000
2011-12-27,0.080000
2012-03-16,0.303000
2012-06-15,0.232000
2012-09-21,0.100000
2012-12-21,0.496000
2013-03-15,0.045000
2013-06-21,0.198000
2013-09-20,0.051000
2013-12-20,0.593000
2014-03-21,0.131000
2014-06-20,0.179000
2014-09-19,0.013000
2014-12-19,0.601000
2015-03-20,0.196000
2015-06-19,0.264000
2015-09-18,0.191000
2015-12-18,0.845000
2015-12-24,0.829000
2016-06-17,0.251000
2016-09-16,0.323000
2016-12-16,1.687000
2017-12-18,0.113000
2018-03-19,0.302000
2018-06-18,0.441000
2018-09-24,0.574000
2018-12-24,0.700000
2019-03-18,0.161000
2019-06-24,0.754000
2019-09-23,0.762000
2019-12-23,0.762000
2020-03-23,0.698000
2020-06-22,0.644000
2020-09-21,0.641000
2020-12-21,0.700000
2021-03-22,0.604000
2021-06-21,0.685000
2021-12-20,0.651000
2022-03-21,0.631000
2022-06-21,0.676000
2022-09-19,0.629000
2022-12-19,0.629000
2023-03-20,0.645000
2023-06-20,0.652000
