Date,Dividends
2008-06-23,0.007000
2009-12-22,0.045000
2010-06-22,0.040000
2010-12-21,0.083000
2011-06-21,0.053000
2011-12-21,0.053000
2012-06-21,0.059000
2012-09-21,0.094000
2012-12-21,0.137000
2013-03-21,0.020000
2013-06-21,0.050000
2013-09-20,0.015000
2013-12-18,0.083000
2014-03-25,0.174000
2014-06-24,0.106000
2014-09-23,0.025000
2014-12-23,0.145000
2015-03-25,0.057000
2015-06-24,0.067000
2015-09-23,0.053000
2015-12-23,0.091000
2016-03-23,0.148000
2016-06-22,0.071000
2016-09-21,0.043000
2016-12-21,0.077000
2017-03-23,0.046000
2017-06-22,0.090000
2017-09-21,0.038000
2017-12-21,0.107000
2018-03-22,0.037000
2018-06-21,0.095000
2018-09-14,0.050000
2018-12-18,0.123000
2019-03-21,0.054000
2019-06-14,0.075000
2019-09-25,0.114000
2019-12-13,0.109000
2020-03-26,0.096000
2020-06-25,0.089000
2020-09-24,0.069000
2020-12-24,0.093000
2021-03-25,0.078000
2021-06-24,0.060000
2021-09-23,0.039000
2021-12-23,0.104000
2022-03-25,0.183000
2022-06-24,0.107000
2022-09-23,0.122000
2022-12-23,0.175000
2023-03-24,0.182000
2023-06-27,0.154000
