Date,Dividends
2009-12-22,0.014000
2010-06-22,0.021000
2010-12-21,0.079000
2011-06-21,0.079000
2012-09-21,0.131000
2012-12-21,0.084000
2013-03-21,0.038000
2013-06-21,0.062000
2013-09-20,0.072000
2013-12-18,0.084000
2014-03-25,0.072000
2014-06-24,0.083000
2014-09-23,0.059000
2014-12-23,0.319000
2015-03-25,0.098000
2015-06-24,0.097000
2015-09-23,0.107000
2015-12-23,0.120000
2016-03-23,0.370000
2016-06-22,0.126000
2016-09-21,0.080000
2016-12-21,0.104000
2017-03-23,0.094000
2017-06-22,0.127000
2017-09-21,0.153000
2017-12-21,0.201000
2018-03-22,0.096000
2018-06-21,0.174000
2018-09-14,0.148000
2018-12-18,0.200000
2019-03-21,0.118000
2019-06-14,0.144000
2019-09-25,0.199000
2019-12-13,0.222000
2020-03-26,0.177000
2020-06-25,0.188000
2020-09-24,0.134000
2020-12-24,0.112000
2021-03-25,0.007000
2021-06-24,0.010000
2021-12-23,0.012000
2022-03-25,0.011000
2022-06-24,0.024000
2022-09-23,0.045000
2022-12-23,0.083000
2023-03-24,0.117000
2023-06-27,0.059000
