Date,Dividends
2012-12-03,0.012000
2012-12-27,0.043000
2013-02-01,0.018000
2013-03-01,0.024000
2013-04-01,0.028000
2013-05-01,0.032000
2013-06-03,0.012000
2013-07-01,0.027000
2013-08-01,0.031000
2013-09-03,0.029000
2013-10-01,0.021000
2013-11-01,0.030000
2013-12-02,0.055000
2013-12-27,0.006000
2014-02-03,0.028000
2014-03-03,0.030000
2014-04-01,0.034000
2014-05-01,0.036000
2014-06-02,0.032000
2014-07-01,0.035000
2014-08-01,0.034000
2014-09-02,0.035000
2014-10-01,0.035000
2014-11-03,0.032000
2014-12-01,0.031000
2014-12-29,0.149000
2015-02-02,0.029000
2015-03-02,0.033000
2015-04-01,0.037000
2015-05-01,0.036000
2015-06-01,0.037000
2015-07-01,0.038000
2015-08-03,0.032000
2015-09-01,0.041000
2015-10-01,0.038000
2015-11-02,0.042000
2015-12-01,0.034000
2015-12-29,0.095000
2016-02-01,0.042000
2016-05-02,0.058000
2016-06-01,0.056000
2016-07-01,0.058000
2016-08-01,0.058000
2016-09-01,0.059000
2016-10-03,0.061000
2016-11-01,0.060000
2016-12-01,0.063000
2016-12-28,0.049000
2017-02-01,0.068000
2017-03-01,0.059000
2017-04-03,0.063000
2017-05-01,0.065000
2017-06-01,0.080000
2017-07-03,0.076000
2017-08-01,0.082000
2017-09-01,0.087000
2017-10-02,0.088000
2017-11-01,0.087000
2017-12-01,0.094000
2017-12-21,0.114000
2018-02-01,0.097000
2018-03-01,0.102000
2018-04-02,0.127000
2018-05-01,0.128000
2018-06-01,0.125000
2018-07-02,0.150000
2018-08-01,0.149000
2018-09-04,0.152000
2018-10-01,0.148000
2018-11-01,0.148000
2018-12-03,0.126000
2018-12-21,0.214000
2019-02-01,0.173000
2019-03-01,0.161000
2019-04-01,0.177000
2019-05-01,0.172000
2019-06-03,0.173000
2019-07-01,0.168000
2019-08-01,0.154000
2019-09-03,0.162000
2019-10-01,0.151000
2019-11-01,0.147000
2019-12-02,0.135000
2019-12-20,0.141000
2020-02-03,0.140000
2020-03-02,0.118000
2020-04-01,0.117000
2020-05-01,0.113000
2020-06-01,0.099000
2020-07-01,0.059000
2020-08-03,0.063000
2020-09-01,0.056000
2020-10-01,0.052000
2020-11-02,0.049000
2020-12-01,0.051000
2020-12-18,0.068000
2021-02-01,0.046000
2021-03-01,0.042000
2021-04-01,0.046000
2021-05-03,0.042000
2021-06-01,0.044000
2021-07-01,0.042000
2021-08-02,0.041000
2021-09-01,0.038000
2021-10-01,0.036000
2021-11-01,0.037000
2021-12-01,0.029000
2021-12-17,0.238000
2022-02-01,0.032000
2022-03-01,0.028000
2022-04-01,0.035000
2022-05-02,0.046000
2022-06-01,0.070000
2022-07-01,0.077000
2022-08-01,0.110000
2022-09-01,0.140000
2022-10-03,0.144000
2022-11-01,0.176000
2022-12-01,0.193000
2022-12-16,0.217000
2023-02-01,0.236000
2023-03-01,0.224000
2023-04-03,0.250000
2023-05-01,0.263000
2023-06-01,0.278000
