Date,Dividends
1991-11-25,0.050000
1992-02-25,0.050000
1992-05-26,0.050000
1992-08-25,0.050000
1992-11-23,0.050000
1993-02-23,0.050000
1993-06-01,0.050000
1993-08-25,0.050000
1994-02-23,0.060000
1994-05-17,0.060000
1994-08-30,0.070000
1994-11-29,0.070000
1995-03-07,0.080000
1995-05-16,0.080000
1995-05-31,1.150000
1995-08-30,0.080000
1995-11-30,0.080000
1996-03-07,0.090000
1996-05-16,0.090000
1996-05-31,0.085000
1996-08-28,0.090000
1996-11-20,0.100000
1997-02-27,0.100000
1997-05-22,0.100000
1997-07-28,0.100000
1997-11-26,0.150000
1998-03-05,0.150000
1998-05-21,0.150000
1998-08-28,0.150000
1998-12-03,0.200000
1999-03-04,0.200000
1999-05-27,0.200000
1999-08-31,0.200000
1999-12-02,0.200000
2012-11-08,6.840000
2013-03-26,0.500000
2013-06-26,0.500000
2013-09-25,0.500000
2013-12-24,0.500000
2014-03-26,0.550000
2014-06-25,0.550000
2014-09-30,0.550000
2014-12-26,0.550000
2015-03-27,0.650000
2015-06-26,0.650000
2015-09-28,0.700000
2015-12-28,0.700000
2016-03-29,0.750000
2016-06-28,0.750000
2016-09-28,0.750000
2016-12-28,0.750000
2017-03-29,0.800000
2017-06-15,0.800000
2017-09-28,0.800000
2017-12-28,0.800000
2018-03-28,0.850000
2018-06-28,0.850000
2018-09-27,0.850000
2018-12-27,0.850000
2019-03-28,0.900000
2019-06-27,0.900000
2019-09-27,0.900000
2019-12-30,0.900000
2020-03-30,0.950000
2022-09-29,0.100000
2022-12-29,0.250000
2023-03-30,0.750000
2023-06-29,1.000000
