Date,Dividends
2012-09-05,0.170000
2012-11-16,0.170000
2013-02-14,0.170000
2013-05-17,0.170000
2013-08-16,0.250000
2013-11-15,0.250000
2014-02-14,0.250000
2014-05-16,0.250000
2014-08-19,0.280000
2014-11-18,0.280000
2015-02-10,0.280000
2015-05-19,0.280000
2015-08-18,0.300000
2015-11-17,0.300000
2016-02-09,0.300000
2016-05-17,0.300000
2016-08-16,0.330000
2016-11-08,0.330000
2017-02-07,0.330000
2017-05-09,0.330000
2017-08-15,0.350000
2017-11-08,0.350000
2018-02-07,0.350000
2018-05-09,0.350000
2018-08-15,0.370000
2018-11-07,0.370000
2019-02-06,0.370000
2019-05-08,0.370000
2019-08-14,0.390000
2019-11-06,0.390000
2020-02-12,0.390000
2020-05-13,0.390000
2020-08-19,0.390000
2020-11-10,0.390000
2021-02-10,0.390000
2021-05-12,0.390000
2021-08-18,0.420000
2021-11-09,0.420000
2022-02-09,0.420000
2022-05-11,0.420000
2022-08-17,0.440000
2022-11-09,0.440000
2023-02-08,0.440000
2023-05-10,0.440000
