Date,Dividends
2006-12-27,0.087000
2007-03-16,0.071000
2007-06-15,0.069000
2007-09-21,0.088000
2007-12-21,0.210000
2008-03-20,0.130000
2008-06-20,0.171000
2008-09-19,0.105000
2008-12-19,0.126000
2009-03-20,0.112000
2009-06-19,0.070000
2009-09-18,0.065000
2009-12-18,0.089000
2010-03-19,0.055000
2010-06-18,0.095000
2010-09-17,0.082000
2010-12-17,0.206000
2011-03-18,0.104000
2011-06-17,0.124000
2011-09-16,0.109000
2011-12-16,0.195000
2012-03-16,0.133000
2012-06-15,0.198000
2012-09-21,0.182000
2012-12-21,0.359000
2013-03-15,0.149000
2013-06-21,0.163000
2013-09-20,0.165000
2013-12-20,0.219000
2014-03-21,0.249000
2014-06-20,0.240000
2014-09-19,0.215000
2014-12-19,0.224000
2015-03-20,0.264000
2015-06-19,0.264000
2015-09-18,0.290000
2015-12-18,0.342000
2016-06-17,0.214000
2016-09-16,0.222000
2016-12-16,0.276000
2017-03-17,0.317000
2017-06-16,0.322000
2017-09-15,0.380000
2017-12-15,0.430000
2018-03-16,0.286000
2018-06-15,0.262000
2018-09-24,0.399000
2018-12-24,0.556000
2019-03-18,0.370000
2019-06-24,0.420000
2019-09-23,0.475000
2019-12-23,0.500000
2020-03-23,0.521000
2020-06-22,0.204000
2020-12-21,0.103000
2021-03-22,0.125000
2021-06-21,0.184000
2021-12-20,0.330000
2022-03-21,0.264000
2022-06-21,0.326000
2022-09-19,0.284000
2022-12-19,0.298000
2023-03-20,0.424000
2023-06-20,0.146667
