Date,Dividends
2006-12-27,0.059000
2007-03-16,0.082000
2007-06-15,0.077000
2007-09-21,0.063000
2007-12-21,1.878000
2008-03-20,0.069000
2008-06-20,0.091000
2008-09-19,0.104000
2008-12-19,0.109000
2009-03-20,0.080000
2009-06-19,0.108000
2009-09-18,0.123000
2009-12-18,0.126000
2010-03-19,0.122000
2010-06-18,0.114000
2010-09-17,0.096000
2010-12-17,0.075000
2011-03-18,0.042000
2011-06-17,0.155000
2011-09-16,0.099000
2011-12-16,0.110000
2012-03-16,0.129000
2012-06-15,0.143000
2012-09-21,0.124000
2012-12-21,0.243000
2013-03-15,0.180000
2013-06-21,0.172000
2013-09-20,0.207000
2013-12-20,0.233000
2014-03-21,0.166000
2014-06-20,0.385000
2014-09-19,0.405000
2014-12-19,0.374000
2015-03-20,0.412000
2015-06-19,0.370000
2015-09-18,0.235000
2015-12-18,0.300000
2016-06-17,0.159000
2016-09-16,0.236000
2016-12-16,0.104000
2017-03-17,0.308000
2017-06-16,0.214000
2017-09-15,0.767000
2017-12-15,0.199000
2018-03-16,0.246000
2018-06-15,0.233000
2018-09-24,0.235000
2018-12-24,0.225000
2019-03-18,0.271000
2019-06-24,0.276000
2019-09-23,0.267000
2019-12-23,0.217000
2020-03-23,0.246000
2020-06-22,0.233000
2020-12-21,0.223000
2021-03-22,0.226000
2021-06-21,0.232000
2021-12-20,0.387000
2022-03-21,0.424000
2022-06-21,0.541000
2022-09-19,0.701000
2022-12-19,0.829000
2023-03-20,0.580000
2023-06-20,0.384000
