Date,Dividends
2008-06-26,0.065500
2008-10-02,0.030500
2008-12-29,0.055000
2009-04-02,0.015000
2009-07-02,0.014000
2009-10-02,0.006000
2009-12-29,0.027000
2010-04-05,0.006000
2010-07-02,0.020000
2010-10-04,0.021000
2010-12-29,0.080000
2011-04-04,0.016000
2011-07-05,0.022000
2011-10-04,0.032000
2011-12-28,0.047000
2012-04-04,0.049000
2012-07-06,0.077000
2012-10-03,0.044000
2012-12-27,0.320000
2013-04-03,0.040000
2013-07-03,0.104000
2013-10-03,0.245000
2013-12-27,0.295000
2014-07-03,0.043000
2014-10-03,0.084000
2014-12-29,0.201000
2015-04-02,0.145000
2015-07-06,0.048000
2015-10-05,0.094000
2015-12-29,0.097000
2016-07-05,0.048000
2016-10-04,0.101000
2016-12-28,0.113000
2017-04-04,0.172000
2017-07-05,0.125000
2017-10-03,0.159000
2017-12-28,0.179000
2018-03-16,0.124000
2018-06-19,0.164000
2018-09-25,0.252000
2018-12-26,0.286000
2019-03-19,0.109000
2019-06-24,0.149000
2019-09-23,0.225000
2019-12-23,0.347000
2020-03-23,0.266000
2020-06-22,0.191000
2020-12-21,0.142000
2021-03-22,0.188000
2021-06-21,0.113000
2021-12-20,0.239000
2022-03-21,0.219000
2022-06-21,0.245000
2022-09-19,0.266000
2022-12-19,0.374000
2023-03-20,0.474000
2023-06-20,0.108667
