Date,Dividends
2006-12-21,0.201000
2007-12-24,0.853000
2008-06-23,0.761000
2008-12-22,0.319000
2009-06-22,0.328000
2009-12-21,0.246000
2010-06-21,0.278000
2010-12-20,0.292000
2011-06-21,0.492000
2011-12-19,0.388000
2012-06-20,0.429000
2012-12-17,0.440000
2013-06-25,0.599000
2013-12-17,0.422000
2014-06-24,0.827000
2014-12-19,0.633000
2015-06-24,0.610000
2015-12-21,0.430000
2016-06-21,0.927000
2016-12-22,0.668000
2017-06-20,0.717000
2017-12-21,0.658000
2018-06-19,1.003000
2018-12-18,0.746000
2019-06-17,1.128000
2019-12-16,0.738000
2020-06-15,0.524000
2020-12-14,0.488000
2021-06-10,0.670000
2021-12-13,0.500000
2021-12-30,0.419000
2022-06-09,0.628000
2022-12-13,0.631000
2023-06-07,0.955000
