Date,Open,High,Low,Close,Adj Close,Volume
2014-07-15,25.200001,25.200001,24.370001,24.450001,22.960812,14300
2014-07-16,24.600000,24.830000,24.450001,24.655001,23.153322,23400
2014-07-17,24.796000,25.590000,24.740000,25.230000,23.693304,25300
2014-07-18,25.059999,25.150000,24.790001,25.139999,23.608784,33700
2014-07-21,25.450001,25.450001,24.879999,25.187000,23.652922,28700
2014-07-22,25.540001,25.540001,24.875999,24.950001,23.430359,38800
2014-07-23,25.030001,25.170000,24.799999,24.808001,23.297005,77700
2014-07-24,24.830000,24.830000,24.469999,24.510000,23.017157,41500
2014-07-25,24.719999,25.250000,24.650000,25.250000,23.712082,42900
2014-07-28,25.950001,25.950001,25.180000,25.510000,23.956249,408800
2014-07-29,25.950001,25.950001,25.250000,25.295000,23.754343,34100
2014-07-30,25.070000,25.160000,24.770000,25.100000,23.571224,29300
2014-07-31,25.520000,25.520000,24.420000,24.547001,23.051903,127400
2014-08-01,24.860001,24.879999,24.459999,24.670000,23.167408,52500
2014-08-04,24.620001,24.620001,24.219999,24.330000,22.848118,35500
2014-08-05,24.283001,24.660000,24.049999,24.570000,23.073502,36100
2014-08-06,24.990000,25.230000,24.965000,25.121000,23.590942,38900
2014-08-07,25.320000,25.350000,24.801001,25.200001,23.665131,44300
2014-08-08,25.620001,25.620001,24.969999,24.980000,23.458529,34800
2014-08-11,25.000000,25.270000,25.000000,25.240000,23.702692,31000
2014-08-12,25.559999,25.809999,25.441999,25.530001,23.975035,46500
2014-08-13,25.770000,25.809999,25.530001,25.656000,24.093355,34400
2014-08-14,25.879999,25.879999,25.049999,25.129999,23.599392,43200
2014-08-15,25.600000,25.600000,24.750000,25.059999,23.533659,41100
2014-08-18,25.110001,25.110001,24.809999,25.030001,23.505484,26500
2014-08-19,25.020000,25.080000,24.799999,24.850000,23.336451,32400
2014-08-20,24.940001,25.020000,24.680000,24.760000,23.251928,37100
2014-08-21,24.500000,24.620001,23.910000,24.027000,22.563574,55100
2014-08-22,24.389999,24.389999,23.860001,24.046000,22.581419,92000
2014-08-25,24.230000,24.230000,23.636999,23.677999,22.235830,73200
2014-08-26,24.120001,24.190001,23.889000,24.136999,22.666874,67400
2014-08-27,24.350000,24.350000,24.000000,24.111000,22.642458,52300
2014-08-28,24.450001,24.450001,24.230000,24.330000,22.848118,56000
2014-08-29,24.420000,24.719999,24.260000,24.625999,23.126093,47800
2014-09-02,24.950001,24.950001,23.790001,23.799999,22.350401,69100
2014-09-03,24.090000,24.090000,23.700001,23.709999,22.265882,76400
