Date,Open,High,Low,Close,Adj Close,Volume
2019-06-26,25.139999,25.139999,25.010000,25.010000,23.435408,200
2019-06-27,25.090000,25.090000,25.090000,25.090000,23.510370,100
2019-06-28,25.200001,25.200001,25.200001,25.200001,23.613445,0
2019-07-01,25.590000,25.590000,25.424000,25.424000,23.823341,500
2019-07-02,25.444000,25.486000,25.444000,25.486000,23.881437,500
2019-07-03,25.690001,25.691999,25.688999,25.691999,24.074467,1000
2019-07-05,25.628000,25.628000,25.628000,25.628000,24.014500,100
2019-07-08,25.546000,25.546000,25.546000,25.546000,23.937660,100
2019-07-09,25.549999,25.584000,25.542000,25.584000,23.973272,410100
2019-07-10,25.716999,25.740000,25.702000,25.702000,24.083841,700
2019-07-11,25.792999,25.794001,25.726999,25.768000,24.145681,5200
2019-07-12,25.840000,25.875000,25.840000,25.875000,24.245951,2500
2019-07-15,26.000000,26.000000,25.870001,25.886999,24.257191,4700
2019-07-16,25.895000,25.895000,25.834999,25.834999,24.208466,800
2019-07-17,25.750000,25.780001,25.686001,25.686001,24.068848,5200
2019-07-18,25.629999,25.740999,25.629999,25.740999,24.120386,2600
2019-07-19,25.950001,25.950001,25.601999,25.601999,23.990135,6100
2019-07-22,25.629999,25.665001,25.629999,25.665001,24.049170,800
2019-07-23,25.709999,25.837999,25.709999,25.837999,24.211279,1200
2019-07-24,25.849001,25.950001,25.849001,25.948000,24.314350,4200
2019-07-25,25.910000,25.913000,25.827999,25.827999,24.201908,1500
2019-07-26,26.049999,26.062000,26.049999,26.062000,24.421175,2400
2019-07-29,26.040001,26.046000,26.020000,26.046000,24.406181,1100
2019-07-30,25.980000,25.990000,25.940001,25.940001,24.306858,1900
2019-07-31,25.709000,25.709000,25.709000,25.709000,24.090399,900
2019-08-01,25.790001,25.962999,25.423000,25.466999,23.863636,2500
2019-08-02,25.240999,25.280001,25.215000,25.280001,23.688408,8200
2019-08-05,24.959999,24.959999,24.510000,24.565001,23.018423,3500
2019-08-06,24.759001,24.860001,24.580000,24.860001,23.294851,8700
2019-08-07,24.610001,24.905001,24.459999,24.905001,23.337019,3300
2019-08-08,25.042000,25.320999,25.040001,25.320999,23.726826,4700
2019-08-09,25.340000,25.340000,25.030001,25.195000,23.608761,2800
2019-08-12,25.139999,25.139999,24.990000,24.990000,23.416668,700
2019-08-13,25.302999,25.302999,25.268000,25.268000,23.677164,200
2019-08-14,24.882999,24.882999,24.589001,24.589001,23.040911,2200
2019-08-15,24.600000,24.621000,24.424000,24.621000,23.070898,4200
2019-08-16,24.884001,24.990000,24.879999,24.990000,23.416668,1800
2019-08-19,25.295000,25.295000,25.295000,25.295000,23.702465,0
2019-08-20,25.195000,25.200001,25.096001,25.096001,23.515993,1300
2019-08-21,25.280001,25.330000,25.280001,25.308001,23.714647,7300
2019-08-22,25.389000,25.389000,25.250000,25.306000,23.712770,4600
2019-08-23,25.280001,25.280001,24.545000,24.545000,22.999683,800
2019-08-26,24.790001,24.868999,24.790001,24.868999,23.303282,1200
2019-08-27,24.987000,24.990000,24.834999,24.843000,23.278925,3300
2019-08-28,24.975000,24.985001,24.950001,24.969999,23.397923,2900
2019-08-29,25.282000,25.284000,25.219999,25.284000,23.692160,800
2019-08-30,25.410000,25.410000,25.240000,25.322001,23.727762,3200
2019-09-03,25.091999,25.159000,25.091999,25.159000,23.575027,700
2019-09-04,25.379999,25.426001,25.379999,25.426001,23.825216,8400
2019-09-05,25.760000,25.827000,25.754999,25.767000,24.144749,13300
2019-09-06,25.799999,25.840000,25.785999,25.785999,24.162554,3000
2019-09-09,25.847000,25.847000,25.770000,25.802999,24.178478,3200
2019-09-10,25.719999,25.761000,25.700001,25.761000,24.139124,1100
2019-09-11,25.879999,25.959999,25.879999,25.959999,24.325600,12300
2019-09-12,26.049999,26.171000,26.049999,26.099001,24.455847,1700
2019-09-13,26.129999,26.129999,26.040001,26.073000,24.431484,2300
2019-09-16,25.969999,25.982000,25.962000,25.975000,24.339651,3000
2019-09-17,25.948999,26.042000,25.948999,26.042000,24.402433,26100
2019-09-18,25.990000,26.048000,25.959999,26.048000,24.408058,400
2019-09-19,26.150000,26.170000,26.066000,26.066000,24.424923,500
2019-09-20,25.940001,25.940001,25.773001,25.773001,24.337107,1400
2019-09-23,25.719999,25.815001,25.719999,25.757000,24.321997,9700
2019-09-24,25.860001,25.882000,25.473000,25.540001,24.117088,2606200
2019-09-25,25.520000,25.719999,25.440001,25.715000,24.282333,44900
2019-09-26,25.650000,25.680000,25.546000,25.632000,24.203959,13300
2019-09-27,25.650000,25.700001,25.382999,25.485001,24.065147,6600
2019-09-30,25.639999,25.690001,25.594999,25.636999,24.208681,58700
2019-10-01,25.639999,25.770000,25.309999,25.322001,23.911232,18700
2019-10-02,25.030001,25.030001,24.733000,24.830000,23.446640,569800
2019-10-03,24.780001,25.010000,24.610001,25.002001,23.609060,18400
2019-10-04,25.180000,25.403000,25.170000,25.403000,23.987722,6800
2019-10-07,25.350000,25.448000,25.327999,25.327999,23.916895,4700
2019-10-08,25.000000,25.160000,24.917000,24.917000,23.528791,12700
2019-10-09,25.180000,25.230000,25.087999,25.169001,23.766754,19900
2019-10-10,25.110001,25.419001,25.110001,25.309999,23.899904,97200
2019-10-11,25.770000,25.770000,25.606001,25.606001,24.179411,3000
2019-10-14,25.530001,25.600000,25.530001,25.563999,24.139748,6400
2019-10-15,25.600000,25.870001,25.600000,25.820000,24.381487,7400
2019-10-16,25.760000,25.830000,25.730000,25.750000,24.315386,8100
2019-10-17,25.830000,25.923000,25.785000,25.820000,24.381487,32400
2019-10-18,25.889999,25.889999,25.707001,25.815001,24.376764,9100
2019-10-21,25.900000,25.959999,25.882999,25.959999,24.513685,6400
2019-10-22,26.020000,26.059999,25.908001,25.908001,24.464586,10400
2019-10-23,25.950001,25.952999,25.863001,25.945999,24.500465,11300
2019-10-24,25.980000,26.009001,25.920000,25.997999,24.549568,7100
2019-10-25,25.950001,26.125999,25.950001,26.101000,24.646828,24700
2019-10-28,26.190001,26.290001,26.190001,26.266001,24.802641,7900
2019-10-29,26.264999,26.309999,26.190001,26.212000,24.751648,5700
2019-10-30,26.180000,26.292999,26.171000,26.292999,24.828131,27300
2019-10-31,26.260000,26.261000,26.121000,26.208000,24.747871,14200
2019-11-01,26.469999,26.469999,26.413000,26.468000,24.993383,5200
2019-11-04,26.610001,26.615999,26.559999,26.586000,25.104811,6000
2019-11-05,26.590000,26.629999,26.537001,26.562000,25.082148,10200
2019-11-06,26.559999,26.570000,26.493999,26.565001,25.084978,8700
2019-11-07,26.660000,26.775999,26.660000,26.670000,25.184130,11000
2019-11-08,26.610001,26.740000,26.610001,26.740000,25.250229,10400
2019-11-11,26.660000,26.730000,26.660000,26.687000,25.200182,5300
2019-11-12,26.740000,26.834000,26.694000,26.735001,25.245510,8800
2019-11-13,26.629999,26.805000,26.629999,26.785000,25.292721,7200
2019-11-14,26.830000,26.830000,26.725000,26.805000,25.311607,6200
2019-11-15,27.000000,27.000000,26.900000,26.983000,25.479691,6600
2019-11-18,26.959999,27.030001,26.950001,27.011999,25.507072,6500
2019-11-19,27.059999,27.059999,26.955999,27.010000,25.505186,10000
2019-11-20,26.980000,26.990000,26.839001,26.893000,25.394709,7600
2019-11-21,26.830000,26.900999,26.809999,26.854000,25.357880,6500
2019-11-22,26.910000,26.920000,26.860001,26.900999,25.402260,6700
2019-11-25,27.028999,27.113001,27.028999,27.113001,25.602453,11500
2019-11-26,27.110001,27.200001,27.110001,27.198999,25.683655,7900
2019-11-27,27.219999,27.299999,27.219999,27.281000,25.761089,4600
2019-11-29,27.260000,27.340000,27.190001,27.200001,25.684603,4800
2019-12-02,27.100000,27.100000,26.940001,26.971001,25.468359,8900
