Date,Dividends
2007-12-21,0.658000
2008-12-19,0.643000
2009-12-18,0.188000
2010-06-18,0.320000
2010-12-17,0.263000
2011-06-17,0.418000
2011-12-16,0.292000
2012-06-15,0.301000
2012-12-21,0.263000
2013-06-21,0.420000
2013-12-20,0.274000
2014-06-20,0.561000
2014-12-19,0.382000
2015-06-19,0.366000
2015-12-18,0.352000
2016-06-17,0.376000
2016-12-16,0.424000
2017-06-16,0.361000
2017-12-15,0.230000
2018-06-15,0.533000
2018-12-24,0.281000
2019-06-24,0.578000
2019-12-23,0.402000
2020-06-22,0.305000
2020-12-21,0.325000
2021-06-21,0.510000
2021-12-20,0.598000
2022-06-21,0.585000
2022-12-20,0.342000
2023-06-20,0.584000
