Date,Dividends
2003-03-21,0.203000
2003-06-20,0.301000
2003-09-22,0.158000
2003-12-22,0.088000
2004-03-22,0.183000
2004-06-21,0.389000
2004-09-20,0.194000
2004-12-20,0.063000
2005-03-22,0.285000
2005-06-20,0.456000
2005-09-19,0.195000
2005-12-19,0.265000
2006-03-17,0.104000
2006-06-16,0.764000
2006-09-15,0.423000
2006-12-15,0.157000
2007-03-16,0.287000
2007-06-15,0.759000
2007-09-21,0.270000
2007-12-21,0.546000
2008-03-20,0.359000
2008-06-20,0.931000
2008-09-19,0.199000
2008-12-19,0.338000
2009-03-20,0.052000
2009-06-19,0.543000
2009-09-18,0.136000
2009-12-18,0.567000
2010-03-19,0.246000
2010-06-18,0.119000
2010-09-17,0.119000
2010-12-17,0.408000
2011-03-18,0.390000
2011-06-17,0.673000
2011-09-16,0.130000
2011-12-16,0.218000
2012-03-16,0.295000
2012-06-15,0.592000
2012-09-21,0.159000
2012-12-21,0.159000
2013-03-15,0.288000
2013-06-21,0.572000
2013-09-20,0.169000
2013-12-20,0.175000
2014-03-21,1.063000
2014-06-20,0.587000
2014-09-19,0.149000
2014-12-19,0.225000
2015-03-20,0.289000
2015-06-19,0.561000
2015-09-18,0.147000
2015-12-18,0.156000
2016-03-18,0.253000
2016-06-17,0.568000
2016-09-16,0.133000
2016-12-16,0.139000
2017-03-17,0.259000
2017-06-16,0.577000
2017-09-15,0.032000
2017-12-15,0.144000
2018-03-19,0.249000
2018-06-18,0.629000
2018-09-24,0.167000
2018-12-24,0.149000
2019-03-18,0.253000
2019-06-24,0.636000
2019-09-23,0.129000
2019-12-23,0.145000
2020-03-23,0.203000
2020-06-22,0.262000
2020-09-21,0.174000
2020-12-21,0.226000
2021-03-22,0.174000
2021-06-21,0.492000
2021-09-20,0.202000
2021-12-20,0.268000
2022-03-21,0.175000
2022-06-21,0.606000
2022-09-19,0.149000
2022-12-19,0.137000
2023-03-20,0.167000
2023-06-20,0.689000
