Date,Dividends
2017-06-27,0.053000
2017-09-26,0.063000
2017-12-27,0.089000
2018-03-28,0.069000
2018-06-27,0.089000
2018-09-26,0.092000
2018-12-26,0.097000
2019-03-28,0.090000
2019-06-27,0.048000
2019-09-26,0.077000
2019-12-26,0.091000
2020-03-26,0.048000
2020-06-25,0.014000
2020-09-24,0.008000
2020-12-23,0.004000
2021-03-25,0.008000
2021-06-24,0.027000
2021-09-23,0.029000
2021-12-22,0.024000
2022-03-24,0.032000
2022-06-23,0.051000
2022-09-22,0.074000
2022-12-22,0.072000
2023-03-23,0.120000
2023-06-22,0.121000
