Date,Open,High,Low,Close,Adj Close,Volume
2005-11-15,13.740000,14.060000,13.400000,13.740000,11.229274,43500
2005-11-16,13.510000,13.770000,13.450000,13.510000,11.041306,30300
2005-11-17,13.510000,13.730000,13.350000,13.510000,11.041306,27800
2005-11-18,13.250000,13.520000,13.150000,13.250000,10.828815,52300
2005-11-21,13.290000,13.350000,12.280000,13.290000,10.861509,34200
2005-11-22,13.230000,13.360000,13.200000,13.230000,10.812469,21400
2005-11-23,13.700000,13.890000,13.190000,13.700000,11.196585,20900
2005-11-25,14.430000,14.480000,14.260000,14.430000,11.793191,9100
2005-11-28,14.600000,14.650000,14.350000,14.600000,11.932131,35100
2005-11-29,14.700000,14.750000,14.580000,14.700000,12.013853,13100
2005-11-30,14.500000,15.000000,14.500000,14.500000,11.850399,10800
2005-12-01,14.840000,14.850000,14.530000,14.840000,12.128272,11300
2005-12-02,14.850000,14.890000,14.740000,14.850000,12.136444,16100
2005-12-05,14.880000,14.960000,14.800000,14.880000,12.160965,19100
2005-12-06,15.230000,15.230000,14.830000,15.230000,12.447005,9700
2005-12-07,15.220000,15.250000,15.080000,15.220000,12.438840,8200
2005-12-08,15.400000,15.400000,15.150000,15.400000,12.585943,7900
2005-12-09,15.500000,15.510000,15.290000,15.500000,12.667671,9500
2005-12-12,15.880000,15.890000,15.500000,15.880000,12.978232,14300
2005-12-13,15.850000,15.910000,15.630000,15.850000,12.953715,23900
2005-12-14,15.750000,15.790000,15.230000,15.750000,12.871987,16700
2005-12-15,15.530000,15.730000,15.530000,15.530000,12.692186,5400
2005-12-16,15.270000,15.420000,15.070000,15.270000,12.479700,6800
2005-12-19,14.940000,15.240000,14.780000,14.940000,12.209997,16800
2005-12-20,14.740000,14.970000,14.740000,14.740000,12.046546,12400
2005-12-21,15.000000,18.420000,14.790000,15.000000,12.259036,6000
2005-12-22,15.050000,15.050000,14.960000,15.050000,12.299898,18700
2005-12-23,14.890000,15.080000,14.800000,14.890000,12.169136,8100
2005-12-27,15.000000,15.000000,15.000000,15.000000,12.259036,200
2005-12-28,14.550000,14.900000,14.500000,14.550000,11.891267,14700
2005-12-29,14.870000,14.920000,14.770000,14.870000,12.152791,7700
