Date,Open,High,Low,Close,Adj Close,Volume
2019-07-09,24.500000,24.620001,24.219999,24.590000,22.475861,204000
2019-07-10,24.840000,24.840000,24.250000,24.250000,22.165089,247600
2019-07-11,24.389999,24.410000,23.841000,23.957001,21.897280,186100
2019-07-12,23.820000,23.820000,22.806000,22.886999,20.919273,130100
2019-07-15,23.000000,23.559999,22.525999,23.462000,21.444838,116000
2019-07-16,23.540001,23.719999,23.312000,23.545000,21.520704,101600
2019-07-17,23.650000,23.930000,23.632999,23.850000,21.799480,118000
2019-07-18,23.889999,23.889999,23.240000,23.490000,21.470432,78800
2019-07-19,23.520000,23.600000,23.403000,23.450001,21.433870,84800
2019-07-22,23.570000,23.629999,22.874001,23.030001,21.049980,78400
2019-07-23,23.090000,23.090000,22.580000,22.700001,20.748352,74100
2019-07-24,22.639999,22.639999,22.320000,22.480000,20.547266,65900
2019-07-25,22.480000,22.790001,22.230000,22.299999,20.382740,67500
2019-07-26,22.250000,22.434000,22.170000,22.368999,20.445812,30200
2019-07-29,22.480000,22.480000,21.850000,22.180000,20.273060,78800
2019-07-30,22.080000,22.490000,21.830000,22.370001,20.446724,75400
2019-07-31,22.530001,22.690001,22.219999,22.356001,20.433931,89300
2019-08-01,22.370001,22.370001,21.850000,21.910000,20.026276,65400
2019-08-02,22.430000,23.230000,22.309999,23.059999,21.077402,93400
2019-08-05,22.980000,22.980000,22.350000,22.650000,20.702648,81200
2019-08-06,22.990000,23.653999,22.701000,23.090000,21.104820,64400
2019-08-07,23.070000,23.070000,22.730000,23.020000,21.040840,26100
2019-08-08,23.500000,23.500000,23.150000,23.299999,21.296766,29900
2019-08-09,23.400000,23.455000,22.900000,23.160000,21.168802,31800
2019-08-12,23.030001,23.150000,22.670000,23.139999,21.150522,32400
2019-08-13,23.240000,23.731001,23.170000,23.694000,21.656893,36300
2019-08-14,23.240000,23.250000,22.270000,22.355000,20.433012,66700
2019-08-15,22.190001,22.190001,20.980000,21.020000,19.212791,76400
2019-08-16,21.309999,21.590000,21.309999,21.430000,19.587542,57300
2019-08-19,21.809999,21.870001,21.200001,21.200001,19.377316,29300
