Date,Dividends
2007-02-01,0.255000
2007-03-01,0.364000
2007-04-02,0.404000
2007-05-01,0.388000
2007-06-01,0.413000
2007-07-02,0.416000
2007-08-01,0.425000
2007-09-04,0.418000
2007-10-01,0.399000
2007-11-01,0.396000
2007-12-03,0.377000
2007-12-27,0.375000
2008-02-01,0.338000
2008-03-03,0.357000
2008-04-01,0.406000
2008-05-01,0.405000
2008-06-02,0.369000
2008-07-01,0.357000
2008-08-01,0.374000
2008-09-02,0.240000
2008-10-01,0.330000
2008-11-03,0.365000
2008-12-01,0.375000
2008-12-29,0.424000
2009-02-02,0.387000
2009-03-02,0.315000
2009-04-01,0.368000
2009-05-01,0.326000
2009-06-01,0.363000
2009-07-01,0.303000
2009-08-03,0.364000
2009-09-01,0.352000
2009-10-01,0.343000
2009-11-02,0.364000
2009-12-01,0.319000
2009-12-29,0.347000
2010-02-01,0.353000
2010-03-01,0.315000
2010-04-01,0.364000
2010-05-03,0.352000
2010-06-01,0.359000
2010-07-01,0.317000
2010-08-02,0.335000
2010-09-01,0.335000
2010-10-01,0.333000
2010-11-01,0.320000
2010-12-01,0.317000
2010-12-28,0.370000
2011-02-01,0.336000
2011-03-01,0.290000
2011-04-01,0.339000
2011-05-02,0.321000
2011-06-01,0.335000
2011-07-01,0.319000
2011-08-01,0.340000
2011-09-01,0.322000
2011-10-03,0.280000
2011-11-01,0.291000
2011-12-01,0.263000
2011-12-27,0.261000
2012-02-01,0.286000
2012-03-01,0.262000
2012-04-02,0.278000
2012-05-01,0.261000
2012-06-01,0.267000
2012-07-02,0.244000
2012-08-01,0.241000
2012-09-04,0.226000
2012-10-01,0.230000
2012-12-03,0.220000
2012-12-26,0.237000
2013-02-01,0.226000
2013-03-01,0.247000
2013-04-01,0.247000
2013-05-01,0.221000
2013-06-03,0.240000
2013-07-01,0.242000
2013-08-01,0.249000
2013-09-03,0.250000
2013-10-01,0.236000
2013-11-01,0.248000
2013-12-02,0.270000
2013-12-26,0.236000
2014-02-03,0.240000
2014-03-03,0.217000
2014-04-01,0.234000
2014-05-01,0.235000
2014-06-02,0.250000
2014-07-01,0.242000
2014-08-01,0.255000
2014-09-02,0.241000
2014-10-01,0.241000
2014-11-03,0.235000
2014-12-01,0.240000
2014-12-24,0.238000
2015-02-02,0.240000
2015-03-02,0.221000
2015-04-01,0.240000
2015-05-01,0.239000
2015-06-01,0.245000
2015-07-01,0.244000
2015-08-03,0.243000
2015-09-01,0.230000
2015-10-01,0.236000
2015-11-02,0.241000
2015-12-01,0.234000
2015-12-24,0.249000
2016-02-01,0.221000
2016-03-01,0.203000
2016-04-01,0.218000
2016-05-02,0.229000
2016-06-01,0.237000
2016-07-01,0.222000
2016-08-01,0.213000
2016-09-01,0.201000
2016-10-03,0.194000
2016-11-01,0.198000
2016-12-01,0.193000
2016-12-22,0.207000
2017-02-01,0.199000
2017-03-01,0.181000
2017-04-03,0.199000
2017-05-01,0.206000
2017-06-01,0.206000
2017-07-03,0.205000
2017-08-01,0.211000
2017-09-01,0.211000
2017-10-02,0.208000
2017-11-01,0.219000
2017-12-01,0.212000
2017-12-21,0.237000
2018-02-01,0.210000
2018-03-01,0.200000
2018-04-02,0.210000
2018-05-01,0.231000
2018-06-01,0.255000
2018-07-02,0.249000
2018-08-01,0.257000
2018-09-04,0.257000
2018-10-01,0.251000
2018-11-01,0.270000
2018-12-03,0.260000
2018-12-18,0.244000
2019-02-01,0.278000
2019-03-01,0.259000
2019-04-01,0.283000
2019-05-01,0.279000
2019-06-03,0.286000
2019-07-01,0.287000
2019-08-01,0.280000
2019-09-03,0.275000
2019-10-01,0.260000
2019-11-01,0.259000
2019-12-02,0.249000
2019-12-19,0.321000
2020-02-03,0.248000
2020-03-02,0.226000
2020-04-01,0.222000
2020-05-01,0.195000
2020-06-01,0.190000
2020-07-01,0.180000
2020-08-03,0.174000
2020-09-01,0.170000
2020-10-01,0.159000
2020-11-02,0.150000
2020-12-01,2.159000
2020-12-17,0.139000
2021-02-01,0.156000
2021-03-01,0.144000
2021-04-01,0.158000
2021-05-03,0.173000
2021-06-01,0.185000
2021-07-01,0.189000
2021-08-02,0.196000
2021-09-01,0.202000
2021-10-01,0.199000
2021-11-01,0.208000
2021-12-01,0.203000
2021-12-16,0.214000
2022-02-01,0.185000
2022-03-01,0.201000
2022-04-01,0.188000
2022-05-02,0.232000
2022-06-01,0.223000
2022-07-01,0.244000
2022-08-01,0.226000
2022-09-01,0.288000
2022-10-03,0.298000
2022-11-01,0.259000
2022-12-01,0.326000
2022-12-15,0.335000
2023-02-01,0.325000
2023-03-01,0.297000
2023-04-03,0.372000
2023-05-01,0.335000
2023-06-01,0.340000
2023-07-03,0.333000
