Date,Dividends
2011-02-01,0.062000
2011-04-19,0.273000
2011-07-19,0.290000
2011-10-19,0.308000
2012-01-19,0.336000
2012-04-19,0.365000
2012-07-19,0.394000
2012-10-18,0.423000
2013-01-24,0.458000
2013-04-25,0.495000
2013-07-25,0.532000
2013-10-29,0.570000
2014-01-23,0.608000
2014-04-24,0.648000
2014-07-24,0.690000
2014-10-30,0.733000
2015-01-29,0.775000
2015-04-30,0.830000
2015-07-30,0.875000
2015-10-29,0.910000
2016-01-29,0.910000
2016-04-29,0.910000
2016-07-29,0.910000
2016-10-31,0.910000
2017-01-30,0.910000
2017-04-28,0.910000
2017-07-28,0.910000
2017-10-31,0.910000
2018-01-31,0.910000
2018-04-30,0.910000
2018-07-31,0.910000
2018-10-30,0.910000
2019-01-30,0.910000
2019-04-30,0.910000
2019-07-30,0.910000
2019-10-31,0.910000
2020-01-30,0.910000
2020-04-30,0.100000
2020-07-30,0.100000
2020-10-29,0.100000
2021-01-29,0.100000
2021-04-29,0.100000
2021-07-29,0.100000
2021-10-28,0.100000
2022-01-28,0.350000
2022-04-28,0.350000
2022-07-28,0.350000
2022-10-28,0.350000
2023-01-30,0.350000
2023-04-27,0.500000
