Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,3.309167,3.309167,3.307917,3.308333,3.118204,64800
2010-02-12,3.296250,3.300417,3.263750,3.296667,3.107208,139200
2010-02-16,3.465417,3.518333,3.447083,3.518333,3.316134,100800
2010-02-17,3.583750,3.601667,3.572917,3.594167,3.387611,415200
2010-02-18,3.608750,3.698750,3.604583,3.687083,3.475186,324000
2010-02-19,3.665000,3.735000,3.640000,3.700000,3.487361,652800
2010-02-22,3.737083,3.737083,3.672083,3.677083,3.465762,547200
2010-02-23,3.658750,3.704167,3.573750,3.589583,3.383290,321600
2010-02-24,3.622917,3.683333,3.600417,3.672500,3.461442,451200
2010-02-25,3.512917,3.622083,3.475417,3.613333,3.405674,993600
2010-02-26,3.627917,3.647083,3.568333,3.630833,3.422169,849600
2010-03-01,3.660833,3.713333,3.650833,3.699167,3.486577,537600
2010-03-02,3.740833,3.757917,3.694583,3.698750,3.486183,441600
2010-03-03,3.723333,3.774583,3.685000,3.694167,3.481863,568800
2010-03-04,3.725833,3.751667,3.712917,3.751667,3.536059,494400
2010-03-05,3.810833,3.880000,3.790417,3.880000,3.657018,309600
2010-03-08,3.879167,3.896250,3.857083,3.863333,3.641308,307200
2010-03-09,3.878333,3.931250,3.857917,3.878333,3.655446,403200
2010-03-10,3.897083,3.920417,3.858333,3.885417,3.662122,525600
2010-03-11,3.870000,3.936667,3.831250,3.936667,3.710427,232800
2010-03-12,3.980833,3.980833,3.932083,3.949167,3.722209,261600
2010-03-15,3.942083,3.971250,3.909583,3.971250,3.743023,124800
2010-03-16,3.995417,4.032500,3.954167,4.029583,3.798004,192000
2010-03-17,4.055417,4.110000,4.055417,4.065833,3.832170,170400
2010-03-18,4.087917,4.133333,4.080000,4.127500,3.890292,242400
2010-03-19,4.079583,4.169167,4.037917,4.079583,3.845129,482400
2010-03-22,4.035000,4.159583,4.035000,4.132500,3.895006,576000
2010-03-23,4.156250,4.256250,4.141667,4.251667,4.007326,249600
2010-03-24,4.218333,4.239583,4.183333,4.195833,3.955668,213600
2010-03-25,4.265833,4.323333,4.189583,4.198750,3.958419,244800
2010-03-26,4.224583,4.271250,4.178333,4.210417,3.969417,204000
2010-03-29,4.246667,4.272917,4.244167,4.258750,4.014984,362400
2010-03-30,4.288750,4.312500,4.236667,4.279167,4.034232,242400
2010-03-31,4.246667,4.265417,4.190000,4.217917,3.976487,278400
2010-04-01,4.303333,4.327083,4.235000,4.300000,4.053873,199200
2010-04-05,4.338333,4.363333,4.300000,4.353333,4.104155,295200
2010-04-06,4.324167,4.368333,4.311250,4.346250,4.097476,297600
2010-04-07,4.316667,4.341667,4.216250,4.273750,4.029125,854400
2010-04-08,4.230417,4.329583,4.210000,4.305833,4.059373,249600
2010-04-09,4.330833,4.388750,4.315000,4.387500,4.136364,360000
2010-04-12,4.402500,4.417500,4.387083,4.402083,4.150113,127200
2010-04-13,4.394583,4.432083,4.357083,4.415833,4.163077,360000
2010-04-14,4.456250,4.539583,4.441250,4.535833,4.276206,482400
2010-04-15,4.517917,4.566250,4.507500,4.566250,4.304883,290400
2010-04-16,4.546250,4.576250,4.360833,4.417083,4.164254,895200
2010-04-19,4.373333,4.500833,4.372500,4.493333,4.236138,451200
2010-04-20,4.537083,4.545417,4.489583,4.521250,4.262460,355200
2010-04-21,4.531667,4.566667,4.485417,4.531667,4.272281,309600
2010-04-22,4.462500,4.563750,4.415833,4.563750,4.302527,360000
2010-04-23,4.543333,4.634583,4.525833,4.632917,4.367735,1408800
2010-04-26,4.647083,4.685833,4.637083,4.638333,4.372841,352800
2010-04-27,4.600833,4.652500,4.357083,4.376250,4.125760,1473600
2010-04-28,4.430833,4.473750,4.346667,4.440417,4.186252,928800
2010-04-29,4.494167,4.618333,4.494167,4.583333,4.320989,537600
2010-04-30,4.600000,4.614583,4.390000,4.391250,4.139901,770400
2010-05-03,4.453750,4.590833,4.453750,4.557917,4.297026,912000
2010-05-04,4.436667,4.436667,4.228333,4.290833,4.045230,1396800
2010-05-05,4.191250,4.309583,4.166667,4.220417,3.978845,943200
2010-05-06,4.199167,4.237917,3.114167,3.813333,3.595062,3813600
2010-05-07,3.790833,3.883333,3.541667,3.681667,3.470932,1704000
2010-05-10,4.063333,4.145833,4.006667,4.105000,3.870034,1596000
2010-05-11,3.999167,4.196250,3.990000,4.064583,3.831930,900000
2010-05-12,4.108333,4.249167,4.100417,4.243333,4.000450,698400
2010-05-13,4.207500,4.263333,4.099583,4.100000,3.865321,969600
2010-05-14,4.027500,4.052083,3.830417,3.921250,3.696802,943200
2010-05-17,3.942917,3.965833,3.728333,3.928750,3.703873,1178400
2010-05-18,4.015000,4.022083,3.774583,3.802083,3.584456,868800
2010-05-19,3.753333,3.817500,3.612083,3.733333,3.519642,1255200
2010-05-20,3.535417,3.560000,3.326667,3.327500,3.137038,5292000
2010-05-21,3.198333,3.462083,3.174583,3.457917,3.259990,3168000
2010-05-24,3.404167,3.436667,3.317083,3.324167,3.133897,1267200
2010-05-25,3.113750,3.313750,3.041667,3.304583,3.115433,3115200
2010-05-26,3.356667,3.430833,3.220833,3.242500,3.056903,1869600
2010-05-27,3.402083,3.524167,3.373333,3.524167,3.322448,1159200
2010-05-28,3.513333,3.513333,3.354167,3.390833,3.196746,3014400
2010-06-01,3.314167,3.471250,3.280417,3.280417,3.092650,996000
2010-06-02,3.335417,3.505833,3.307917,3.505000,3.304378,652800
2010-06-03,3.547917,3.569583,3.429583,3.509167,3.308306,1430400
2010-06-04,3.335833,3.357917,3.137083,3.172083,2.990517,2164800
2010-06-07,3.208333,3.218750,3.063333,3.066250,2.890742,1744800
2010-06-08,3.076667,3.194583,3.013333,3.186250,3.003872,1603200
2010-06-09,3.227083,3.303333,3.125833,3.147083,2.966948,1692000
2010-06-10,3.292500,3.416667,3.291667,3.401667,3.206959,1504800
2010-06-11,3.322083,3.454167,3.322083,3.444583,3.247419,1754400
2010-06-14,3.526250,3.568333,3.424167,3.424167,3.228171,1226400
2010-06-15,3.503750,3.647500,3.485417,3.635417,3.427330,818400
2010-06-16,3.585417,3.666667,3.573333,3.652500,3.443435,528000
2010-06-17,3.680000,3.681667,3.553750,3.677917,3.467397,1548000
2010-06-18,3.694583,3.720417,3.677500,3.692917,3.481539,499200
2010-06-21,3.826667,3.845833,3.645833,3.681250,3.470540,1560000
2010-06-22,3.687500,3.730000,3.514583,3.523333,3.326971,1828800
2010-06-23,3.529583,3.593750,3.455000,3.528750,3.332086,1740000
2010-06-24,3.472917,3.487500,3.356250,3.378750,3.190446,1593600
2010-06-25,3.399167,3.421667,3.310417,3.395000,3.205790,1612800
2010-06-28,3.389583,3.425000,3.332917,3.365417,3.177856,1586400
2010-06-29,3.244583,3.244583,3.040417,3.099167,2.926445,2164800
2010-06-30,3.077917,3.130833,2.991667,3.005833,2.838312,3184800
2010-07-01,3.004583,3.025000,2.867917,2.962917,2.797788,1478400
2010-07-02,2.985417,3.001250,2.864583,2.926667,2.763558,2270400
2010-07-06,3.025000,3.078750,2.902917,2.975000,2.809197,1996800
2010-07-07,2.983333,3.240833,2.980417,3.231250,3.051166,2524800
2010-07-08,3.298750,3.351667,3.248333,3.348750,3.162118,1785600
