Date,Dividends
2009-09-24,0.000875
2009-12-23,0.001361
2010-03-24,0.000889
2010-06-22,0.002431
2010-09-21,0.001847
2011-09-21,0.001417
2012-06-20,0.001083
2012-12-26,0.000708
2013-03-20,0.000625
2013-06-26,0.002083
2013-09-25,0.003083
2014-06-25,0.006250
2014-09-24,0.005917
2014-12-22,0.011750
2015-03-25,0.011000
2015-06-24,0.002500
2015-12-22,0.021833
2016-06-22,0.013833
2016-09-21,0.002167
2018-03-21,0.015333
2018-06-20,0.024000
2018-09-26,0.019000
2018-12-26,0.052000
2019-03-20,0.047000
2019-06-25,0.044500
2019-12-24,0.050500
2020-03-25,0.028500
2020-12-23,0.013500
2021-03-23,0.014500
2022-03-23,0.035000
2022-12-22,0.136000
2023-03-22,0.083000
2023-06-21,0.145000
