Date,Dividends
2007-06-26,0.282333
2007-09-25,0.144333
2007-12-20,1.527000
2008-03-25,0.130000
2008-06-24,0.127667
2008-09-24,0.085000
2008-12-23,0.071667
2009-03-24,0.073667
2009-06-24,0.077000
2009-09-24,0.079667
2009-12-23,0.083000
2010-03-24,0.106000
2010-06-22,0.072333
2010-09-21,0.086667
2010-12-23,0.103667
2011-03-23,0.109333
2011-06-22,0.065333
2011-09-21,0.094000
2011-12-23,0.062667
2012-03-21,0.070667
2012-06-20,0.090333
2012-09-25,0.083000
2012-12-26,0.097667
2013-03-20,0.118000
2013-06-26,0.111000
2013-09-25,0.173333
2013-12-24,0.109667
2014-03-26,0.088667
2014-06-25,0.157000
2014-09-24,0.163667
2014-12-22,0.198000
2015-03-25,0.178000
2015-06-24,0.152667
2015-09-23,0.147667
2015-12-22,0.183000
2016-03-23,0.181000
2016-06-22,0.143000
2016-09-21,0.155000
2016-12-21,0.183000
2017-03-22,0.137000
2017-06-21,0.169000
2017-09-27,0.168000
2017-12-26,0.236000
2018-03-21,0.149000
2018-06-20,0.314000
2018-09-26,0.231000
2018-12-26,0.238000
2019-03-20,0.026000
2019-06-25,0.191000
2019-12-24,0.362000
2020-03-25,0.259000
2020-12-23,0.212000
2021-03-23,0.185000
2021-06-22,0.172000
2021-09-22,0.227000
2022-03-23,0.140000
2022-06-22,0.394000
2022-09-21,0.097000
2022-12-22,0.449000
2023-03-22,0.342000
2023-06-21,0.366000
