Date,Dividends
2016-12-28,0.041000
2017-02-01,0.025000
2017-03-01,0.051000
2017-04-03,0.074000
2017-05-01,0.088000
2017-06-01,0.053000
2017-07-03,0.049000
2017-08-01,0.049000
2017-09-01,0.047000
2017-10-02,0.099000
2017-11-01,0.109000
2017-12-01,0.118000
2017-12-27,0.136000
2018-02-01,0.081000
2018-03-01,0.089000
2018-04-02,0.076000
2018-05-01,0.107000
2018-06-01,0.076000
2018-07-02,0.083000
2018-08-01,0.114000
2018-09-04,0.113000
2018-10-01,0.133000
2018-11-01,0.090000
2018-12-03,0.081000
2018-12-27,0.792000
2019-02-01,0.086000
2019-03-01,0.112000
2019-04-01,0.182000
2019-05-01,0.108000
2019-06-03,0.112000
2019-07-01,0.107000
2019-08-01,0.117000
2019-09-03,0.103000
2019-10-01,0.183000
2019-11-01,0.093000
2019-12-02,0.219000
2019-12-30,0.129000
2020-02-03,0.089000
2020-03-02,0.076000
2020-04-01,0.080000
2020-05-01,0.065000
2020-06-01,0.056000
2020-07-01,0.051000
2020-08-03,0.051000
2020-09-01,0.030000
2020-10-01,0.023000
2020-11-02,0.021000
2020-12-01,0.023000
2020-12-30,0.048000
2021-02-01,0.038000
2021-03-01,0.040000
2021-04-01,0.041000
2021-05-03,0.042000
2021-06-01,0.043000
2021-07-01,0.044000
2021-08-02,0.044000
2021-09-01,0.045000
2021-10-01,0.048000
2021-11-01,0.048000
2021-12-01,0.049000
2021-12-23,0.346000
2022-02-01,0.046000
2022-03-01,0.046000
2022-04-01,0.044000
2022-05-02,0.048000
2022-06-01,0.050000
2022-07-01,0.051000
2022-08-01,0.066000
2022-09-01,0.066000
2022-10-03,0.086000
2022-11-01,0.095000
2022-12-01,0.129000
2022-12-23,1.334000
2023-02-01,0.141000
2023-03-01,0.126000
2023-04-03,0.141000
2023-05-01,0.147000
2023-06-01,0.159000
